skill,model,accuracy,majority_baseline_acc,positive_rate
sql,spark_random_forest,0.9126096159661324,0.9126096159661324,0.08739038403386755
sql,spark_gbt,0.9160870879951618,0.9126096159661324,0.08739038403386755
sql,spark_logistic_regression,0.9145751436347143,0.9126096159661324,0.08739038403386755
python,spark_random_forest,0.9250075597218023,0.9250075597218023,0.07499244027819776
python,spark_gbt,0.9336256425763532,0.9250075597218023,0.07499244027819776
python,spark_logistic_regression,0.9289386150589658,0.9250075597218023,0.07499244027819776
linux,spark_random_forest,0.9408829755065014,0.9408829755065014,0.05911702449349864
linux,spark_gbt,0.9458723918959783,0.9408829755065014,0.05911702449349864
linux,spark_logistic_regression,0.9436044753553069,0.9408829755065014,0.05911702449349864
postgresql,spark_random_forest,0.9498034472331418,0.9498034472331418,0.05019655276685818
postgresql,spark_gbt,0.9482915028726943,0.9498034472331418,0.05019655276685818
postgresql,spark_logistic_regression,0.94783791956456,0.9498034472331418,0.05019655276685818
аналитическое мышление,spark_random_forest,0.9461747807680677,0.9461747807680677,0.053825219231932266
аналитическое мышление,spark_gbt,0.9436044753553069,0.9461747807680677,0.053825219231932266
аналитическое мышление,spark_logistic_regression,0.945418808587844,0.9461747807680677,0.053825219231932266
git,spark_random_forest,0.9543392803144845,0.9543392803144845,0.04566071968551557
git,spark_gbt,0.956456002419111,0.9543392803144845,0.04566071968551557
git,spark_logistic_regression,0.9529785303900816,0.9543392803144845,0.04566071968551557
деловая коммуникация,spark_random_forest,0.9635621409132143,0.9635621409132143,0.03643785908678561
деловая коммуникация,spark_gbt,0.9618990021167221,0.9635621409132143,0.03643785908678561
деловая коммуникация,spark_logistic_regression,0.9634109464771696,0.9635621409132143,0.03643785908678561
работа с большим объемом информации,spark_random_forest,0.9596310855760508,0.9596310855760508,0.0403689144239492
работа с большим объемом информации,spark_gbt,0.9587239189597823,0.9596310855760508,0.0403689144239492
работа с большим объемом информации,spark_logistic_regression,0.9593286967039613,0.9596310855760508,0.0403689144239492
docker,spark_random_forest,0.9640157242213486,0.9640157242213486,0.03598427577865135
docker,spark_gbt,0.9625037798609011,0.9640157242213486,0.03598427577865135
docker,spark_logistic_regression,0.9631085576050802,0.9640157242213486,0.03598427577865135
1с программирование,spark_random_forest,0.9724826126398548,0.9724826126398548,0.027517387360145147
1с программирование,spark_gbt,0.9714242515875415,0.9724826126398548,0.027517387360145147
1с программирование,spark_logistic_regression,0.9721802237677654,0.9724826126398548,0.027517387360145147
организаторские навыки,spark_random_forest,0.9702146960991835,0.9702146960991835,0.02978530390081645
организаторские навыки,spark_gbt,0.967493196250378,0.9702146960991835,0.02978530390081645
организаторские навыки,spark_logistic_regression,0.9694587239189598,0.9702146960991835,0.02978530390081645
javascript,spark_random_forest,0.9696099183550045,0.9696099183550045,0.030390081644995463
javascript,spark_gbt,0.9726338070758996,0.9696099183550045,0.030390081644995463
javascript,spark_logistic_regression,0.9714242515875415,0.9696099183550045,0.030390081644995463
английский язык,spark_random_forest,0.9721802237677654,0.9721802237677654,0.027819776232234653
английский язык,spark_gbt,0.9715754460235864,0.9721802237677654,0.027819776232234653
английский язык,spark_logistic_regression,0.9720290293317206,0.9721802237677654,0.027819776232234653
бизнес-анализ,spark_random_forest,0.9736921681282129,0.9736921681282129,0.02630783187178712
бизнес-анализ,spark_gbt,0.9720290293317206,0.9736921681282129,0.02630783187178712
бизнес-анализ,spark_logistic_regression,0.9733897792561234,0.9736921681282129,0.02630783187178712
деловая переписка,spark_random_forest,0.9717266404596311,0.9717266404596311,0.028273359540368914
деловая переписка,spark_gbt,0.9711218627154521,0.9717266404596311,0.028273359540368914
деловая переписка,spark_logistic_regression,0.9717266404596311,0.9717266404596311,0.028273359540368914
управление командой,spark_random_forest,0.9752041124886605,0.9752041124886605,0.024795887511339584
управление командой,spark_gbt,0.9753553069247052,0.9752041124886605,0.024795887511339584
управление командой,spark_logistic_regression,0.9745993347444813,0.9752041124886605,0.024795887511339584
1с: предприятие 8,spark_random_forest,0.9764136679770185,0.9764136679770185,0.023586332022981556
1с: предприятие 8,spark_gbt,0.9758088902328395,0.9764136679770185,0.023586332022981556
1с: предприятие 8,spark_logistic_regression,0.9762624735409737,0.9764136679770185,0.023586332022981556
java,spark_random_forest,0.9756576957967947,0.9756576957967946,0.024342304203205323
java,spark_gbt,0.9821590565467191,0.9756576957967946,0.024342304203205323
java,spark_logistic_regression,0.977925612337466,0.9756576957967946,0.024342304203205323
разработка технических заданий,spark_random_forest,0.9756576957967947,0.9756576957967946,0.024342304203205323
разработка технических заданий,spark_gbt,0.9750529180526156,0.9756576957967946,0.024342304203205323
разработка технических заданий,spark_logistic_regression,0.9756576957967947,0.9756576957967946,0.024342304203205323
деловое общение,spark_random_forest,0.9762624735409737,0.9762624735409737,0.02373752645902631
деловое общение,spark_gbt,0.9750529180526156,0.9762624735409737,0.02373752645902631
деловое общение,spark_logistic_regression,0.9756576957967947,0.9762624735409737,0.02373752645902631
sql,catboost,0.8556093135772603,0.9126096159661324,0.08739038403386755
sql,xgboost,0.8719383126700937,0.9126096159661324,0.08739038403386755
sql,lightgbm,0.894466283640762,0.9126096159661324,0.08739038403386755
python,catboost,0.9269730873903841,0.9250075597218023,0.07499244027819776
python,xgboost,0.9287874206229211,0.9250075597218023,0.07499244027819776
python,lightgbm,0.9275778651345631,0.9250075597218023,0.07499244027819776
linux,catboost,0.9360447535530693,0.9408829755065014,0.05911702449349864
linux,xgboost,0.9325672815240399,0.9408829755065014,0.05911702449349864
linux,lightgbm,0.9360447535530693,0.9408829755065014,0.05911702449349864
postgresql,catboost,0.9198669488962806,0.9498034472331418,0.05019655276685818
postgresql,xgboost,0.9265195040822498,0.9498034472331418,0.05019655276685818
postgresql,lightgbm,0.9377078923495615,0.9498034472331418,0.05019655276685818
аналитическое мышление,catboost,0.8726942848503175,0.9461747807680677,0.053825219231932266
аналитическое мышление,xgboost,0.9115512549138192,0.9461747807680677,0.053825219231932266
аналитическое мышление,lightgbm,0.8814635621409133,0.9461747807680677,0.053825219231932266
git,catboost,0.9342304203205322,0.9543392803144845,0.04566071968551557
git,xgboost,0.9313577260356819,0.9543392803144845,0.04566071968551557
git,lightgbm,0.9180526156637435,0.9543392803144845,0.04566071968551557
деловая коммуникация,catboost,0.9547928636226187,0.9635621409132143,0.03643785908678561
деловая коммуникация,xgboost,0.8790444511641972,0.9635621409132143,0.03643785908678561
деловая коммуникация,lightgbm,0.9452676141517992,0.9635621409132143,0.03643785908678561
работа с большим объемом информации,catboost,0.7921076504384639,0.9596310855760508,0.0403689144239492
работа с большим объемом информации,xgboost,0.7357121257937708,0.9596310855760508,0.0403689144239492
работа с большим объемом информации,lightgbm,0.7440278197762322,0.9596310855760508,0.0403689144239492
docker,catboost,0.9514665860296341,0.9640157242213486,0.03598427577865135
docker,xgboost,0.9484426973087391,0.9640157242213486,0.03598427577865135
docker,lightgbm,0.9442092530994859,0.9640157242213486,0.03598427577865135
1с программирование,catboost,0.9333232537042637,0.9724826126398548,0.027517387360145147
1с программирование,xgboost,0.9501058361052314,0.9724826126398548,0.027517387360145147
1с программирование,lightgbm,0.9452676141517992,0.9724826126398548,0.027517387360145147
организаторские навыки,catboost,0.9389174478379195,0.9702146960991835,0.02978530390081645
организаторские навыки,xgboost,0.8761717568793468,0.9702146960991835,0.02978530390081645
организаторские навыки,lightgbm,0.9144239491986695,0.9702146960991835,0.02978530390081645
javascript,catboost,0.9690051406108255,0.9696099183550045,0.030390081644995463
javascript,xgboost,0.9646205019655276,0.9696099183550045,0.030390081644995463
javascript,lightgbm,0.9690051406108255,0.9696099183550045,0.030390081644995463
английский язык,catboost,0.9405805866344119,0.9721802237677654,0.027819776232234653
английский язык,xgboost,0.9502570305412761,0.9721802237677654,0.027819776232234653
английский язык,lightgbm,0.9461747807680677,0.9721802237677654,0.027819776232234653
бизнес-анализ,catboost,0.9050498941638948,0.9736921681282129,0.02630783187178712
бизнес-анализ,xgboost,0.8748110069549441,0.9736921681282129,0.02630783187178712
бизнес-анализ,lightgbm,0.9578167523435137,0.9736921681282129,0.02630783187178712
деловая переписка,catboost,0.7667069851829452,0.9717266404596311,0.028273359540368914
деловая переписка,xgboost,0.8120653159963713,0.9717266404596311,0.028273359540368914
деловая переписка,lightgbm,0.7537042636830965,0.9717266404596311,0.028273359540368914
управление командой,catboost,0.9679467795585123,0.9752041124886605,0.024795887511339584
управление командой,xgboost,0.9653764741457515,0.9752041124886605,0.024795887511339584
управление командой,lightgbm,0.9599334744481403,0.9752041124886605,0.024795887511339584
1с: предприятие 8,catboost,0.9408829755065014,0.9764136679770185,0.023586332022981556
1с: предприятие 8,xgboost,0.9360447535530693,0.9764136679770185,0.023586332022981556
1с: предприятие 8,lightgbm,0.9206229210765043,0.9764136679770185,0.023586332022981556
java,catboost,0.9801935288781373,0.9756576957967946,0.024342304203205323
java,xgboost,0.9788327789537346,0.9756576957967946,0.024342304203205323
java,lightgbm,0.9786815845176897,0.9756576957967946,0.024342304203205323
разработка технических заданий,catboost,0.9563048079830663,0.9756576957967946,0.024342304203205323
разработка технических заданий,xgboost,0.9628061687329906,0.9756576957967946,0.024342304203205323
разработка технических заданий,lightgbm,0.9590263078318718,0.9756576957967946,0.024342304203205323
деловое общение,catboost,0.903689144239492,0.9762624735409737,0.02373752645902631
деловое общение,xgboost,0.8695192016933777,0.9762624735409737,0.02373752645902631
деловое общение,lightgbm,0.8861505896583006,0.9762624735409737,0.02373752645902631
