skill,model,pr_auc,roc_auc,f1,threshold
sql,spark_random_forest,0.3572861082313847,0.8347342839022255,,
sql,spark_gbt,0.3528627086640846,0.8331785139787299,,
sql,spark_logistic_regression,0.3388171582805577,0.8195084300000721,,
python,spark_random_forest,0.465165309047039,0.8883181568809859,,
python,spark_gbt,0.4657190898460422,0.8926804551743056,,
python,spark_logistic_regression,0.4471816057629048,0.8839925697997545,,
linux,spark_random_forest,0.4029749732173429,0.8994417008313446,,
linux,spark_gbt,0.3981448785404431,0.8935437269294818,,
linux,spark_logistic_regression,0.3500798617940924,0.8764911162760933,,
postgresql,spark_random_forest,0.3325196673165674,0.8984502517052384,,
postgresql,spark_gbt,0.3125926956459507,0.900229031201662,,
postgresql,spark_logistic_regression,0.3067786130372663,0.9012216385805376,,
аналитическое мышление,spark_random_forest,0.1506661800729741,0.7490747775178912,,
аналитическое мышление,spark_gbt,0.1487804295167739,0.750857924510619,,
аналитическое мышление,spark_logistic_regression,0.1418754321602574,0.746825779011408,,
git,spark_random_forest,0.2892416910862794,0.8904814402151088,,
git,spark_gbt,0.2640293027647346,0.8787371980977093,,
git,spark_logistic_regression,0.2319786268258468,0.8566034233947439,,
деловая коммуникация,spark_random_forest,0.1559425248164617,0.8151326955582275,,
деловая коммуникация,spark_gbt,0.1471052223932367,0.7969651663268688,,
деловая коммуникация,spark_logistic_regression,0.1222069560550863,0.7980117448202553,,
работа с большим объемом информации,spark_random_forest,0.1182963101044237,0.7609526821862346,,
работа с большим объемом информации,spark_gbt,0.1169662078049348,0.7670828061740889,,
работа с большим объемом информации,spark_logistic_regression,0.1002684645322083,0.7505158780364374,,
docker,spark_random_forest,0.3064518507071351,0.9224320952688716,,
docker,spark_gbt,0.3135585148191936,0.9075552078349536,,
docker,spark_logistic_regression,0.3103975023158859,0.908061752615361,,
1с программирование,spark_random_forest,0.2717258521024946,0.9087157809983892,,
1с программирование,spark_gbt,0.295467397389402,0.9094043986778534,,
1с программирование,spark_logistic_regression,0.2606317309362481,0.9162371634601798,,
организаторские навыки,spark_random_forest,0.0977345250382855,0.7785958186772935,,
организаторские навыки,spark_gbt,0.1242767914625273,0.7877940374469706,,
организаторские навыки,spark_logistic_regression,0.1083516215172195,0.789926591260238,,
деловая переписка,spark_random_forest,0.1164714051764471,0.8228840779209947,,
деловая переписка,spark_gbt,0.1028736582476656,0.7987474383859153,,
деловая переписка,spark_logistic_regression,0.1050347973115568,0.7916934033056692,,
английский язык,spark_random_forest,0.2443470460378086,0.7856366275880263,,
английский язык,spark_gbt,0.183530094576783,0.7624329105682803,,
английский язык,spark_logistic_regression,0.1357120909906339,0.743250705691505,,
javascript,spark_random_forest,0.43268316784361,0.9434813329613576,,
javascript,spark_gbt,0.4110048850419572,0.9268692894470848,,
javascript,spark_logistic_regression,0.444860051692528,0.918143490719278,,
1с: предприятие 8,spark_random_forest,0.1482668654010435,0.8692080679669618,,
1с: предприятие 8,spark_gbt,0.1431357445542094,0.8664642211496997,,
1с: предприятие 8,spark_logistic_regression,0.1350380433461711,0.8634607091916277,,
бизнес-анализ,spark_random_forest,0.1844327363486716,0.8870904121531964,,
