skill,model,pr_auc,roc_auc,f1,threshold
sql,spark_random_forest,0.3160073606042203,0.7445861165188795,,
sql,spark_gbt,0.3264222139989304,0.764328389524444,,
sql,spark_logistic_regression,0.3055714102271165,0.7730226197601011,,
python,spark_random_forest,0.4026053107779362,0.7965400220396716,,
python,spark_gbt,0.4262583815671528,0.8254372673443777,,
python,spark_logistic_regression,0.3951255829216581,0.831216914129644,,
linux,spark_random_forest,0.3105530699502806,0.7562766291042262,,
linux,spark_gbt,0.3370313354240731,0.7569245431825588,,
linux,spark_logistic_regression,0.3166000109701379,0.794350879687719,,
postgresql,spark_random_forest,0.3346564354455315,0.8543560584266393,,
postgresql,spark_gbt,0.333235370066076,0.8528835974269571,,
postgresql,spark_logistic_regression,0.3094796160837019,0.8687675726784886,,
аналитическое мышление,spark_random_forest,0.1036743089471541,0.6553452030838727,,
аналитическое мышление,spark_gbt,0.0944655069247822,0.654941225792783,,
аналитическое мышление,spark_logistic_regression,0.1055806911953501,0.6816468179157643,,
git,spark_random_forest,0.2639261239925971,0.8211288390031811,,
git,spark_gbt,0.309508991999163,0.8293799679366118,,
git,spark_logistic_regression,0.2490186490751025,0.8414255092790776,,
деловая коммуникация,spark_random_forest,0.0923324358619222,0.7175255698150852,,
деловая коммуникация,spark_gbt,0.1017418482683029,0.7156240701663462,,
деловая коммуникация,spark_logistic_regression,0.0843740952190314,0.7271818414433823,,
работа с большим объемом информации,spark_random_forest,0.0728806393075724,0.6840811873137154,,
работа с большим объемом информации,spark_gbt,0.0770804519751113,0.6904267491380223,,
работа с большим объемом информации,spark_logistic_regression,0.0722048503163197,0.6984027370859692,,
docker,spark_random_forest,0.2796187994370215,0.8563319775840074,,
docker,spark_gbt,0.3065675998442226,0.8577029933679873,,
docker,spark_logistic_regression,0.2713491595818232,0.8675623794059657,,
1с программирование,spark_random_forest,0.097000263160534,0.7442667329560984,,
1с программирование,spark_gbt,0.1029817493389002,0.7631728889891202,,
1с программирование,spark_logistic_regression,0.1049989876690991,0.7957119450822806,,
организаторские навыки,spark_random_forest,0.0759685830590076,0.7204969509132231,,
организаторские навыки,spark_gbt,0.0843089537900061,0.7287186874332062,,
организаторские навыки,spark_logistic_regression,0.0693449453765764,0.7422364768710012,,
javascript,spark_random_forest,0.3608220205893047,0.8782933143420586,,
javascript,spark_gbt,0.4345791969364514,0.8615196278082533,,
javascript,spark_logistic_regression,0.3759972150342661,0.880818502218364,,
английский язык,spark_random_forest,0.0889325209175062,0.6960933802150249,,
английский язык,spark_gbt,0.0974289312953688,0.7070440868212859,,
английский язык,spark_logistic_regression,0.0825321972805101,0.6939089018865373,,
бизнес-анализ,spark_random_forest,0.0867976407130687,0.7442203005640037,,
бизнес-анализ,spark_gbt,0.1006828178215695,0.7485221674876849,,
бизнес-анализ,spark_logistic_regression,0.0863967114805576,0.7690810844577715,,
деловая переписка,spark_random_forest,0.0565163329845523,0.6924592856506933,,
деловая переписка,spark_gbt,0.0603479631642128,0.7094622535776123,,
деловая переписка,spark_logistic_regression,0.0600623222692315,0.7273754856059288,,
управление командой,spark_random_forest,0.102080498585275,0.7366420873511061,,
управление командой,spark_gbt,0.1242273770313331,0.7674238986575913,,
управление командой,spark_logistic_regression,0.0978303478478836,0.764403006239365,,
1с: предприятие 8,spark_random_forest,0.075437378827643,0.75788278898762,,
1с: предприятие 8,spark_gbt,0.0858264254088454,0.7504034947709458,,
1с: предприятие 8,spark_logistic_regression,0.0718240184231779,0.7760896840333196,,
java,spark_random_forest,0.4901942014550455,0.8339142177599514,,
java,spark_gbt,0.5182729447362515,0.8233403886487386,,
java,spark_logistic_regression,0.4384749093293433,0.8522902824339972,,
разработка технических заданий,spark_random_forest,0.0677348908087696,0.7014157794583478,,
разработка технических заданий,spark_gbt,0.0916492476659623,0.6893798733893333,,
разработка технических заданий,spark_logistic_regression,0.0727438441747944,0.7234176794846252,,
деловое общение,spark_random_forest,0.0597121964945317,0.7568175159728879,,
деловое общение,spark_gbt,0.0748738075720451,0.7644495826876277,,
деловое общение,spark_logistic_regression,0.070176521804186,0.7875179161705705,,
sql,catboost,0.3610156845430526,0.7823785373113108,0.3644859813084112,0.1261
sql,xgboost,0.3535694716637311,0.7858226935962083,0.369047619047619,0.1499
sql,lightgbm,0.3461117000325474,0.784175999367119,0.3688969258589512,0.2075
python,catboost,0.4536862247262324,0.8314457800356431,0.4915966386554621,0.226
python,xgboost,0.4542757830839488,0.8470625415221082,0.4703247480403135,0.3083
python,lightgbm,0.447973649509169,0.8422609710637041,0.4707182320441989,0.2767
linux,catboost,0.3393390200765415,0.7823376526235281,0.3954154727793696,0.209
linux,xgboost,0.3405437165266848,0.794763917206732,0.3856749311294766,0.2264
linux,lightgbm,0.3396829668537132,0.7944951345824189,0.3866279069767442,0.2705
postgresql,catboost,0.3447660825634981,0.8737528912210446,0.4173140954495005,0.1458
postgresql,xgboost,0.368380115581119,0.8758210971872207,0.4275700934579439,0.1696
postgresql,lightgbm,0.3610302842618738,0.872674796607634,0.4141843971631205,0.2361
аналитическое мышление,catboost,0.1053474354179827,0.6811757355079879,0.1591355599214145,0.0749
аналитическое мышление,xgboost,0.1275393299374077,0.6972145316915697,0.1358936484490399,0.1
аналитическое мышление,lightgbm,0.1298500109485395,0.7077165946689361,0.1633085896076352,0.09
git,catboost,0.3271269777952095,0.8491630574371113,0.363367799113737,0.1494
git,xgboost,0.3351389718301478,0.8547222152275914,0.3780821917808219,0.1559
git,lightgbm,0.3195506912679281,0.8532103257539514,0.370197904540163,0.119
деловая коммуникация,catboost,0.1071745343184455,0.7212351381248563,0.1231671554252199,0.1648
деловая коммуникация,xgboost,0.1016163726525633,0.7186516248202186,0.1380798274002157,0.0738
деловая коммуникация,lightgbm,0.0968117550058159,0.7097786108797943,0.1204819277108433,0.1425
работа с большим объемом информации,catboost,0.0900476864476854,0.7252221551483522,0.1456129433727442,0.059
работа с большим объемом информации,xgboost,0.0832475838156532,0.7187987010879539,0.1363636363636363,0.0591
работа с большим объемом информации,lightgbm,0.0883061579214673,0.7183407891545683,0.1322398769861609,0.0588
docker,catboost,0.3047258172797653,0.85918867233217,0.3585657370517928,0.2294
docker,xgboost,0.2853417692929725,0.8728612680956949,0.3726937269372694,0.1996
docker,lightgbm,0.2995457932578864,0.8769400482903325,0.3648881239242685,0.1742
1с программирование,catboost,0.116658987093057,0.7745125676562244,0.1801470588235294,0.0782
1с программирование,xgboost,0.136423034952339,0.8009830654420207,0.1831683168316831,0.1365
1с программирование,lightgbm,0.1327344851444576,0.8036782092285824,0.1873638344226579,0.1282
организаторские навыки,catboost,0.1006482450015885,0.7476064925890856,0.15,0.0789
организаторские навыки,xgboost,0.0999960128555137,0.7370630360819808,0.1319148936170212,0.0629
организаторские навыки,lightgbm,0.1004327440954657,0.7399376972176539,0.1319018404907975,0.0707
javascript,catboost,0.4529518673667673,0.8783937788059547,0.5141509433962265,0.2052
javascript,xgboost,0.4269855900966282,0.8952803424015119,0.5145228215767634,0.1393
javascript,lightgbm,0.446757430754104,0.8933548381591186,0.5130641330166271,0.2382
английский язык,catboost,0.0978448410174473,0.7006398336601528,0.1818181818181818,0.0641
английский язык,xgboost,0.0908928628251002,0.6949666982216512,0.173697270471464,0.1093
английский язык,lightgbm,0.0831949559420721,0.7043643079315708,0.1619047619047619,0.104
бизнес-анализ,catboost,0.1103684931078545,0.7471201899050475,0.1557046979865771,0.0478
бизнес-анализ,xgboost,0.1321749630847145,0.7708074534161491,0.1428571428571428,0.0503
бизнес-анализ,lightgbm,0.1301628534340652,0.7763158599271793,0.1676646706586826,0.0924
деловая переписка,catboost,0.0569700174096738,0.7197480715131436,0.1012075905692927,0.0451
деловая переписка,xgboost,0.0603219595318677,0.7241521189433948,0.0927536231884058,0.0569
деловая переписка,lightgbm,0.0722110671638116,0.7273089215034501,0.0985761226725082,0.0444
управление командой,catboost,0.1273766062920792,0.774965494422386,0.1587301587301587,0.1752
управление командой,xgboost,0.1274931993067548,0.7661954055587068,0.1726618705035971,0.1524
управление командой,lightgbm,0.1218379420093045,0.75886037058045,0.1957186544342507,0.1207
1с: предприятие 8,catboost,0.0864825510055876,0.7677195249779641,0.1356673960612691,0.0652
1с: предприятие 8,xgboost,0.0893507720695971,0.7740503728232128,0.1278350515463917,0.0823
1с: предприятие 8,lightgbm,0.0885407144788491,0.7792158999769715,0.1322314049586777,0.0707
java,catboost,0.5105983317123403,0.8549839113783083,0.5618729096989966,0.2865
java,xgboost,0.5165817868420384,0.8560335459553214,0.554140127388535,0.2534
java,lightgbm,0.5339378914292693,0.8675155183250508,0.5523809523809524,0.2446
разработка технических заданий,catboost,0.097569582724276,0.7074277167055045,0.1560693641618497,0.0551
разработка технических заданий,xgboost,0.1188850505878076,0.7351133326210642,0.1672240802675585,0.088
разработка технических заданий,lightgbm,0.1164094624522945,0.7355902642422563,0.1509433962264151,0.0925
деловое общение,catboost,0.0813010813500031,0.7781171670699552,0.1383812010443864,0.0513
деловое общение,xgboost,0.0811895104838056,0.7657378700250259,0.1256332320162107,0.0483
деловое общение,lightgbm,0.0796771074339384,0.7730971867789759,0.123006833712984,0.0533
