skill,model,pr_auc,roc_auc,f1,precision,recall,threshold
sql,spark_random_forest,0.3462477830748937,0.8345660883225867,0.3943661971830985,0.3333333333333333,0.4827586206896552,0.5502
sql,spark_gbt,0.3439766641253854,0.8202584913687293,0.3802345058626465,0.3530326594090202,0.4119782214156079,0.6926
sql,spark_logistic_regression,0.350914413127752,0.8301978625837413,0.4032860343539955,0.3426395939086294,0.4900181488203267,0.6604
python,spark_random_forest,0.4484529922744565,0.8836960848330891,0.5004468275245755,0.4223227752639517,0.6140350877192983,0.5429
python,spark_gbt,0.4569589181240293,0.8782514580128093,0.5137614678899083,0.48,0.5526315789473685,0.6828
python,spark_logistic_regression,0.4675327049435617,0.894601364688063,0.5157593123209169,0.4568527918781725,0.5921052631578947,0.6877
linux,spark_random_forest,0.3892660362937584,0.8960036744899355,0.4383259911894273,0.3692022263450835,0.5392953929539296,0.5834
linux,spark_gbt,0.3897115809535054,0.87913669456574,0.4325437693099897,0.3488372093023256,0.5691056910569106,0.6358
linux,spark_logistic_regression,0.3560305222687925,0.8916890081645757,0.4265644955300127,0.4033816425120773,0.4525745257452574,0.7996
postgresql,spark_random_forest,0.3277682448510017,0.8964829991581189,0.3987473903966597,0.298904538341158,0.5987460815047022,0.5721
postgresql,spark_gbt,0.3187313776729711,0.8860339386858642,0.4033264033264033,0.301710730948678,0.6081504702194357,0.6169
postgresql,spark_logistic_regression,0.3127361359329805,0.9077437432934572,0.3954104148278906,0.2751842751842752,0.7021943573667712,0.6125
аналитическое мышление,spark_random_forest,0.1461580905137768,0.7472038939104803,0.2199798183652876,0.1659056316590563,0.3263473053892216,0.5649
аналитическое мышление,spark_gbt,0.1357512922043888,0.7337609994795625,0.2127272727272727,0.1527415143603133,0.3502994011976048,0.5871
аналитическое мышление,spark_logistic_regression,0.1459066595826096,0.7552026316996377,0.2292993630573248,0.1647058823529411,0.3772455089820359,0.6379
git,spark_random_forest,0.2743133660532624,0.8885370370479135,0.3177257525083612,0.2996845425867508,0.3380782918149466,0.6344
git,spark_gbt,0.2625588031155875,0.8469545319189301,0.3216995447647951,0.2804232804232804,0.3772241992882562,0.7435
git,spark_logistic_regression,0.2440211477712818,0.8679168484986599,0.332994923857868,0.2329545454545454,0.5836298932384342,0.6782
деловая коммуникация,spark_random_forest,0.1666139202960108,0.813155592730061,0.2621359223300971,0.2114882506527415,0.3446808510638298,0.6029
деловая коммуникация,spark_gbt,0.153818779395156,0.7849073832052557,0.2279129321382842,0.163003663003663,0.3787234042553191,0.6351
деловая коммуникация,spark_logistic_regression,0.116813055844369,0.7959001167511802,0.2094531974050046,0.1338862559241706,0.4808510638297872,0.6409
работа с большим объемом информации,spark_random_forest,0.1206301604182369,0.7560959640688258,0.1874197689345314,0.140655105973025,0.2807692307692307,0.5956
работа с большим объемом информации,spark_gbt,0.1149089700180834,0.7469781123481775,0.1758474576271186,0.121345029239766,0.3192307692307692,0.6136
работа с большим объемом информации,spark_logistic_regression,0.1054547293920438,0.7598934084008095,0.1724500525762355,0.1186685962373371,0.3153846153846154,0.663
docker,spark_random_forest,0.2952107546836678,0.9208854698554092,0.3684992570579495,0.2743362831858407,0.5610859728506787,0.5742
docker,spark_gbt,0.2877896807052868,0.8908310957857694,0.3852889667250437,0.3142857142857143,0.497737556561086,0.7135
docker,spark_logistic_regression,0.3214699319402777,0.9204809735125145,0.3915547024952015,0.34,0.4615384615384615,0.8545
1с программирование,spark_random_forest,0.2639063411235683,0.907004830917874,0.324435318275154,0.2607260726072607,0.4293478260869565,0.6237
1с программирование,spark_gbt,0.2920371157476792,0.9021447792185772,0.3393939393939394,0.270096463022508,0.4565217391304347,0.7916
1с программирование,spark_logistic_regression,0.2456026474772858,0.9075632292284652,0.3366336633663366,0.2647975077881619,0.4619565217391304,0.7658
организаторские навыки,spark_random_forest,0.0988928194679954,0.778468118320491,0.1623616236162361,0.0987654320987654,0.4559585492227979,0.5992
организаторские навыки,spark_gbt,0.1052005609527451,0.7711415737572812,0.1688708036622584,0.1050632911392405,0.4300518134715025,0.6055
организаторские навыки,spark_logistic_regression,0.1059705244143681,0.7849112967191548,0.1916859122401847,0.1233283803863298,0.4300518134715025,0.6678
деловая переписка,spark_random_forest,0.1150262801396124,0.8132850698170193,0.1694480102695763,0.110738255033557,0.360655737704918,0.6079
деловая переписка,spark_gbt,0.1082814448698741,0.7804156449054834,0.1953290870488322,0.1597222222222222,0.2513661202185792,0.7278
деловая переписка,spark_logistic_regression,0.1031441694454899,0.791244316522755,0.1834654586636466,0.1157142857142857,0.4426229508196721,0.679
английский язык,spark_random_forest,0.2359706037117938,0.7710617064087582,0.2867924528301886,0.2165242165242165,0.4245810055865922,0.4841
английский язык,spark_gbt,0.1965036447612425,0.7174577151826361,0.2991071428571428,0.2490706319702602,0.3743016759776536,0.6112
английский язык,spark_logistic_regression,0.1602760131107294,0.748377566944349,0.2798165137614679,0.2373540856031128,0.3407821229050279,0.7335
javascript,spark_random_forest,0.4338172919594183,0.9428434110224918,0.4745762711864407,0.3929824561403509,0.5989304812834224,0.6338
javascript,spark_gbt,0.3757103142619351,0.912057159196288,0.4615384615384615,0.3917910447761194,0.5614973262032086,0.7685
javascript,spark_logistic_regression,0.4440166390734793,0.9311661369481088,0.4801512287334593,0.3713450292397661,0.679144385026738,0.7359
1с: предприятие 8,spark_random_forest,0.1460084538880073,0.867568186718413,0.2280701754385964,0.1477272727272727,0.5,0.6129
1с: предприятие 8,spark_gbt,0.1511021846257456,0.8531083109430455,0.2470308788598574,0.1962264150943396,0.3333333333333333,0.7822
1с: предприятие 8,spark_logistic_regression,0.1241808553755827,0.8644060768899055,0.2150101419878296,0.1572700296735905,0.3397435897435897,0.7577
бизнес-анализ,spark_random_forest,0.1884601036030163,0.882168992840169,0.1818181818181818,0.2,0.1666666666666666,0.6556
бизнес-анализ,spark_gbt,0.1532118779754769,0.8355273817239146,0.2494331065759637,0.2014652014652014,0.3273809523809524,0.7125
бизнес-анализ,spark_logistic_regression,0.148689250592007,0.8470102112458724,0.237410071942446,0.1701030927835051,0.3928571428571428,0.7184
управление командой,spark_random_forest,0.1577401244356918,0.8382785756301182,0.2410423452768729,0.2466666666666666,0.2356687898089172,0.5848
управление командой,spark_gbt,0.1343595200888444,0.7912166192281895,0.2193211488250653,0.1858407079646017,0.267515923566879,0.7112
управление командой,spark_logistic_regression,0.1224551838334228,0.841144457115307,0.2206572769953051,0.174721189591078,0.2993630573248407,0.7654
разработка технических заданий,spark_random_forest,0.0902295217831026,0.7639536837002011,0.1473158551810237,0.0909090909090909,0.3881578947368421,0.5468
разработка технических заданий,spark_gbt,0.1099675546369601,0.7543281988908918,0.1923076923076923,0.1515151515151515,0.2631578947368421,0.7314
разработка технических заданий,spark_logistic_regression,0.0819880500738448,0.7773433513081349,0.1549636803874092,0.1226053639846743,0.2105263157894736,0.7513
java,spark_random_forest,0.420147754797766,0.937922561241516,0.50625,0.4682080924855491,0.5510204081632653,0.5854
java,spark_gbt,0.4559797630771363,0.91104945126767,0.5586206896551724,0.5664335664335665,0.5510204081632653,0.8493
java,spark_logistic_regression,0.3920640935892992,0.9259236069690272,0.5072046109510087,0.44,0.5986394557823129,0.791
деловое общение,spark_random_forest,0.1335204493947247,0.833150355415879,0.1936936936936936,0.1467576791808873,0.2847682119205298,0.6271
деловое общение,spark_gbt,0.1195607034927538,0.7856681208595897,0.1979522184300341,0.204225352112676,0.1920529801324503,0.7947
деловое общение,spark_logistic_regression,0.0969590216361391,0.8132619398441371,0.1676470588235294,0.107750472589792,0.3774834437086092,0.7098
sql,catboost,0.3825412330922421,0.8318208793885644,0.4384432088959492,0.3898305084745763,0.5009074410163339,0.6253
