skill,model,pr_auc,roc_auc,f1,precision,recall,threshold
sql,spark_random_forest,0.3951999905508408,0.8509420363233481,0.4129483814523184,0.3986486486486486,0.4283121597096189,0.5123
sql,spark_gbt,0.4131992882559291,0.8392487598515109,0.4273504273504273,0.3736413043478261,0.499092558983666,0.6291
sql,spark_logistic_regression,0.3759105291652796,0.8465830589900928,0.4164794007490636,0.3545918367346938,0.5045372050816697,0.7032
python,spark_random_forest,0.4495045889272849,0.8970159188760486,0.4687800192122959,0.4170940170940171,0.5350877192982456,0.5065
python,spark_gbt,0.4549035677942493,0.885221929526399,0.484472049689441,0.4588235294117647,0.5131578947368421,0.6788
python,spark_logistic_regression,0.4800541039207716,0.9064495822748576,0.5218274111675127,0.4858223062381852,0.5635964912280702,0.7489
linux,spark_random_forest,0.4255414047095192,0.904916218815512,0.4712643678160919,0.4091816367265469,0.5555555555555556,0.5781
linux,spark_gbt,0.4272115540118186,0.8914244049491243,0.4951219512195122,0.4501108647450111,0.5501355013550135,0.7316
linux,spark_logistic_regression,0.3687922605054552,0.9005461809767987,0.449678800856531,0.3716814159292035,0.5691056910569106,0.7706
postgresql,spark_random_forest,0.3551841640211775,0.9223131786917154,0.4219823356231599,0.3071428571428571,0.6739811912225705,0.4688
postgresql,spark_gbt,0.356113732077341,0.8971330229255077,0.4065510597302504,0.2934631432545201,0.6614420062695925,0.5046
postgresql,spark_logistic_regression,0.3056935564835981,0.912921025105964,0.3979193758127438,0.34,0.4796238244514106,0.8199
аналитическое мышление,spark_random_forest,0.1373874111027531,0.746877124871137,0.2003891050583657,0.1484149855907781,0.3083832335329341,0.4975
аналитическое мышление,spark_gbt,0.1543928155786005,0.7407400483747794,0.1924050632911392,0.1666666666666666,0.2275449101796407,0.6434
аналитическое мышление,spark_logistic_regression,0.1508556498846782,0.7648140282870822,0.235385814497272,0.1591148577449947,0.4520958083832335,0.6346
git,spark_random_forest,0.3205602062168447,0.8980990015734953,0.3464052287581699,0.249607535321821,0.5658362989323843,0.4963
git,spark_gbt,0.3080397093968693,0.870609528250965,0.3295454545454545,0.2742316784869976,0.4128113879003559,0.6539
git,spark_logistic_regression,0.2639407934847782,0.8864431547669743,0.3439911797133407,0.2492012779552715,0.5551601423487544,0.7602
деловая коммуникация,spark_random_forest,0.1438173072064505,0.8071580671580675,0.1970588235294117,0.1191111111111111,0.5702127659574469,0.4656
деловая коммуникация,spark_gbt,0.186896433631867,0.7735253628870649,0.2091503267973856,0.2142857142857142,0.2042553191489361,0.7007
деловая коммуникация,spark_logistic_regression,0.120990389214196,0.8040929130290828,0.2117647058823529,0.1463414634146341,0.3829787234042553,0.707
работа с большим объемом информации,spark_random_forest,0.1333465375857237,0.7706376518218621,0.1736334405144694,0.1097560975609756,0.4153846153846154,0.4653
работа с большим объемом информации,spark_gbt,0.1478471488407391,0.7470258729757085,0.1981258366800535,0.1519507186858316,0.2846153846153846,0.5203
работа с большим объемом информации,spark_logistic_regression,0.1026636053160753,0.7647007844129553,0.1673944687045123,0.1032315978456014,0.4423076923076923,0.6289
docker,spark_random_forest,0.3123193509476338,0.9235930811159366,0.387862796833773,0.2737430167597765,0.665158371040724,0.43
docker,spark_gbt,0.2784969553644847,0.8981996585074735,0.3470031545741325,0.2663438256658595,0.497737556561086,0.5997
docker,spark_logistic_regression,0.314437670062952,0.9252742921498874,0.3577712609970674,0.2646420824295011,0.5520361990950227,0.7788
1с программирование,spark_random_forest,0.2481878704644851,0.9112336497443284,0.3146067415730337,0.2681992337164751,0.3804347826086957,0.6839
1с программирование,spark_gbt,0.3052359197605202,0.8894870151425259,0.3413566739606127,0.2857142857142857,0.4239130434782608,0.7107
1с программирование,spark_logistic_regression,0.2661510139605065,0.9137912464333128,0.3613595706618962,0.2693333333333333,0.5489130434782609,0.8009
организаторские навыки,spark_random_forest,0.0913854838920656,0.7768362510546873,0.1373134328358209,0.0964360587002096,0.238341968911917,0.5928
организаторские навыки,spark_gbt,0.1413740461247923,0.7727725981164407,0.1593110871905274,0.1005434782608695,0.3834196891191709,0.4148
организаторские навыки,spark_logistic_regression,0.1105257126442783,0.7920401796739803,0.1740370898716119,0.1200787401574803,0.3160621761658031,0.7357
деловая переписка,spark_random_forest,0.0939498678030216,0.8163399249687819,0.1622088006902502,0.096311475409836,0.5136612021857924,0.4852
деловая переписка,spark_gbt,0.1391814994707352,0.7962392975785704,0.1658206429780034,0.1200980392156862,0.2677595628415301,0.5043
деловая переписка,spark_logistic_regression,0.1080213014461783,0.8012733296589868,0.1820987654320987,0.1268817204301075,0.3224043715846995,0.7527
английский язык,spark_random_forest,0.1939341822404059,0.7587659443662104,0.2585034013605442,0.2175572519083969,0.3184357541899441,0.3891
английский язык,spark_gbt,0.1858375254591888,0.6907643049312714,0.29375,0.3333333333333333,0.2625698324022346,0.7286
английский язык,spark_logistic_regression,0.1654711020953974,0.7561925393015536,0.2835443037974683,0.2592592592592592,0.3128491620111732,0.7815
javascript,spark_random_forest,0.4568360118464159,0.9337869184285562,0.502970297029703,0.3993710691823899,0.679144385026738,0.4581
javascript,spark_gbt,0.433010736526894,0.9056353537381444,0.4609523809523809,0.3579881656804733,0.6470588235294118,0.5326
javascript,spark_logistic_regression,0.3866131067731859,0.9329030402108098,0.4938271604938271,0.4013377926421405,0.6417112299465241,0.8435
1с: предприятие 8,spark_random_forest,0.1210773695066192,0.8650886696852094,0.2008733624454148,0.1299435028248587,0.4423076923076923,0.5952
1с: предприятие 8,spark_gbt,0.1687230009155831,0.8413637758317574,0.2184873949579832,0.1940298507462686,0.25,0.7479
1с: предприятие 8,spark_logistic_regression,0.1327138550133472,0.8704032532258601,0.2222222222222222,0.1457085828343313,0.4679487179487179,0.7667
бизнес-анализ,spark_random_forest,0.2009555245847594,0.8630041007005523,0.2564102564102564,0.2252252252252252,0.2976190476190476,0.5448
бизнес-анализ,spark_gbt,0.1783345724024651,0.7860619579977164,0.232258064516129,0.2535211267605634,0.2142857142857142,0.7057
бизнес-анализ,spark_logistic_regression,0.1546820248449688,0.8645351124895847,0.2523364485981308,0.2076923076923077,0.3214285714285714,0.8138
управление командой,spark_random_forest,0.1492475895298154,0.8205022812705062,0.2254335260115607,0.2063492063492063,0.2484076433121019,0.501
управление командой,spark_gbt,0.1514081096825648,0.7703019683104791,0.2279202279202279,0.2061855670103092,0.2547770700636942,0.6247
управление командой,spark_logistic_regression,0.1189247150888784,0.8378639396496039,0.1771428571428571,0.160621761658031,0.197452229299363,0.8404
разработка технических заданий,spark_random_forest,0.1005729781576534,0.7854479595481916,0.2033898305084746,0.2097902097902098,0.1973684210526315,0.5928
разработка технических заданий,spark_gbt,0.1623663304642345,0.727974666587283,0.2068965517241379,0.4117647058823529,0.1381578947368421,0.818
разработка технических заданий,spark_logistic_regression,0.0865524155680673,0.7756311026434868,0.1448189762796504,0.0893682588597842,0.3815789473684211,0.68
