skill,model,pr_auc,roc_auc,f1,precision,recall,threshold
sql,catboost,0.2911769656143665,0.7621016365202412,0.33587786259541985,0.25,0.5116279069767442,0.1124
sql,xgboost,0.246162559854495,0.7216192937123169,0.2857142857142857,0.20192307692307693,0.4883720930232558,0.0271
sql,lightgbm,0.26228117086071767,0.7568188343382142,0.28125,0.21176470588235294,0.4186046511627907,0.0029
python,catboost,0.4268602009213112,0.8268824771287825,0.4423076923076923,0.3709677419354839,0.5476190476190477,0.1342
python,xgboost,0.37100943599626346,0.8050668543279382,0.2711864406779661,0.47058823529411764,0.19047619047619047,0.7162
python,lightgbm,0.41577445236348537,0.83614825240441,0.39215686274509803,0.2702702702702703,0.7142857142857143,0.0001
linux,catboost,0.30222252333401795,0.7768980381806986,0.25,0.38461538461538464,0.18518518518518517,0.6319
linux,xgboost,0.3311079999809528,0.7827922934811297,0.4,0.39285714285714285,0.4074074074074074,0.1091
linux,lightgbm,0.3114592888419163,0.7767660772411367,0.36,0.391304347826087,0.3333333333333333,0.0138
postgresql,catboost,0.2910761836475684,0.8631202046035806,0.27692307692307694,0.16822429906542055,0.782608695652174,0.0176
postgresql,xgboost,0.27769814938831877,0.8471611253196931,0.23880597014925373,0.18181818181818182,0.34782608695652173,0.0832
postgresql,lightgbm,0.2369251817526575,0.8431713554987212,0.2553191489361702,0.25,0.2608695652173913,0.045
аналитическое мышление,catboost,0.10625430896644329,0.6576555023923445,0.18446601941747573,0.10795454545454546,0.6333333333333333,0.0051
аналитическое мышление,xgboost,0.10503702713015191,0.6400318979266348,0.15544041450777202,0.09202453987730061,0.5,0.0025
аналитическое мышление,lightgbm,0.08141631100026407,0.6034290271132376,0.09448818897637795,0.061855670103092786,0.2,0.0001
git,catboost,0.08823374768702126,0.7248652809853734,0.10256410256410256,0.06349206349206349,0.26666666666666666,0.0507
git,xgboost,0.18697525278865884,0.7772132409545804,0.16129032258064516,0.09174311926605505,0.6666666666666666,0.0061
git,lightgbm,0.08299793766617891,0.7348729792147807,0.16326530612244897,0.0963855421686747,0.5333333333333333,0.0
деловая коммуникация,catboost,0.12378977546203482,0.7958622685185186,0.2222222222222222,0.14893617021276595,0.4375,0.0887
деловая коммуникация,xgboost,0.10737124216994877,0.8080150462962963,0.0,0.0,0.0,0.2751
деловая коммуникация,lightgbm,0.09377680770214199,0.7861689814814814,0.1590909090909091,0.09722222222222222,0.4375,0.0003
работа с большим объемом информации,catboost,0.12451124861086665,0.7073133179368746,0.10752688172043011,0.05847953216374269,0.6666666666666666,0.0057
работа с большим объемом информации,xgboost,0.10879006086203391,0.6501924557351809,0.12345679012345678,0.07575757575757576,0.3333333333333333,0.0165
работа с большим объемом информации,lightgbm,0.1100591381293453,0.6326404926866821,0.09836065573770492,0.06521739130434782,0.2,0.0001
docker,catboost,0.25389418919155504,0.8601707175925926,0.27906976744186046,0.2222222222222222,0.375,0.3579
docker,xgboost,0.31116776070251295,0.8564814814814815,0.35714285714285715,0.4166666666666667,0.3125,0.7282
docker,lightgbm,0.29274035964203593,0.8553240740740741,0.42424242424242425,0.4117647058823529,0.4375,0.0488
1с программирование,catboost,0.20335101463441999,0.8733641262509623,0.21428571428571427,0.23076923076923078,0.2,0.3336
1с программирование,xgboost,0.23409781697431417,0.8803695150115474,0.24,0.3,0.2,0.1969
1с программирование,lightgbm,0.18531175513046086,0.8265588914549653,0.1875,0.17647058823529413,0.2,0.0039
организаторские навыки,catboost,0.05121883613683861,0.6401826484018265,0.0611353711790393,0.0319634703196347,0.7,0.0023
организаторские навыки,xgboost,0.041603863982104514,0.6381278538812785,0.08602150537634409,0.04819277108433735,0.4,0.0032
организаторские навыки,lightgbm,0.05923969765108346,0.684931506849315,0.08823529411764706,0.047619047619047616,0.6,0.0
деловая переписка,catboost,0.03173513599993822,0.6885369532428356,0.08,0.045454545454545456,0.3333333333333333,0.0182
