skill,model,pr_auc,roc_auc,f1,precision,recall,threshold
sql,spark_random_forest,0.23563896092499967,0.7301464254952624,0.3283582089552239,0.24175824175824176,0.5116279069767442,0.2789
sql,spark_gbt,0.20510225658953665,0.6639391329313811,0.26865671641791045,0.1978021978021978,0.4186046511627907,0.0744
sql,spark_logistic_regression,0.20402740294306218,0.7167384438702267,0.3333333333333333,0.2376237623762376,0.5581395348837209,0.405
python,spark_random_forest,0.3054441986714518,0.8053014309171945,0.29508196721311475,0.47368421052631576,0.21428571428571427,0.5218
python,spark_gbt,0.2840577673530512,0.743431855500821,0.3380281690140845,0.41379310344827586,0.2857142857142857,0.6295
python,spark_logistic_regression,0.39682667326697807,0.7911095472671827,0.49382716049382713,0.5128205128205128,0.47619047619047616,0.7016
linux,spark_random_forest,0.320575779632058,0.8229084191079438,0.375,0.2830188679245283,0.5555555555555556,0.2306
linux,spark_gbt,0.28330707331228183,0.6958740212896982,0.2727272727272727,0.35294117647058826,0.2222222222222222,0.7024
linux,spark_logistic_regression,0.32428515653475004,0.7826163455617138,0.375,0.42857142857142855,0.3333333333333333,0.8112
postgresql,spark_random_forest,0.2304044290758254,0.862915601023018,0.25263157894736843,0.16666666666666666,0.5217391304347826,0.2223
postgresql,spark_gbt,0.13055021462516156,0.7495652173913042,0.23529411764705882,0.16129032258064516,0.43478260869565216,0.1723
postgresql,spark_logistic_regression,0.33544229901351663,0.9113043478260872,0.410958904109589,0.3,0.6521739130434783,0.5595
аналитическое мышление,spark_random_forest,0.08549664363679023,0.6299043062200957,0.15267175572519084,0.09900990099009901,0.3333333333333333,0.1836
аналитическое мышление,spark_gbt,0.08849679667535114,0.5967304625199364,0.17228464419475656,0.0970464135021097,0.7666666666666667,0.0122
аналитическое мышление,spark_logistic_regression,0.10119484021543089,0.6751196172248805,0.09836065573770492,0.0967741935483871,0.1,0.6894
git,spark_random_forest,0.07754322819827154,0.7727482678983834,0.1568627450980392,0.1111111111111111,0.26666666666666666,0.3033
git,spark_gbt,0.06471778230933119,0.6669745958429562,0.11764705882352941,0.08333333333333333,0.2,0.3526
git,spark_logistic_regression,0.1765692584881474,0.8360277136258661,0.2553191489361702,0.1875,0.4,0.5681
деловая коммуникация,spark_random_forest,0.09874022047898341,0.8276909722222221,0.20512820512820512,0.12903225806451613,0.5,0.2795
деловая коммуникация,spark_gbt,0.0823051356025553,0.6921296296296295,0.06060606060606061,0.058823529411764705,0.0625,0.4763
деловая коммуникация,spark_logistic_regression,0.0812805800147712,0.7379918981481479,0.0625,0.0625,0.0625,0.8583
работа с большим объемом информации,spark_random_forest,0.07688093356965624,0.7473441108545034,0.12371134020618557,0.0670391061452514,0.8,0.071
