skill,model,accuracy,precision,recall,f1,majority_baseline_acc,positive_rate,pr_auc,roc_auc
sql,spark_random_forest,0.8698738170347003,0.32960199004975127,0.4809437386569873,0.3911439114391144,0.9130914826498423,0.08690851735015773,0.3462477830748937,0.8345660883225867
sql,spark_gbt,0.883596214511041,0.3545878693623639,0.41379310344827586,0.38190954773869346,0.9130914826498423,0.08690851735015773,0.3439766641253854,0.8202584913687293
sql,spark_logistic_regression,0.8749211356466877,0.3444730077120823,0.4863883847549909,0.4033107599699022,0.9130914826498423,0.08690851735015773,0.350914413127752,0.8301978625837413
python,spark_random_forest,0.91198738170347,0.4229607250755287,0.6140350877192983,0.5008944543828265,0.9280757097791799,0.07192429022082018,0.4484529922744565,0.8836960848330891
python,spark_gbt,0.9250788643533123,0.4817658349328215,0.5504385964912281,0.5138178096212898,0.9280757097791799,0.07192429022082018,0.4569589181240293,0.8782514580128093
python,spark_logistic_regression,0.9220820189274448,0.4666666666666667,0.5833333333333334,0.5185185185185186,0.9280757097791799,0.07192429022082018,0.4675327049435617,0.894601364688063
linux,spark_random_forest,0.9227129337539433,0.381139489194499,0.5257452574525745,0.4419134396355353,0.9417981072555205,0.0582018927444795,0.3892660362937584,0.8960036744899355
linux,spark_gbt,0.9138801261829653,0.350253807106599,0.5609756097560976,0.43124999999999997,0.9417981072555205,0.0582018927444795,0.3897115809535054,0.87913669456574
linux,spark_logistic_regression,0.931230283911672,0.4087193460490463,0.4065040650406504,0.40760869565217384,0.9417981072555205,0.0582018927444795,0.3560305222687925,0.8916890081645757
postgresql,spark_random_forest,0.9078864353312303,0.2939346811819596,0.5924764890282131,0.392931392931393,0.9496845425867508,0.050315457413249214,0.3277682448510017,0.8964829991581189
postgresql,spark_gbt,0.9077287066246057,0.2953846153846154,0.6018808777429467,0.39628482972136225,0.9496845425867508,0.050315457413249214,0.3187313776729711,0.8860339386858642
postgresql,spark_logistic_regression,0.8941640378548896,0.2772151898734177,0.6865203761755486,0.3949504057709648,0.9496845425867508,0.050315457413249214,0.3127361359329805,0.9077437432934572
аналитическое мышление,spark_random_forest,0.8791798107255521,0.16459627329192547,0.31736526946107785,0.21676891615541924,0.9473186119873817,0.0526813880126183,0.1461580905137768,0.7472038939104803
аналитическое мышление,spark_gbt,0.8630914826498423,0.14868421052631578,0.3383233532934132,0.20658135283363802,0.9473186119873817,0.0526813880126183,0.1357512922043888,0.7337609994795625
аналитическое мышление,spark_logistic_regression,0.8665615141955836,0.16047745358090185,0.36227544910179643,0.22242647058823528,0.9473186119873817,0.0526813880126183,0.1459066595826096,0.7552026316996377
git,spark_random_forest,0.933596214511041,0.2839506172839506,0.3274021352313167,0.30413223140495865,0.9556782334384858,0.044321766561514195,0.2743133660532624,0.8885370370479135
git,spark_gbt,0.9287066246056782,0.272,0.36298932384341637,0.3109756097560976,0.9556782334384858,0.044321766561514195,0.2625588031155875,0.8469545319189301
git,spark_logistic_regression,0.8982649842271293,0.23699421965317918,0.5836298932384342,0.3371017471736896,0.9556782334384858,0.044321766561514195,0.2440211477712818,0.8679168484986599
деловая коммуникация,spark_random_forest,0.9288643533123029,0.21428571428571427,0.3446808510638298,0.2642740619902121,0.9629337539432177,0.03706624605678233,0.1666139202960108,0.813155592730061
деловая коммуникация,spark_gbt,0.9033123028391167,0.1551094890510949,0.3617021276595745,0.2171136653895275,0.9629337539432177,0.03706624605678233,0.153818779395156,0.7849073832052557
