skill,model,accuracy,precision,recall,f1,majority_baseline_acc,positive_rate,pr_auc,roc_auc
sql,spark_random_forest,0.8255520504731861,0.28505034856700234,0.6678765880217786,0.3995656894679696,0.9130914826498423,0.08690851735015773,0.3572861082313847,0.8347342839022255
sql,spark_gbt,0.7941640378548895,0.25131926121372034,0.691470054446461,0.3686502177068215,0.9130914826498423,0.08690851735015773,0.3528627086640846,0.8331785139787299
sql,spark_logistic_regression,0.8064668769716088,0.26297335203366057,0.6805807622504537,0.3793626707132018,0.9130914826498423,0.08690851735015773,0.3388171582805577,0.8195084300000721
python,spark_random_forest,0.8897476340694006,0.3614595210946408,0.6951754385964912,0.4756189047261815,0.9280757097791799,0.07192429022082018,0.465165309047039,0.8883181568809859
python,spark_gbt,0.88801261829653,0.3607456140350877,0.7214912280701754,0.48099415204678364,0.9280757097791799,0.07192429022082018,0.4657190898460422,0.8926804551743056
python,spark_logistic_regression,0.8665615141955836,0.3153409090909091,0.7302631578947368,0.4404761904761905,0.9280757097791799,0.07192429022082018,0.4471816057629048,0.8839925697997545
linux,spark_random_forest,0.8873817034700315,0.2939068100358423,0.6666666666666666,0.4079601990049751,0.9417981072555205,0.0582018927444795,0.4029749732173429,0.8994417008313446
linux,spark_gbt,0.8638801261829653,0.25496031746031744,0.6964769647696477,0.373275236020334,0.9417981072555205,0.0582018927444795,0.3981448785404431,0.8935437269294818
linux,spark_logistic_regression,0.8623028391167192,0.25245579567779963,0.6964769647696477,0.37058399423215577,0.9417981072555205,0.0582018927444795,0.3500798617940924,0.8764911162760933
postgresql,spark_random_forest,0.8652996845425868,0.2348860257680872,0.7429467084639498,0.3569277108433735,0.9496845425867508,0.050315457413249214,0.3325196673165674,0.8984502517052384
postgresql,spark_gbt,0.8675078864353313,0.24182358771060455,0.7648902821316614,0.3674698795180723,0.9496845425867508,0.050315457413249214,0.3125926956459507,0.900229031201662
postgresql,spark_logistic_regression,0.8695583596214511,0.24446680080482897,0.7617554858934169,0.3701447067783702,0.9496845425867508,0.050315457413249214,0.3067786130372663,0.9012216385805376
аналитическое мышление,spark_random_forest,0.5824921135646688,0.08945686900958466,0.7544910179640718,0.15994922246905743,0.9473186119873817,0.0526813880126183,0.1506661800729741,0.7490747775178912
аналитическое мышление,spark_gbt,0.6755520504731861,0.10097267253358036,0.6526946107784432,0.17488969113517852,0.9473186119873817,0.0526813880126183,0.1487804295167739,0.750857924510619
аналитическое мышление,spark_logistic_regression,0.6780757097791799,0.10135450723960766,0.6497005988023952,0.17535353535353537,0.9473186119873817,0.0526813880126183,0.1418754321602574,0.746825779011408
git,spark_random_forest,0.8561514195583596,0.1975071907957814,0.7330960854092526,0.311178247734139,0.9556782334384858,0.044321766561514195,0.2892416910862794,0.8904814402151088
git,spark_gbt,0.826813880126183,0.17135961383748993,0.7580071174377224,0.2795275590551181,0.9556782334384858,0.044321766561514195,0.2640293027647346,0.8787371980977093
git,spark_logistic_regression,0.8556782334384858,0.1916342412451362,0.701067615658363,0.3009931245225363,0.9556782334384858,0.044321766561514195,0.2319786268258468,0.8566034233947439
деловая коммуникация,spark_random_forest,0.6189274447949527,0.0781431334622824,0.8595744680851064,0.14326241134751774,0.9629337539432177,0.03706624605678233,0.1559425248164617,0.8151326955582275
деловая коммуникация,spark_gbt,0.7077287066246056,0.08682328907048008,0.723404255319149,0.15503875968992248,0.9629337539432177,0.03706624605678233,0.1471052223932367,0.7969651663268688
деловая коммуникация,spark_logistic_regression,0.7201892744479496,0.09003729355354288,0.7191489361702128,0.16003787878787878,0.9629337539432177,0.03706624605678233,0.1222069560550863,0.7980117448202553
