skill,model,accuracy,precision,recall,f1,majority_baseline_acc,positive_rate,pr_auc,roc_auc
sql,spark_random_forest,0.894006309148265,0.3976311336717428,0.426497277676951,0.41155866900175136,0.9130914826498423,0.08690851735015773,0.3951999905508408,0.8509420363233481
sql,spark_gbt,0.8837539432176656,0.3736413043478261,0.49909255898366606,0.42735042735042733,0.9130914826498423,0.08690851735015773,0.4131992882559291,0.8392487598515109
sql,spark_logistic_regression,0.8769716088328076,0.354140127388535,0.5045372050816697,0.4161676646706587,0.9130914826498423,0.08690851735015773,0.3759105291652796,0.8465830589900928
python,spark_random_forest,0.9127760252365931,0.4170940170940171,0.5350877192982456,0.4687800192122959,0.9280757097791799,0.07192429022082018,0.4495045889272849,0.8970159188760486
python,spark_gbt,0.9211356466876972,0.4568627450980392,0.5109649122807017,0.4824016563146997,0.9280757097791799,0.07192429022082018,0.4549035677942493,0.885221929526399
python,spark_logistic_regression,0.9246056782334385,0.4794007490636704,0.5614035087719298,0.5171717171717172,0.9280757097791799,0.07192429022082018,0.4800541039207716,0.9064495822748576
linux,spark_random_forest,0.9274447949526814,0.4091816367265469,0.5555555555555556,0.471264367816092,0.9417981072555205,0.0582018927444795,0.4255414047095192,0.904916218815512
linux,spark_gbt,0.9342271293375395,0.44713656387665196,0.5501355013550135,0.4933171324422843,0.9417981072555205,0.0582018927444795,0.4272115540118186,0.8914244049491243
linux,spark_logistic_regression,0.918769716088328,0.3710247349823322,0.5691056910569106,0.44919786096256686,0.9417981072555205,0.0582018927444795,0.3687922605054552,0.9005461809767987
postgresql,spark_random_forest,0.9070977917981072,0.30714285714285716,0.6739811912225705,0.42198233562316,0.9496845425867508,0.050315457413249214,0.3551841640211775,0.9223131786917154
postgresql,spark_gbt,0.9031545741324921,0.29542302357836336,0.6677115987460815,0.4096153846153846,0.9496845425867508,0.050315457413249214,0.356113732077341,0.8971330229255077
postgresql,spark_logistic_regression,0.927602523659306,0.34234234234234234,0.47648902821316613,0.3984272608125819,0.9496845425867508,0.050315457413249214,0.3056935564835981,0.912921025105964
аналитическое мышление,spark_random_forest,0.8703470031545741,0.1484149855907781,0.3083832335329341,0.20038910505836577,0.9473186119873817,0.0526813880126183,0.1373874111027531,0.746877124871137
аналитическое мышление,spark_gbt,0.8995268138801262,0.16703296703296702,0.2275449101796407,0.19264892268694547,0.9473186119873817,0.0526813880126183,0.1543928155786005,0.7407400483747794
аналитическое мышление,spark_logistic_regression,0.8451104100946373,0.15966386554621848,0.4550898203592814,0.2363919129082426,0.9473186119873817,0.0526813880126183,0.1508556498846782,0.7648140282870822
git,spark_random_forest,0.9053627760252366,0.24960753532182103,0.5658362989323843,0.3464052287581699,0.9556782334384858,0.044321766561514195,0.3205602062168447,0.8980990015734953
git,spark_gbt,0.9249211356466877,0.2716627634660422,0.4128113879003559,0.327683615819209,0.9556782334384858,0.044321766561514195,0.3080397093968693,0.870609528250965
git,spark_logistic_regression,0.9053627760252366,0.246422893481717,0.5516014234875445,0.34065934065934067,0.9556782334384858,0.044321766561514195,0.2639407934847782,0.8864431547669743
деловая коммуникация,spark_random_forest,0.8277602523659306,0.11911111111111111,0.5702127659574469,0.19705882352941181,0.9629337539432177,0.03706624605678233,0.1438173072064505,0.8071580671580675
деловая коммуникация,spark_gbt,0.9427444794952682,0.21428571428571427,0.20425531914893616,0.20915032679738563,0.9629337539432177,0.03706624605678233,0.186896433631867,0.7735253628870649
деловая коммуникация,spark_logistic_regression,0.8938485804416404,0.14563106796116504,0.3829787234042553,0.2110199296600234,0.9629337539432177,0.03706624605678233,0.120990389214196,0.8040929130290828
работа с большим объемом информации,spark_random_forest,0.8378548895899054,0.10975609756097561,0.4153846153846154,0.17363344051446944,0.9589905362776026,0.04100946372239748,0.1333465375857237,0.7706376518218621
работа с большим объемом информации,spark_gbt,0.9055205047318612,0.15195071868583163,0.2846153846153846,0.19812583668005354,0.9589905362776026,0.04100946372239748,0.1478471488407391,0.7470258729757085
работа с большим объемом информации,spark_logistic_regression,0.8197160883280757,0.10332434860736747,0.4423076923076923,0.16751638747268752,0.9589905362776026,0.04100946372239748,0.1026636053160753,0.7647007844129553
docker,spark_random_forest,0.9268138801261829,0.2737430167597765,0.665158371040724,0.38786279683377306,0.9651419558359622,0.03485804416403786,0.3123193509476338,0.9235930811159366
docker,spark_gbt,0.9345425867507886,0.26570048309178745,0.497737556561086,0.34645669291338577,0.9651419558359622,0.03485804416403786,0.2784969553644847,0.8981996585074735
docker,spark_logistic_regression,0.9309148264984227,0.2636165577342048,0.5475113122171946,0.3558823529411764,0.9651419558359622,0.03485804416403786,0.314437670062952,0.9252742921498874
1с программирование,spark_random_forest,0.9518927444794952,0.2681992337164751,0.3804347826086957,0.31460674157303375,0.9709779179810726,0.029022082018927444,0.2481878704644851,0.9112336497443284
