skill,model,accuracy,precision,recall,f1,majority_baseline_acc,positive_rate,pr_auc,roc_auc
sql,spark_random_forest,0.8840694006309149,0.3795811518324607,0.5263157894736842,0.44106463878326996,0.9130914826498423,0.08690851735015773,0.406294162745333,0.8692866406937995
sql,spark_gbt,0.8982649842271293,0.42269736842105265,0.4664246823956443,0.44348576358930114,0.9130914826498423,0.08690851735015773,0.4315234826580821,0.8550067889567142
sql,spark_logistic_regression,0.8993690851735016,0.41714285714285715,0.397459165154265,0.4070631970260223,0.9130914826498423,0.08690851735015773,0.370154465344731,0.8665635338816118
python,spark_random_forest,0.9058359621451104,0.4048582995951417,0.6578947368421053,0.5012531328320802,0.9280757097791799,0.07192429022082018,0.4719379105805238,0.911055069054349
python,spark_gbt,0.910410094637224,0.4119496855345912,0.5745614035087719,0.47985347985347987,0.9280757097791799,0.07192429022082018,0.4693500050857532,0.8854161076126754
python,spark_logistic_regression,0.9170347003154574,0.4471299093655589,0.6491228070175439,0.5295169946332737,0.9280757097791799,0.07192429022082018,0.4850219067812436,0.9189852499194968
linux,spark_random_forest,0.9250788643533123,0.3968871595330739,0.5528455284552846,0.4620611551528878,0.9417981072555205,0.0582018927444795,0.4253447942216388,0.9248672104875464
linux,spark_gbt,0.9261829652996846,0.40119760479041916,0.5447154471544715,0.46206896551724136,0.9417981072555205,0.0582018927444795,0.4530628465518943,0.8875518030008634
linux,spark_logistic_regression,0.9261829652996846,0.4060721062618596,0.5799457994579946,0.4776785714285715,0.9417981072555205,0.0582018927444795,0.4190342724733992,0.9247911881229012
postgresql,spark_random_forest,0.9014195583596214,0.2880886426592798,0.6520376175548589,0.39961575408261285,0.9496845425867508,0.050315457413249214,0.3743896899605542,0.9149010334258516
postgresql,spark_gbt,0.9255520504731861,0.34291581108829566,0.5235109717868338,0.4143920595533498,0.9496845425867508,0.050315457413249214,0.3997430332501996,0.8923886564214388
postgresql,spark_logistic_regression,0.9072555205047319,0.29652042360060515,0.6144200626959248,0.4,0.9496845425867508,0.050315457413249214,0.3295607792037974,0.910945181936369
аналитическое мышление,spark_random_forest,0.9026813880126183,0.22524271844660193,0.3473053892215569,0.2732626619552414,0.9473186119873817,0.0526813880126183,0.2027031176687973,0.8171541532319975
аналитическое мышление,spark_gbt,0.9288643533123029,0.2857142857142857,0.23353293413173654,0.2570016474464579,0.9473186119873817,0.0526813880126183,0.2146311808060263,0.79623420491684
аналитическое мышление,spark_logistic_regression,0.8878548895899053,0.20031796502384738,0.3772455089820359,0.2616822429906542,0.9473186119873817,0.0526813880126183,0.2028978281412278,0.8063593093533216
git,spark_random_forest,0.9121451104100946,0.25704225352112675,0.5195729537366548,0.34393404004711425,0.9556782334384858,0.044321766561514195,0.3259211389711186,0.9100391230010474
git,spark_gbt,0.9157728706624606,0.27207207207207207,0.5373665480427047,0.361244019138756,0.9556782334384858,0.044321766561514195,0.3681474162255672,0.8892397944530034
git,spark_logistic_regression,0.9323343848580442,0.30319148936170215,0.40569395017793597,0.34703196347031967,0.9556782334384858,0.044321766561514195,0.2683553276700346,0.9061083215521863
деловая коммуникация,spark_random_forest,0.9209779179810725,0.22520661157024793,0.46382978723404256,0.3031988873435327,0.9629337539432177,0.03706624605678233,0.2075898422687325,0.8553351804415632
деловая коммуникация,spark_gbt,0.9290220820189274,0.23325062034739455,0.4,0.2946708463949843,0.9629337539432177,0.03706624605678233,0.2217265550848579,0.8140700855594475
деловая коммуникация,spark_logistic_regression,0.874763406940063,0.16606929510155316,0.5914893617021276,0.2593283582089552,0.9629337539432177,0.03706624605678233,0.1852269861510006,0.8511000749298626
работа с большим объемом информации,spark_random_forest,0.9033123028391167,0.18538324420677363,0.4,0.25334957369062117,0.9589905362776026,0.04100946372239748,0.2065424744595033,0.8171058957489875
работа с большим объемом информации,spark_gbt,0.9242902208201893,0.19444444444444445,0.2692307692307692,0.22580645161290322,0.9589905362776026,0.04100946372239748,0.1958775353416871,0.7598839195344128
