title,n,model_corr,baseline_corr
Системный администратор,138,0.11432173769363635,0.414629585963487
Программист 1С,119,0.9118918238246719,-0.03863948406036745
Бизнес-аналитик,66,0.7584140563521568,0.15524251218681698
Системный аналитик,64,0.7318051583353165,0.3264834166464276
DevOps-инженер,32,0.751150757099603,0.528272503011159
Технический писатель,32,0.2684816192269039,0.20029581116927753
Инженер по качеству,31,0.5202659817144719,0.028903665650804
Аналитик 1С,26,0.8029758486887522,-0.2517036319116849
Сетевой инженер,26,0.46614722254101953,0.26843152753136107
Инженер-программист,24,0.605255665087985,0.48616223233482364
Менеджер по продажам,23,0.6871216199832763,-0.2787644021370415
Data Engineer,19,0.7351936587376564,0.5098923762212778
Менеджер проектов,19,0.6019939400308678,-0.17045706545676903
Разработчик 1С,17,0.3968626966596886,0.20986974685512352
Руководитель проектов,15,0.6823553690786665,-0.08552683100168572
