skill,model,pr_auc,roc_auc,f1,threshold
sql,catboost,0.3840009102251023,0.8337981571532969,0.4259012016021362,0.567
sql,xgboost,0.38417095008628177,0.8288875672899881,0.4113238967527061,0.6375
sql,lightgbm,0.3803761818683034,0.831613338897007,0.4171382376717866,0.6473
python,catboost,0.48249711676661816,0.9043447439979964,0.5373699148533586,0.6353
python,xgboost,0.5119711367108731,0.8966396755399716,0.5368731563421829,0.6072
python,lightgbm,0.5009861872315213,0.897683056638878,0.530938123752495,0.6594
linux,catboost,0.4205316052079948,0.8949282416957481,0.48010269576379977,0.7571
linux,xgboost,0.4435481077117035,0.8955064655319137,0.4621212121212121,0.697
linux,lightgbm,0.4546385841619898,0.8977984830928529,0.4723756906077348,0.7882
postgresql,catboost,0.3773803547039788,0.9061229791862233,0.43538998835855647,0.6695
postgresql,xgboost,0.39184193711590526,0.9038711948098063,0.42780748663101603,0.5615
postgresql,lightgbm,0.3958647046984897,0.9054469232295118,0.43820224719101125,0.6381
аналитическое мышление,catboost,0.1608551820992737,0.7507370374136841,0.22174840085287847,0.6309
аналитическое мышление,xgboost,0.15131121117738974,0.7498970590287956,0.20574886535552195,0.6836
аналитическое мышление,lightgbm,0.15995597916454732,0.7510314037260145,0.2023217247097844,0.7067
git,catboost,0.30948804884818304,0.8829698944953508,0.35555555555555557,0.6993
git,xgboost,0.3316190487107338,0.8706526980539522,0.3434650455927052,0.6699
git,lightgbm,0.32778404551176366,0.8736513841648463,0.347010550996483,0.6008
деловая коммуникация,catboost,0.18024153036884388,0.7959569240420303,0.23626943005181347,0.5851
деловая коммуникация,xgboost,0.18568351053563412,0.7981041002317598,0.21505376344086022,0.579
деловая коммуникация,lightgbm,0.19201544432248632,0.8012417446460001,0.242914979757085,0.6549
работа с большим объемом информации,catboost,0.13799053478705608,0.7581869939271255,0.1978798586572438,0.694
работа с большим объемом информации,xgboost,0.1395919670262434,0.7554684337044535,0.18455743879472694,0.6919
работа с большим объемом информации,lightgbm,0.1427464047496602,0.7575651568825911,0.1928665785997358,0.6534
docker,catboost,0.31371135553195023,0.9094327511889012,0.375,0.7532
docker,xgboost,0.33699966168935197,0.9096390665082206,0.36231884057971014,0.6373
docker,lightgbm,0.3244690158570187,0.9106617693276412,0.3546099290780142,0.7894
1с программирование,catboost,0.327515037740504,0.9229432402463484,0.396078431372549,0.7594
1с программирование,xgboost,0.3133320982949276,0.9160358752154137,0.3789954337899543,0.8131
1с программирование,lightgbm,0.3278586751876408,0.9174590184196401,0.3826879271070615,0.8259
организаторские навыки,catboost,0.11407044228285806,0.7823935345688658,0.15675675675675677,0.7648
организаторские навыки,xgboost,0.14090953669702044,0.7912596481201917,0.2366412213740458,0.7009
организаторские навыки,lightgbm,0.14931841269345997,0.7890904278678422,0.17116422513492677,0.5569
деловая переписка,catboost,0.10702807628060823,0.7906545572989471,0.17791411042944785,0.7586
деловая переписка,xgboost,0.12978677780615155,0.8054340388255937,0.1957040572792363,0.7262
деловая переписка,lightgbm,0.11588855210737548,0.8046392617226295,0.19473684210526315,0.7446
английский язык,catboost,0.22900686282921096,0.7557078722800387,0.32857142857142857,0.6272
английский язык,xgboost,0.23462547772102627,0.7405802765458339,0.32545931758530183,0.5972
английский язык,lightgbm,0.24740166758983897,0.7499594221717253,0.34285714285714286,0.657
javascript,catboost,0.5062290205761001,0.9311370219822337,0.5069306930693069,0.6595
javascript,xgboost,0.5170986271148095,0.9393613480142289,0.5086042065009561,0.5259
javascript,lightgbm,0.5121935899767134,0.9303035517651056,0.4877126654064272,0.4491
1с: предприятие 8,catboost,0.15807167339544087,0.8554230105814841,0.23703703703703705,0.7611
1с: предприятие 8,xgboost,0.1716472774333892,0.8733212467243838,0.2864450127877238,0.7841
1с: предприятие 8,lightgbm,0.17306269289441698,0.8756447573556241,0.2896174863387978,0.8023
бизнес-анализ,catboost,0.20605924313982882,0.8453248927568435,0.25792811839323465,0.6524
бизнес-анализ,xgboost,0.20654102246300568,0.8512579853717248,0.252,0.6385
бизнес-анализ,lightgbm,0.18454949704330745,0.8396136160232077,0.23236514522821577,0.655
управление командой,catboost,0.15356884368389614,0.8357619155049133,0.2140468227424749,0.7464
управление командой,xgboost,0.14449042892261474,0.8115219355310586,0.1976401179941003,0.4977
управление командой,lightgbm,0.1466527930859873,0.8207840277069548,0.23452768729641693,0.717
разработка технических заданий,catboost,0.16769801032120282,0.7721348407784167,0.22839506172839505,0.7156
разработка технических заданий,xgboost,0.160798598312012,0.7814126662810872,0.2280130293159609,0.7313
разработка технических заданий,lightgbm,0.13275057154526698,0.7741288316946211,0.18930041152263374,0.8087
java,catboost,0.5149323273743718,0.9219977349893616,0.5836065573770491,0.7712
java,xgboost,0.5005635608912011,0.9287329012018177,0.5466237942122186,0.6942
java,lightgbm,0.5248602370665053,0.9291431734973983,0.5654761904761905,0.6305
деловое общение,catboost,0.14001875911442727,0.7976248182258846,0.18775510204081633,0.6476
деловое общение,xgboost,0.1258931278915471,0.7970395028992904,0.20209059233449478,0.7807
деловое общение,lightgbm,0.14310803358619534,0.7970930052143357,0.23443223443223443,0.7877
