skill,model,pr_auc,roc_auc,f1,precision,recall,threshold
sql,catboost,0.38254123309224214,0.8318208793885644,0.4384432088959492,0.3898305084745763,0.5009074410163339,0.6253
sql,xgboost,0.3867221842760023,0.8224265370928469,0.41672285906945383,0.3315450643776824,0.5607985480943739,0.494
sql,lightgbm,0.3826186053511538,0.8231165622014841,0.42733699921445406,0.3767313019390582,0.49364791288566245,0.6219
python,catboost,0.4939838397705973,0.898798182999988,0.5418326693227091,0.49635036496350365,0.5964912280701754,0.6275
python,xgboost,0.5098503665148265,0.8872075029518052,0.5249457700650759,0.51931330472103,0.5307017543859649,0.6355
python,lightgbm,0.49553283298866085,0.8910167104964996,0.5284872298624754,0.4786476868327402,0.5899122807017544,0.6089
linux,catboost,0.44769538533129605,0.9002688695451684,0.47848101265822784,0.4489311163895487,0.5121951219512195,0.716
linux,xgboost,0.4539681979587444,0.891076744463643,0.4789156626506024,0.5389830508474577,0.43089430894308944,0.7626
linux,lightgbm,0.45110972499073787,0.8918782698126764,0.4577540106951872,0.37809187279151946,0.5799457994579946,0.5999
postgresql,catboost,0.37066915469857886,0.90371422070819,0.42696629213483145,0.35477178423236516,0.5360501567398119,0.6709
postgresql,xgboost,0.407347475230222,0.8994295826675601,0.4309677419354839,0.36622807017543857,0.5235109717868338,0.5761
postgresql,lightgbm,0.4044915408680067,0.9042575124993557,0.439918533604888,0.3257918552036199,0.677115987460815,0.5034
аналитическое мышление,catboost,0.172144963452913,0.7558544250161018,0.22149122807017543,0.17474048442906576,0.3023952095808383,0.6032
аналитическое мышление,xgboost,0.1596626472838473,0.7486345989340002,0.22375690607734808,0.2076923076923077,0.24251497005988024,0.6426
аналитическое мышление,lightgbm,0.16734041462830612,0.7489516471552401,0.2497376705141658,0.19224555735056542,0.3562874251497006,0.6043
git,catboost,0.3306399416961811,0.8696468710115653,0.3866877971473851,0.3485714285714286,0.43416370106761565,0.7075
git,xgboost,0.3267864570308091,0.8650168362231648,0.3596638655462185,0.34076433121019106,0.3807829181494662,0.642
git,lightgbm,0.327817981683593,0.8674695858459431,0.3622448979591837,0.2823061630218688,0.505338078291815,0.5899
деловая коммуникация,catboost,0.196293719269705,0.7960660079809015,0.2490372272143774,0.17830882352941177,0.4127659574468085,0.5971
деловая коммуникация,xgboost,0.1824177994351032,0.7880774391412688,0.21403508771929824,0.18208955223880596,0.25957446808510637,0.6581
деловая коммуникация,lightgbm,0.1812464675536396,0.7916444490912575,0.21773288439955107,0.14786585365853658,0.4127659574468085,0.6031
работа с большим объемом информации,catboost,0.14949491446869617,0.7510494686234818,0.1918819188191882,0.18439716312056736,0.2,0.6855
