skill,model,pr_auc,roc_auc,f1,precision,recall,threshold
sql,catboost,0.4284614059600457,0.8552931760247469,0.4553359683794466,0.40336134453781514,0.5226860254083484,0.5808
sql,xgboost,0.44621373665799013,0.8587498851786933,0.44958677685950416,0.41274658573596357,0.49364791288566245,0.2848
sql,lightgbm,0.44399657462944797,0.8579145503754382,0.44666666666666666,0.41294298921417566,0.4863883847549909,0.5104
python,catboost,0.5170260208175196,0.9086734990518446,0.5308151093439364,0.48545454545454547,0.5855263157894737,0.6139
python,xgboost,0.5425625819650273,0.9106477050460959,0.5481335952848723,0.49644128113879005,0.6118421052631579,0.2356
python,lightgbm,0.5218783995910803,0.9030490431977293,0.5121495327102804,0.44625407166123776,0.6008771929824561,0.4141
linux,catboost,0.43715367396494986,0.9017974864056126,0.47753530166880614,0.45365853658536587,0.5040650406504065,0.7047
linux,xgboost,0.5018835069655501,0.913396456858556,0.5019505851755527,0.4825,0.5230352303523035,0.3077
linux,lightgbm,0.49377792837952567,0.9078338890908588,0.4919786096256685,0.48548812664907653,0.4986449864498645,0.5852
postgresql,catboost,0.43854719512926704,0.9189323782643714,0.4541387024608501,0.35304347826086957,0.6363636363636364,0.56
postgresql,xgboost,0.4448766252041057,0.9261646411020156,0.437984496124031,0.3169705469845722,0.7084639498432602,0.0851
postgresql,lightgbm,0.44417531577262137,0.9253159917300942,0.44845908607863977,0.3392282958199357,0.6614420062695925,0.2975
аналитическое мышление,catboost,0.16022976022034371,0.7438856054125517,0.1950354609929078,0.2391304347826087,0.16467065868263472,0.657
аналитическое мышление,xgboost,0.16927354000644312,0.7540809988414778,0.21139430284857572,0.141,0.4221556886227545,0.1053
аналитическое мышление,lightgbm,0.15458449751206224,0.7452021531362848,0.202991452991453,0.15780730897009967,0.2844311377245509,0.4069
git,catboost,0.35018709623279326,0.8908919938516803,0.3434343434343434,0.28883495145631066,0.4234875444839858,0.5666
git,xgboost,0.3608432294521212,0.9018530124005992,0.34941763727121466,0.328125,0.3736654804270463,0.1953
git,lightgbm,0.34563070649273825,0.8930346257060612,0.34300791556728233,0.27253668763102723,0.4626334519572954,0.2986
деловая коммуникация,catboost,0.185373968600658,0.788901667625072,0.1864555848724714,0.11751662971175167,0.451063829787234,0.2976
деловая коммуникация,xgboost,0.19407744683879413,0.796982243365222,0.2205029013539652,0.20212765957446807,0.2425531914893617,0.2323
деловая коммуникация,lightgbm,0.19985883922505673,0.7945259379301931,0.19925512104283055,0.12753277711561384,0.4553191489361702,0.1701
работа с большим объемом информации,catboost,0.15358555997203344,0.7427846659919028,0.1588235294117647,0.12857142857142856,0.2076923076923077,0.4576
работа с большим объемом информации,xgboost,0.16105843467884728,0.7703580465587044,0.17270194986072424,0.13537117903930132,0.23846153846153847,0.1078
работа с большим объемом информации,lightgbm,0.16790223710825256,0.7689416751012146,0.2,0.20833333333333334,0.19230769230769232,0.4627
docker,catboost,0.33744970441352834,0.9225910837765908,0.3674911660777385,0.30144927536231886,0.47058823529411764,0.5791
docker,xgboost,0.3321894790094715,0.92287430516476,0.3673469387755102,0.3345724907063197,0.4072398190045249,0.1969
docker,lightgbm,0.35296618350305287,0.9286208153670158,0.36528028933092227,0.3042168674698795,0.45701357466063347,0.2953
1с программирование,catboost,0.34700352837529974,0.9199468704974997,0.36363636363636365,0.302158273381295,0.45652173913043476,0.651
1с программирование,xgboost,0.39644439507598106,0.9231763108455519,0.38443935926773454,0.33201581027667987,0.45652173913043476,0.363
1с программирование,lightgbm,0.3703984366726738,0.9184292630731418,0.37272727272727274,0.3203125,0.44565217391304346,0.5101
организаторские навыки,catboost,0.147308058550067,0.7815544210032106,0.1637239165329053,0.1186046511627907,0.26424870466321243,0.4324
