skill,model,pr_auc,roc_auc,f1,precision,recall,threshold
sql,catboost,0.4822117200304122,0.8862593459841072,0.47730829420970267,0.4195323246217332,0.5535390199637024,0.5247
sql,xgboost,0.49639574173423917,0.8863333332288316,0.49004329004329006,0.4685430463576159,0.5136116152450091,0.2331
sql,lightgbm,0.4872591977924994,0.8839767140822493,0.4868189806678383,0.47189097103918226,0.5027223230490018,0.4477
python,catboost,0.5635364208165105,0.9251631692248976,0.5359930615784909,0.4433285509325681,0.6776315789473685,0.4884
python,xgboost,0.5776164445398596,0.9299863143582954,0.548828125,0.49471830985915494,0.6162280701754386,0.1658
python,lightgbm,0.569639334769077,0.9236540961513232,0.5447070914696814,0.5125725338491296,0.581140350877193,0.4115
linux,catboost,0.49841933351693474,0.9248699336767274,0.5163043478260869,0.5177111716621253,0.5149051490514905,0.6611
linux,xgboost,0.5371747218109763,0.9341337694066942,0.5012165450121655,0.45474613686534215,0.5582655826558266,0.1717
linux,lightgbm,0.5346576112440522,0.9311196528478433,0.5153846153846153,0.48905109489051096,0.5447154471544715,0.4008
postgresql,catboost,0.4396333776860381,0.922512585261928,0.4294330518697226,0.34901960784313724,0.5579937304075235,0.5123
postgresql,xgboost,0.4637914410798426,0.9273087558227499,0.44755244755244755,0.3562152133580705,0.6018808777429467,0.1045
postgresql,lightgbm,0.46550171483519187,0.9236491506477589,0.455470737913486,0.38329764453961457,0.5611285266457681,0.3284
аналитическое мышление,catboost,0.23964310875276515,0.8162595887146784,0.28879892037786775,0.2628992628992629,0.3203592814371258,0.4732
аналитическое мышление,xgboost,0.251863077962677,0.8141499219343532,0.2659846547314578,0.23214285714285715,0.31137724550898205,0.0961
аналитическое мышление,lightgbm,0.25710203337932946,0.8108184230938722,0.29878048780487804,0.30434782608695654,0.2934131736526946,0.4065
git,catboost,0.4025489944162116,0.9109486255850684,0.384251968503937,0.3446327683615819,0.43416370106761565,0.5509
git,xgboost,0.42039923727554807,0.9200612717530288,0.3837753510140406,0.3416666666666667,0.4377224199288256,0.1376
git,lightgbm,0.40288911976265723,0.9143023613001217,0.3699825479930192,0.363013698630137,0.37722419928825623,0.3329
деловая коммуникация,catboost,0.23977248361116443,0.8279470960322023,0.24942263279445728,0.17115689381933438,0.4595744680851064,0.2596
деловая коммуникация,xgboost,0.2779592820459397,0.8473417324481154,0.3,0.20300751879699247,0.574468085106383,0.0246
деловая коммуникация,lightgbm,0.2729728189113042,0.8444330597522087,0.28852459016393445,0.23466666666666666,0.37446808510638296,0.2104
работа с большим объемом информации,catboost,0.2360585815608921,0.803765814777328,0.26461538461538464,0.2205128205128205,0.33076923076923076,0.3291
работа с большим объемом информации,xgboost,0.24346643869552934,0.8095818572874492,0.26292466765140327,0.21342925659472423,0.3423076923076923,0.0425
работа с большим объемом информации,lightgbm,0.24617663042654386,0.804795673076923,0.2515463917525773,0.27111111111111114,0.23461538461538461,0.2609
docker,catboost,0.3284404246519036,0.9237358010321681,0.37577639751552794,0.2860520094562648,0.5475113122171946,0.4236
docker,xgboost,0.36900783333228854,0.9323063908203733,0.3835051546391753,0.3522727272727273,0.42081447963800905,0.1357
docker,lightgbm,0.3812281237335939,0.9355216560834549,0.3854166666666667,0.3126760563380282,0.502262443438914,0.1455
1с программирование,catboost,0.6214144409247905,0.982881670763059,0.6603325415676959,0.5864978902953587,0.7554347826086957,0.8283
1с программирование,xgboost,0.6899004751996143,0.9858621493346894,0.6385542168674698,0.5063694267515924,0.8641304347826086,0.13
1с программирование,lightgbm,0.6594081117310076,0.9829134531174958,0.6320541760722348,0.5405405405405406,0.7608695652173914,0.3533
организаторские навыки,catboost,0.272462993621316,0.8670424344492573,0.28,0.21568627450980393,0.39896373056994816,0.4014
