skill,model,pr_auc,roc_auc,f1
sql,catboost,0.1924862045544131,0.6527923610244936,0.06441717791411043
sql,xgboost,0.17981931197687392,0.646987157923648,0.08421052631578947
sql,lightgbm,0.18960091749132282,0.6498816331724452,0.08231707317073171
python,catboost,0.1714680991073722,0.6815166762391822,0.0831889081455806
python,xgboost,0.17305907086967165,0.6760401369270964,0.08261617900172118
python,lightgbm,0.17996910231150617,0.6741047118558184,0.07760141093474426
linux,catboost,0.1396756137852276,0.6683146381675793,0.03294117647058824
linux,xgboost,0.14065927866123115,0.6580208885355944,0.07142857142857142
linux,lightgbm,0.14725131111461845,0.6587501104045221,0.04672897196261682
postgresql,catboost,0.12813018543754418,0.7025023970727389,0.03684210526315789
postgresql,xgboost,0.13102020708783974,0.705174320164994,0.04221635883905013
postgresql,lightgbm,0.1400714525470465,0.7059833453274391,0.047872340425531915
аналитическое мышление,catboost,0.0736443186510827,0.6091605969120825,0.005277044854881266
аналитическое мышление,xgboost,0.07212153119992491,0.6044441188817297,0.0053475935828877
аналитическое мышление,lightgbm,0.07410581480400609,0.6080763120792309,0.0
git,catboost,0.13681713373811993,0.7081253295110056,0.03529411764705882
git,xgboost,0.14543166216826725,0.7139627085072418,0.05217391304347826
git,lightgbm,0.15035161238916286,0.714387869235388,0.03560830860534125
деловая коммуникация,catboost,0.05123371875943424,0.630783543855727,0.0
деловая коммуникация,xgboost,0.050478290312177994,0.634125936172591,0.0
деловая коммуникация,lightgbm,0.04968151959103885,0.6282798061517252,0.0
работа с большим объемом информации,catboost,0.06691980139268916,0.6699322427183438,0.0
работа с большим объемом информации,xgboost,0.06993106352339348,0.6681675866964749,0.0
работа с большим объемом информации,lightgbm,0.07046292992028284,0.6618972568631398,0.0
docker,catboost,0.08128158152250267,0.6848119683191551,0.023076923076923078
docker,xgboost,0.08243160972650204,0.6825951892050455,0.015810276679841896
docker,lightgbm,0.0808275709433526,0.6801261366969785,0.015873015873015872
1с программирование,catboost,0.05793919594184122,0.6685098246873479,0.018779342723004695
1с программирование,xgboost,0.05795454069445477,0.6568239730189813,0.01904761904761905
1с программирование,lightgbm,0.05668185681549246,0.6563043964987224,0.019138755980861243
организаторские навыки,catboost,0.0503799406147592,0.6539975762572721,0.009523809523809525
организаторские навыки,xgboost,0.05222716110928676,0.6460813197670079,0.00966183574879227
организаторские навыки,lightgbm,0.05225702895792697,0.6441568964720682,0.00966183574879227
javascript,catboost,0.10010593114779072,0.6931488876290703,0.0182648401826484
javascript,xgboost,0.10341556873998743,0.6966202307302789,0.01818181818181818
javascript,lightgbm,0.10223876772158667,0.6864896606195372,0.018433179723502304
бизнес-анализ,catboost,0.05072136892279441,0.6462800476214537,0.0
бизнес-анализ,xgboost,0.06218088823794567,0.6535941881615845,0.010638297872340425
бизнес-анализ,lightgbm,0.05982341693930453,0.6580081727004017,0.0
английский язык,catboost,0.04258858088321197,0.6257472321870362,0.010582010582010581
английский язык,xgboost,0.04432197274306858,0.6299751051459674,0.010582010582010581
английский язык,lightgbm,0.04370953442495494,0.62860279564572,0.010582010582010581
1с: предприятие 8,catboost,0.05365396756995718,0.6869208326020212,0.022857142857142857
1с: предприятие 8,xgboost,0.04670592873778421,0.6772967651839472,0.011560693641618497
1с: предприятие 8,lightgbm,0.051318116623770886,0.6783617252013122,0.011627906976744186
деловая переписка,catboost,0.04579430035629237,0.6720649376059662,0.0
деловая переписка,xgboost,0.04756016102062735,0.681481332037058,0.0
деловая переписка,lightgbm,0.04744257980437385,0.6727779143925385,0.0
управление командой,catboost,0.04281787734258258,0.6149626882439776,0.011363636363636364
управление командой,xgboost,0.05968817334888257,0.6319969611331988,0.011627906976744186
управление командой,lightgbm,0.06005640307419151,0.6224356381747467,0.011560693641618497
разработка технических заданий,catboost,0.04684308636725368,0.6523374984805107,0.011299435028248588
разработка технических заданий,xgboost,0.05645602673659437,0.6522473770471188,0.011494252873563218
разработка технических заданий,lightgbm,0.05107842947741015,0.6455096471850674,0.011363636363636364
java,catboost,0.09683404071349146,0.7184907496088059,0.022099447513812154
java,xgboost,0.08705837110200032,0.7214719183348621,0.011235955056179775
java,lightgbm,0.08754974945265928,0.7123479907462363,0.0
деловое общение,catboost,0.05124424197982913,0.7117929301055085,0.011904761904761904
деловое общение,xgboost,0.045880152987078655,0.7016478782093223,0.0
деловое общение,lightgbm,0.04870632422091286,0.7058131594283733,0.0
