skill,model,pr_auc,roc_auc,f1,precision,recall,threshold
sql,catboost,0.38112039024624084,0.8371009352175837,0.4074074074074074,0.44,0.3793103448275862,0.7363
sql,xgboost,0.38417095008628177,0.8288875672899881,0.4113238967527061,0.38,0.4482758620689655,0.6375
sql,lightgbm,0.3803761818683034,0.831613338897007,0.4171382376717866,0.3760932944606414,0.46823956442831216,0.6473
python,catboost,0.49356598278992353,0.8995560738607226,0.5343511450381679,0.43568464730290457,0.6907894736842105,0.5558
python,xgboost,0.5119711367108731,0.8966396755399716,0.5368731563421829,0.48663101604278075,0.5986842105263158,0.6072
python,lightgbm,0.5009861872315213,0.897683056638878,0.530938123752495,0.48717948717948717,0.5833333333333334,0.6594
linux,catboost,0.428892497598204,0.8887554526190045,0.48184019370460046,0.43544857768052514,0.5392953929539296,0.7091
linux,xgboost,0.4435481077117035,0.8955064655319137,0.4621212121212121,0.4326241134751773,0.4959349593495935,0.697
linux,lightgbm,0.4546385841619898,0.8977984830928529,0.4723756906077348,0.48169014084507045,0.4634146341463415,0.7882
postgresql,catboost,0.3691007930993962,0.9060297839484478,0.43080625752105894,0.349609375,0.5611285266457681,0.681
postgresql,xgboost,0.39184193711590526,0.9038711948098063,0.42780748663101603,0.3246753246753247,0.6269592476489029,0.5615
postgresql,lightgbm,0.3958647046984897,0.9054469232295118,0.43820224719101125,0.3415061295971979,0.6112852664576802,0.6381
аналитическое мышление,catboost,0.16723923319602155,0.7499426720983607,0.2185022026431718,0.15480649188514356,0.3712574850299401,0.5882
аналитическое мышление,xgboost,0.15131121117738974,0.7498970590287956,0.20574886535552195,0.20795107033639143,0.20359281437125748,0.6836
аналитическое мышление,lightgbm,0.15995597916454732,0.7510314037260145,0.2023217247097844,0.22676579925650558,0.18263473053892215,0.7067
git,catboost,0.3349655306914095,0.8769252410607673,0.34791252485089463,0.2413793103448276,0.6227758007117438,0.5056
git,xgboost,0.3316190487107338,0.8706526980539522,0.3434650455927052,0.29973474801061006,0.40213523131672596,0.6699
git,lightgbm,0.32778404551176366,0.8736513841648463,0.347010550996483,0.25874125874125875,0.5266903914590747,0.6008
деловая коммуникация,catboost,0.1715006119546476,0.7997752104135083,0.2390998593530239,0.17857142857142858,0.3617021276595745,0.6516
деловая коммуникация,xgboost,0.18568351053563412,0.7981041002317598,0.21505376344086022,0.13959390862944163,0.46808510638297873,0.579
деловая коммуникация,lightgbm,0.19201544432248632,0.8012417446460001,0.242914979757085,0.17786561264822134,0.3829787234042553,0.6549
работа с большим объемом информации,catboost,0.13721813894025023,0.7550034792510122,0.21112696148359486,0.16780045351473924,0.2846153846153846,0.6608
работа с большим объемом информации,xgboost,0.1395919670262434,0.7554684337044535,0.18455743879472694,0.18081180811808117,0.18846153846153846,0.6919
работа с большим объемом информации,lightgbm,0.1427464047496602,0.7575651568825911,0.1928665785997358,0.14688128772635814,0.28076923076923077,0.6534
docker,catboost,0.3298546941669275,0.9129770856888898,0.3708086785009862,0.32867132867132864,0.4253393665158371,0.743
docker,xgboost,0.33699966168935197,0.9096390665082206,0.36231884057971014,0.3021148036253776,0.45248868778280543,0.6373
docker,lightgbm,0.3244690158570187,0.9106617693276412,0.3546099290780142,0.3712871287128713,0.3393665158371041,0.7894
1с программирование,catboost,0.31668509631021197,0.9173539600813627,0.3971631205673759,0.29473684210526313,0.6086956521739131,0.727
1с программирование,xgboost,0.3133320982949276,0.9160358752154137,0.3789954337899543,0.32677165354330706,0.45108695652173914,0.8131
1с программирование,lightgbm,0.3278586751876408,0.9174590184196401,0.3826879271070615,0.32941176470588235,0.45652173913043476,0.8259
организаторские навыки,catboost,0.12190317480123293,0.7878500907389004,0.21052631578947367,0.16875,0.27979274611398963,0.7043
организаторские навыки,xgboost,0.14090953669702044,0.7912596481201917,0.2366412213740458,0.18731117824773413,0.32124352331606215,0.7009
организаторские навыки,lightgbm,0.14931841269345997,0.7890904278678422,0.17116422513492677,0.10054347826086957,0.5751295336787565,0.5569
деловая переписка,catboost,0.11508442302706394,0.7980871210608386,0.17307692307692307,0.20930232558139536,0.14754098360655737,0.7673
деловая переписка,xgboost,0.12978677780615155,0.8054340388255937,0.1957040572792363,0.17372881355932204,0.22404371584699453,0.7262
деловая переписка,lightgbm,0.11588855210737548,0.8046392617226295,0.19473684210526315,0.18781725888324874,0.20218579234972678,0.7446
английский язык,catboost,0.22915963313563412,0.7669934957595036,0.3206751054852321,0.2576271186440678,0.4245810055865922,0.5667
английский язык,xgboost,0.23462547772102627,0.7405802765458339,0.32545931758530183,0.3069306930693069,0.3463687150837989,0.5972
английский язык,lightgbm,0.24740166758983897,0.7499594221717253,0.34285714285714286,0.3508771929824561,0.33519553072625696,0.657
javascript,catboost,0.4890524421564552,0.931021431222194,0.4889867841409692,0.4157303370786517,0.5935828877005348,0.7563
javascript,xgboost,0.5170986271148095,0.9393613480142289,0.5086042065009561,0.3958333333333333,0.7112299465240641,0.5259
javascript,lightgbm,0.5121935899767134,0.9303035517651056,0.4877126654064272,0.37719298245614036,0.6898395721925134,0.4491
1с: предприятие 8,catboost,0.15228920769586327,0.857226154343716,0.24,0.19672131147540983,0.3076923076923077,0.7576
1с: предприятие 8,xgboost,0.1716472774333892,0.8733212467243838,0.2864450127877238,0.23829787234042554,0.358974358974359,0.7841
1с: предприятие 8,lightgbm,0.17306269289441698,0.8756447573556241,0.2896174863387978,0.2523809523809524,0.33974358974358976,0.8023
бизнес-анализ,catboost,0.1929159165515123,0.8484004181711571,0.26490066225165565,0.21052631578947367,0.35714285714285715,0.6596
бизнес-анализ,xgboost,0.20654102246300568,0.8512579853717248,0.252,0.1897590361445783,0.375,0.6385
бизнес-анализ,lightgbm,0.18454949704330745,0.8396136160232077,0.23236514522821577,0.17834394904458598,0.3333333333333333,0.655
управление командой,catboost,0.156711974355878,0.8399809009911087,0.19591836734693877,0.2727272727272727,0.15286624203821655,0.7834
управление командой,xgboost,0.14449042892261474,0.8115219355310586,0.1976401179941003,0.12859884836852206,0.4267515923566879,0.4977
управление командой,lightgbm,0.1466527930859873,0.8207840277069548,0.23452768729641693,0.24,0.22929936305732485,0.717
разработка технических заданий,catboost,0.15496449206861823,0.7675971957608954,0.2195845697329377,0.2,0.24342105263157895,0.7182
разработка технических заданий,xgboost,0.160798598312012,0.7814126662810872,0.2280130293159609,0.22580645161290322,0.23026315789473684,0.7313
разработка технических заданий,lightgbm,0.13275057154526698,0.7741288316946211,0.18930041152263374,0.25274725274725274,0.1513157894736842,0.8087
java,catboost,0.5266542763332136,0.922719418786407,0.5900621118012422,0.5428571428571428,0.6462585034013606,0.7349
java,xgboost,0.5005635608912011,0.9287329012018177,0.5466237942122186,0.5182926829268293,0.5782312925170068,0.6942
java,lightgbm,0.5248602370665053,0.9291431734973983,0.5654761904761905,0.5026455026455027,0.6462585034013606,0.6305
деловое общение,catboost,0.13400770449411464,0.7974429103547311,0.1989247311827957,0.167420814479638,0.24503311258278146,0.7193
деловое общение,xgboost,0.1258931278915471,0.7970395028992904,0.20209059233449478,0.21323529411764705,0.19205298013245034,0.7807
деловое общение,lightgbm,0.14310803358619534,0.7970930052143357,0.23443223443223443,0.26229508196721313,0.2119205298013245,0.7877
