skill,model,pr_auc,roc_auc,f1
python,catboost,0.46623568632655793,0.6506272354984189,0.17777777777777778
python,xgboost,0.43710440244127985,0.6292766056710384,0.26515151515151514
python,lightgbm,0.38353545538042616,0.6115610906640402,0.22134387351778656
sql,catboost,0.2803854607511985,0.6707875457875457,0.10101010101010101
sql,xgboost,0.23474351582412897,0.6284558695272981,0.1
sql,lightgbm,0.19525420851799877,0.6088326356183499,0.0
postgresql,catboost,0.20695896671916236,0.6407661897590362,0.0
postgresql,xgboost,0.2078213759954621,0.6462255271084336,0.044444444444444446
postgresql,lightgbm,0.18906772524646515,0.6307534826807228,0.0
linux,catboost,0.24568246952908174,0.6749458772590361,0.022988505747126436
linux,xgboost,0.21315419785133577,0.6313417733433735,0.06521739130434782
linux,lightgbm,0.18945319262985902,0.6057981927710843,0.0
java,catboost,0.16856268001422542,0.7029283489096574,0.0
java,xgboost,0.16760806450460314,0.6770249221183801,0.0
java,lightgbm,0.13338105420011634,0.6351713395638628,0.0
docker,catboost,0.19113291322072593,0.6608799363901404,0.0
docker,xgboost,0.16392036159287113,0.6222998939835674,0.034482758620689655
docker,lightgbm,0.13917206314688707,0.5990425390935594,0.0
git,catboost,0.23032218842268792,0.673827425707125,0.0
git,xgboost,0.27019615528407565,0.699874686716792,0.05970149253731343
git,lightgbm,0.1943205887002364,0.636531805704738,0.0
kubernetes,catboost,0.1406765038830527,0.6559139784946236,0.0
kubernetes,xgboost,0.13680036244483387,0.6150343892279376,0.05263157894736842
kubernetes,lightgbm,0.10492870435614826,0.599389712292938,0.0
c++,catboost,0.13036491755464355,0.6589030612244898,0.0
c++,xgboost,0.10266342722935279,0.5901020408163264,0.0
c++,lightgbm,0.08033307815710376,0.6121428571428571,0.0
apache kafka,catboost,0.28775052564079784,0.7145263157894738,0.07692307692307693
apache kafka,xgboost,0.04589203470713594,0.5215438596491229,0.0
apache kafka,lightgbm,0.047425410522117926,0.5204912280701754,0.0
rest api,catboost,0.060681632713876374,0.6096113719353153,0.0
rest api,xgboost,0.06904314011572486,0.6726656233698486,0.0
rest api,lightgbm,0.06896991431332188,0.6738393322900363,0.0
fastapi,catboost,0.04357964143979452,0.5976334064327484,0.0
fastapi,xgboost,0.04247754891521337,0.6181469298245614,0.0
fastapi,lightgbm,0.043104185354665044,0.6182839912280701,0.0
javascript,catboost,0.10159615074909215,0.4679512258737611,0.0
javascript,xgboost,0.04910900599407467,0.5179642670839852,0.0
javascript,lightgbm,0.04693652885571178,0.5132042253521127,0.0
bash,catboost,0.15796878826769278,0.5815809338941011,0.058823529411764705
bash,xgboost,0.05907065112391915,0.47484632804917504,0.0
bash,lightgbm,0.06020446402871864,0.4847136848916208,0.0
ci/cd,catboost,0.06602234220561383,0.5707202919244805,0.0
ci/cd,xgboost,0.043003717340960645,0.5519593844201174,0.0
ci/cd,lightgbm,0.04298756940310898,0.5478740282405203,0.0
redis,catboost,0.10939056865800251,0.5974963450292398,0.0
redis,xgboost,0.04083679482746191,0.5239400584795321,0.0
redis,lightgbm,0.041868406549450184,0.5440423976608187,0.0
api,catboost,0.2741905193573016,0.6132879965457685,0.2222222222222222
api,xgboost,0.0273484680289877,0.5116580310880828,0.0
api,lightgbm,0.028542746422925654,0.5368631260794473,0.0
c/c++,catboost,0.09709611514988215,0.6566699850671976,0.0
c/c++,xgboost,0.10834068667994215,0.6202090592334494,0.0
c/c++,lightgbm,0.125512862808996,0.6404927824788451,0.0
spring framework,catboost,0.17123255942266868,0.7372277630775493,0.0
spring framework,xgboost,0.03163614604854707,0.4979645837573784,0.0
spring framework,lightgbm,0.032606208571619354,0.5085996336250763,0.0
rabbitmq,catboost,0.029986498392790113,0.6273584905660378,0.0
rabbitmq,xgboost,0.029782138347642415,0.5757575757575758,0.0
rabbitmq,lightgbm,0.030404034353473292,0.6207118353344769,0.0
