skill,model,pr_auc,roc_auc,f1,precision,recall,threshold
sql,catboost,0.46090188999903525,0.876887732820773,0.47908121410992616,0.437125748502994,0.52994555353902,0.5417
sql,xgboost,0.48216777611133804,0.878981948052803,0.47377326565143824,0.4437400950871632,0.5081669691470054,0.1983
sql,lightgbm,0.49742405061782324,0.8804341044831568,0.46629213483146065,0.4816247582205029,0.4519056261343013,0.5049
python,catboost,0.535891397112168,0.9168481728624758,0.5252707581227437,0.44631901840490795,0.6381578947368421,0.4847
python,xgboost,0.5728670761164353,0.9266495074361634,0.5471698113207547,0.5240963855421686,0.5723684210526315,0.2092
python,lightgbm,0.5439722232712613,0.9179588267916563,0.5243790248390064,0.45166402535657685,0.625,0.3188
linux,catboost,0.5302337424105199,0.9318204201971679,0.5238678090575275,0.47767857142857145,0.5799457994579946,0.5574
linux,xgboost,0.5399186252784068,0.9361902311034498,0.5202156334231806,0.517426273458445,0.5230352303523035,0.2369
linux,lightgbm,0.545680005358928,0.9311527849828823,0.5230769230769231,0.49635036496350365,0.5528455284552846,0.3968
postgresql,catboost,0.44243954232243077,0.9251204899882803,0.4605911330049261,0.3793103448275862,0.5862068965517241,0.5136
postgresql,xgboost,0.4736149636479576,0.9292965737994344,0.47341772151898737,0.3970276008492569,0.5862068965517241,0.1254
postgresql,lightgbm,0.4652797229883874,0.9266652401026919,0.45779685264663805,0.42105263157894735,0.5015673981191222,0.412
аналитическое мышление,catboost,0.23496981839804892,0.7993363921507634,0.2733118971061093,0.2951388888888889,0.25449101796407186,0.5537
аналитическое мышление,xgboost,0.2769025604338905,0.8173996662020614,0.329004329004329,0.31754874651810583,0.3413173652694611,0.1478
аналитическое мышление,lightgbm,0.26426306986288073,0.8139844187748378,0.31181102362204727,0.3289036544850498,0.2964071856287425,0.4236
git,catboost,0.38746539706776895,0.9039275123210141,0.3905109489051095,0.40074906367041196,0.3807829181494662,0.6155
git,xgboost,0.42503938738597863,0.9217951120036133,0.4131944444444444,0.4033898305084746,0.4234875444839858,0.1854
git,lightgbm,0.4060418114718431,0.9128275398674599,0.3740573152337858,0.32460732984293195,0.4412811387900356,0.2434
деловая коммуникация,catboost,0.2745734840781654,0.8405436771394219,0.2853566958698373,0.20212765957446807,0.4851063829787234,0.289
деловая коммуникация,xgboost,0.279145217600971,0.8455949953822295,0.30127041742286753,0.2626582278481013,0.35319148936170214,0.0855
деловая коммуникация,lightgbm,0.2717464942905245,0.8406203495565198,0.3182640144665461,0.27672955974842767,0.37446808510638296,0.2378
работа с большим объемом информации,catboost,0.21564917306581163,0.7991244939271255,0.24281150159744408,0.20765027322404372,0.2923076923076923,0.3165
работа с большим объемом информации,xgboost,0.25548070651907573,0.814407262145749,0.26463104325699743,0.39097744360902253,0.2,0.1739
работа с большим объемом информации,lightgbm,0.24002797608593107,0.8022102732793522,0.2505800464037123,0.3157894736842105,0.2076923076923077,0.3413
docker,catboost,0.3417077999981053,0.9246209603053763,0.38915470494417864,0.30049261083743845,0.5520361990950227,0.3899
docker,xgboost,0.35441398103901567,0.9302447165900442,0.4085603112840467,0.3583617747440273,0.4751131221719457,0.1194
docker,lightgbm,0.36729604842051955,0.9331582734291751,0.4112903225806452,0.3709090909090909,0.46153846153846156,0.2169
1с программирование,catboost,0.6196937514406203,0.9836563656524564,0.6485260770975056,0.556420233463035,0.7771739130434783,0.8042
1с программирование,xgboost,0.6816453663233571,0.9860524020397209,0.6553398058252428,0.5921052631578947,0.7336956521739131,0.5535
1с программирование,lightgbm,0.6650144818467925,0.9833447220103397,0.6470588235294118,0.5273972602739726,0.8369565217391305,0.1838
организаторские навыки,catboost,0.26801921863063033,0.8631389337736677,0.30707070707070705,0.25165562913907286,0.39378238341968913,0.4458
организаторские навыки,xgboost,0.2965237323412322,0.8715224832704103,0.30201342281879195,0.22332506203473945,0.46632124352331605,0.0359
организаторские навыки,lightgbm,0.2949160922747458,0.8623954901122837,0.30579964850615116,0.23138297872340424,0.45077720207253885,0.1098
деловая переписка,catboost,0.22634064410277568,0.8410774177687487,0.2646420824295011,0.21942446043165467,0.3333333333333333,0.334
деловая переписка,xgboost,0.28201655654896685,0.8716339569959467,0.3120879120879121,0.2610294117647059,0.3879781420765027,0.0487
деловая переписка,lightgbm,0.25878068756598094,0.866142850423038,0.2892561983471074,0.23255813953488372,0.3825136612021858,0.0641
английский язык,catboost,0.2815876686752748,0.8051692979536986,0.30848329048843187,0.2857142857142857,0.33519553072625696,0.2744
английский язык,xgboost,0.31220461677175504,0.8225719723726197,0.35526315789473684,0.432,0.3016759776536313,0.1114
английский язык,lightgbm,0.2969254265687277,0.8136285283441798,0.35119047619047616,0.37579617834394907,0.329608938547486,0.1328
javascript,catboost,0.5127650120549779,0.9472775768700282,0.5135135135135135,0.40181268882175225,0.7112299465240641,0.3091
javascript,xgboost,0.5397189889511902,0.9394904098778822,0.5324675324675324,0.44727272727272727,0.6577540106951871,0.0811
javascript,lightgbm,0.5328342438234789,0.9415223737648956,0.5322128851540616,0.5588235294117647,0.5080213903743316,0.2867
1с: предприятие 8,catboost,0.3024429804520106,0.9394829916741301,0.33540372670807456,0.22131147540983606,0.6923076923076923,0.2676
1с: предприятие 8,xgboost,0.34167187520826536,0.9422061067436229,0.386411889596603,0.28888888888888886,0.5833333333333334,0.0883
1с: предприятие 8,lightgbm,0.3310167042641791,0.935514935151093,0.37627811860940696,0.27627627627627627,0.5897435897435898,0.0757
бизнес-анализ,catboost,0.332728858434133,0.9159086350029318,0.35944700460829493,0.2932330827067669,0.4642857142857143,0.3894
бизнес-анализ,xgboost,0.3639442938912187,0.9234764142209054,0.35658914728682173,0.3150684931506849,0.4107142857142857,0.1183
бизнес-анализ,lightgbm,0.36634223316621567,0.9214897154584453,0.3723150357995227,0.3107569721115538,0.4642857142857143,0.1192
управление командой,catboost,0.41580623694966007,0.9313558545055222,0.4387755102040816,0.3659574468085106,0.5477707006369427,0.4554
управление командой,xgboost,0.4206609851072386,0.9179350407064366,0.4296675191815857,0.358974358974359,0.535031847133758,0.0897
управление командой,lightgbm,0.4366519854392838,0.9311663066287158,0.3804347826086957,0.26582278481012656,0.6687898089171974,0.0255
разработка технических заданий,catboost,0.28820515062516927,0.8576382982342735,0.3333333333333333,0.4056603773584906,0.28289473684210525,0.5014
разработка технических заданий,xgboost,0.30210158429868095,0.867337673935971,0.28169014084507044,0.30303030303030304,0.2631578947368421,0.1106
разработка технических заданий,lightgbm,0.2718030677376631,0.8546560830810056,0.2506393861892583,0.20502092050209206,0.3223684210526316,0.0601
java,catboost,0.5138400143724017,0.9340587518714897,0.5448028673835126,0.5757575757575758,0.5170068027210885,0.6421
java,xgboost,0.5152605502103119,0.9406901142501245,0.5474452554744526,0.5905511811023622,0.5102040816326531,0.4301
java,lightgbm,0.5129234957041334,0.9329910552950391,0.5426356589147286,0.6306306306306306,0.47619047619047616,0.5868
деловое общение,catboost,0.295840741014707,0.8687363502218741,0.3072289156626506,0.281767955801105,0.33774834437086093,0.3716
деловое общение,xgboost,0.2997636952846716,0.8807369194865062,0.3052391799544419,0.2326388888888889,0.44370860927152317,0.0259
деловое общение,lightgbm,0.29508427301759527,0.8794132722122888,0.3202247191011236,0.2780487804878049,0.37748344370860926,0.0762
1с,catboost,0.2913593298763951,0.8940014725331661,0.3333333333333333,0.3515625,0.31690140845070425,0.6374
1с,xgboost,0.30543092299555874,0.8991496575451416,0.2857142857142857,0.26506024096385544,0.30985915492957744,0.1177
1с,lightgbm,0.3156543841754002,0.8975260079353176,0.29518072289156627,0.2578947368421053,0.34507042253521125,0.1011
rest api,catboost,0.22214715248691122,0.8640003483127424,0.22556390977443608,0.14204545454545456,0.5474452554744526,0.1358
rest api,xgboost,0.21786773892655514,0.906110888185726,0.27151051625239003,0.18393782383419688,0.5182481751824818,0.0224
rest api,lightgbm,0.18676433576213394,0.8896366368521942,0.22933333333333333,0.18067226890756302,0.31386861313868614,0.0745
kubernetes,catboost,0.4610522636857002,0.9518253573102156,0.4691358024691358,0.3958333333333333,0.5757575757575758,0.4965
kubernetes,xgboost,0.4161561137180252,0.9493505447516402,0.4485294117647059,0.4357142857142857,0.4621212121212121,0.2772
kubernetes,lightgbm,0.44089260811951936,0.9472369474383004,0.4820846905537459,0.4228571428571429,0.5606060606060606,0.1019
php,catboost,0.6614795552386774,0.9624320276497695,0.6795366795366795,0.7394957983193278,0.6285714285714286,0.83
php,xgboost,0.6834511929298083,0.9642718894009217,0.6875,0.668918918918919,0.7071428571428572,0.154
php,lightgbm,0.6803299490244143,0.9655552995391704,0.6838235294117647,0.7045454545454546,0.6642857142857143,0.1463
bpmn,catboost,0.40881954602300896,0.9568400842313886,0.43258426966292135,0.3407079646017699,0.5923076923076923,0.4602
bpmn,xgboost,0.44798656332965714,0.9648333952681779,0.4305555555555556,0.3924050632911392,0.47692307692307695,0.1857
bpmn,lightgbm,0.4249004585314827,0.9592927040753128,0.4381625441696113,0.40522875816993464,0.47692307692307695,0.1645
системный анализ,catboost,0.3534106762485908,0.9019970157880765,0.4240506329113924,0.3471502590673575,0.5447154471544715,0.3541
системный анализ,xgboost,0.3927108291019626,0.9266867270570729,0.4049079754601227,0.3251231527093596,0.5365853658536586,0.0527
системный анализ,lightgbm,0.39825065387908376,0.9146060304096687,0.40390879478827363,0.33695652173913043,0.5040650406504065,0.0561
обучение и развитие,catboost,0.4180885750461178,0.8984844858903793,0.39846743295019155,0.37681159420289856,0.42276422764227645,0.308
обучение и развитие,xgboost,0.41104536685085313,0.9008383778545843,0.39814814814814814,0.46236559139784944,0.34959349593495936,0.1407
обучение и развитие,lightgbm,0.4245073206691916,0.8922689033871196,0.380327868852459,0.31868131868131866,0.4715447154471545,0.025
активные продажи,catboost,0.6010655541303833,0.9776456176726355,0.5859872611464968,0.519774011299435,0.6715328467153284,0.5354
активные продажи,xgboost,0.6552649525474451,0.9768395560895305,0.6038961038961039,0.543859649122807,0.6788321167883211,0.134
активные продажи,lightgbm,0.6727690750815385,0.9831715522627973,0.6114649681528662,0.5423728813559322,0.7007299270072993,0.0144
анализ данных,catboost,0.19483638147325583,0.8828324120461729,0.24390243902439024,0.3048780487804878,0.2032520325203252,0.4816
анализ данных,xgboost,0.19986729081234433,0.8794179609803175,0.2457627118644068,0.25663716814159293,0.23577235772357724,0.0722
анализ данных,lightgbm,0.19428135725414802,0.8784267109198355,0.24354243542435425,0.22297297297297297,0.2682926829268293,0.034
1с: бухгалтерия,catboost,0.2951488473751715,0.9554415270427917,0.32978723404255317,0.2366412213740458,0.543859649122807,0.4077
1с: бухгалтерия,xgboost,0.30818821043879785,0.9580283023652933,0.27636363636363637,0.2360248447204969,0.3333333333333333,0.1376
1с: бухгалтерия,lightgbm,0.2964966074358055,0.9517628394790381,0.31309904153354634,0.24623115577889448,0.4298245614035088,0.04
c++,catboost,0.5141492125769621,0.9661246612466124,0.4978165938864629,0.47107438016528924,0.5277777777777778,0.6493
c++,xgboost,0.5514430571594447,0.961630235819902,0.4888888888888889,0.6111111111111112,0.4074074074074074,0.4665
c++,lightgbm,0.5713050149102533,0.9641485998193314,0.5126050420168067,0.46923076923076923,0.5648148148148148,0.0988
постановка задач разработчикам,catboost,0.19985763552809316,0.8802630849668373,0.21637426900584794,0.1615720524017467,0.3274336283185841,0.2231
постановка задач разработчикам,xgboost,0.21813939838055008,0.8951781493950836,0.22717149220489977,0.15178571428571427,0.45132743362831856,0.0137
постановка задач разработчикам,lightgbm,0.2093299852190107,0.8741393105388894,0.21188630490956073,0.14963503649635038,0.36283185840707965,0.0129
erp-системы на базе 1с,catboost,0.3366816962565964,0.9553421206964514,0.37545126353790614,0.325,0.4444444444444444,0.5363
erp-системы на базе 1с,xgboost,0.4027769740908809,0.9665289091610801,0.4032258064516129,0.3816793893129771,0.42735042735042733,0.1448
erp-системы на базе 1с,lightgbm,0.3923578438631198,0.96353615138767,0.3961352657004831,0.45555555555555555,0.3504273504273504,0.1948
html,catboost,0.3589709966798401,0.9310408423060256,0.3855421686746988,0.3380281690140845,0.4485981308411215,0.4721
html,xgboost,0.4111943715585578,0.9353186461567989,0.37722419928825623,0.3045977011494253,0.4953271028037383,0.0536
html,lightgbm,0.4319389928523296,0.940409127780835,0.36947791164658633,0.323943661971831,0.42990654205607476,0.0349
b2b продажи,catboost,0.5422269919280651,0.9717895414320193,0.5136186770428015,0.5,0.528,0.5481
b2b продажи,xgboost,0.5833631375364553,0.9726867256637168,0.5396825396825397,0.5354330708661418,0.544,0.1577
b2b продажи,lightgbm,0.5729016876446931,0.9703646017699116,0.5387453874538746,0.5,0.584,0.0129
управление проектами,catboost,0.298640549320078,0.8791062614847418,0.3425414364640884,0.45588235294117646,0.2743362831858407,0.5385
управление проектами,xgboost,0.31343736408630185,0.8991673429015236,0.31627906976744186,0.3333333333333333,0.3008849557522124,0.094
управление проектами,lightgbm,0.31341025420256,0.8979494095794648,0.3392857142857143,0.34234234234234234,0.336283185840708,0.0437
