skill,model,pr_auc,roc_auc,f1,threshold
sql,catboost,0.4262206295546821,0.8522503961238337,0.43045387994143486,0.1626
sql,xgboost,0.4310672530967868,0.8531443977427247,0.4328147100424328,0.1635
sql,lightgbm,0.4305790633445155,0.852574002352666,0.4368457780879274,0.1659
python,catboost,0.5650346286753487,0.9102170090373197,0.5637065637065637,0.2061
python,xgboost,0.588400504384591,0.9094892187516476,0.5489130434782609,0.1877
python,lightgbm,0.5769003143746415,0.909431219616362,0.5466297322253001,0.2019
linux,catboost,0.4750630055516151,0.8971590005396202,0.48504273504273504,0.1533
linux,xgboost,0.5016746599008601,0.9067217438156365,0.4906054279749478,0.1516
linux,lightgbm,0.5171325152896376,0.90719868912988,0.4900497512437811,0.2373
postgresql,catboost,0.4199207305133935,0.9072212920449707,0.40812557710064634,0.1093
postgresql,xgboost,0.4773670877273588,0.9226293905325217,0.46134347275031684,0.2002
postgresql,lightgbm,0.4605966688126928,0.9205213883231109,0.45051194539249145,0.164
аналитическое мышление,catboost,0.1958096868848373,0.7701411855745994,0.24568527918781727,0.0948
аналитическое мышление,xgboost,0.22326314420103335,0.7878629960392272,0.26715686274509803,0.127
аналитическое мышление,lightgbm,0.2357609798733425,0.7903936893360768,0.2755388940955951,0.1036
git,catboost,0.4219412244155237,0.9013353100160317,0.4261744966442953,0.2075
git,xgboost,0.4392864110661997,0.9091974500373514,0.42045454545454547,0.1749
git,lightgbm,0.44091647716843135,0.899077180855975,0.43983402489626555,0.1582
деловая коммуникация,catboost,0.19990282414979432,0.815463056345722,0.2390998593530239,0.0894
деловая коммуникация,xgboost,0.22343403095739628,0.8180742408488092,0.24789410348977137,0.0952
деловая коммуникация,lightgbm,0.21430202582980418,0.8144314089588272,0.2388888888888889,0.1049
работа с большим объемом информации,catboost,0.15866000530039506,0.7639531844057383,0.21709894332372717,0.0627
работа с большим объемом информации,xgboost,0.15162641905068122,0.7691940927000223,0.23013698630136986,0.0979
работа с большим объемом информации,lightgbm,0.16624260866272023,0.7798980791892598,0.2176278563656148,0.08
docker,catboost,0.40588020209867337,0.9265710832639203,0.3875,0.1305
docker,xgboost,0.4138018047491135,0.9276376485349471,0.43214285714285716,0.1836
docker,lightgbm,0.40193420856372647,0.9218603376105776,0.4122137404580153,0.2043
1с программирование,catboost,0.3482407906007598,0.9116364434694659,0.36496350364963503,0.1127
1с программирование,xgboost,0.35990078739019,0.9239465447487837,0.38663484486873506,0.2145
1с программирование,lightgbm,0.3913096076990024,0.924968222076431,0.3913978494623656,0.1924
организаторские навыки,catboost,0.15050798307662905,0.7921257699843927,0.18246869409660108,0.0827
организаторские навыки,xgboost,0.18401642588992367,0.8153674922813687,0.23974763406940064,0.0986
организаторские навыки,lightgbm,0.193673538976877,0.817506085121295,0.2099737532808399,0.1422
javascript,catboost,0.606859886444229,0.9409059489702587,0.6128266033254157,0.2406
javascript,xgboost,0.5866481566212959,0.9436285747312091,0.5310492505353319,0.1977
javascript,lightgbm,0.6141404192553201,0.941374136645635,0.5314009661835749,0.2474
английский язык,catboost,0.22759704077402867,0.7740503921833796,0.3165829145728643,0.1025
английский язык,xgboost,0.2510021068548998,0.7717496957197918,0.3211009174311927,0.0932
английский язык,lightgbm,0.26048739820936395,0.7723350125092975,0.33528265107212474,0.0618
бизнес-анализ,catboost,0.25217115144145846,0.8656368244449205,0.2732919254658385,0.0984
бизнес-анализ,xgboost,0.2644663468106733,0.8732776468908403,0.2699724517906336,0.1691
бизнес-анализ,lightgbm,0.24806867316272885,0.866488184479189,0.27586206896551724,0.1137
деловая переписка,catboost,0.12516489686991494,0.808516294476261,0.18134034165571616,0.0541
деловая переписка,xgboost,0.1380183921830704,0.8218024893310225,0.19696969696969696,0.0764
деловая переписка,lightgbm,0.16169030145750576,0.8150711944678574,0.19799139167862267,0.07
управление командой,catboost,0.1997141695609414,0.8585635280771413,0.25753424657534246,0.0943
управление командой,xgboost,0.2130579161006581,0.8595939686141046,0.2709677419354839,0.1562
управление командой,lightgbm,0.22936280202262935,0.8558300245793157,0.2517985611510791,0.1856
1с: предприятие 8,catboost,0.18487985422193887,0.8589530179225131,0.25268817204301075,0.1353
1с: предприятие 8,xgboost,0.18938748069085942,0.8838446252312775,0.2806236080178174,0.1298
1с: предприятие 8,lightgbm,0.20351590796507177,0.8884642185006075,0.30180180180180183,0.1314
java,catboost,0.5546744079135049,0.9351141988944426,0.5808383233532934,0.1825
java,xgboost,0.5729910874447574,0.942373088543727,0.5986842105263158,0.318
java,lightgbm,0.5928659777129579,0.9423316999267518,0.5961538461538461,0.242
разработка технических заданий,catboost,0.18860945579438365,0.7655493665135289,0.1978021978021978,0.0777
разработка технических заданий,xgboost,0.21041485011085967,0.7989562368314416,0.2529411764705882,0.1212
разработка технических заданий,lightgbm,0.2281172523754623,0.8007782985043309,0.2671009771986971,0.1317
деловое общение,catboost,0.1609121777369438,0.8221117850671122,0.17703349282296652,0.0759
деловое общение,xgboost,0.1949300101520677,0.824205498599752,0.20754716981132076,0.1307
деловое общение,lightgbm,0.21480404158212316,0.8229310213869508,0.2553191489361702,0.1079
