skill,model,pr_auc,roc_auc,f1,threshold
sql,catboost,0.3568127571302612,0.7817260221829347,0.37551020408163266,0.1672
sql,xgboost,0.3407615860258488,0.781123524137757,0.3695652173913043,0.2206
sql,lightgbm,0.34828924610509415,0.7847959818941026,0.3520309477756286,0.2251
python,catboost,0.4511610038328032,0.8342597267186198,0.49298597194388777,0.1959
python,xgboost,0.4307241199041587,0.8403107501397251,0.46387832699619774,0.2031
python,lightgbm,0.44420827183572675,0.8443126904744329,0.4807881773399015,0.1957
linux,catboost,0.3375174781191004,0.7797361327276545,0.3931133428981349,0.2283
linux,xgboost,0.32553431684542417,0.7902100244411354,0.3663220088626292,0.31
linux,lightgbm,0.3510228744776653,0.7940440811723525,0.3893617021276596,0.123
postgresql,catboost,0.35320100494141804,0.872125560503715,0.42514285714285716,0.1593
postgresql,xgboost,0.3340224940549796,0.8570832997702367,0.39316239316239315,0.1926
postgresql,lightgbm,0.34767943465731466,0.8718879817263323,0.4243243243243243,0.2174
аналитическое мышление,catboost,0.1072013820636882,0.6851585027344774,0.1620253164556962,0.0723
аналитическое мышление,xgboost,0.13103025816023348,0.7006241000283682,0.17106200997861726,0.0761
аналитическое мышление,lightgbm,0.13031865266822154,0.7084863958402907,0.17355371900826447,0.08
git,catboost,0.3201661609546727,0.8498998543717842,0.375,0.1112
git,xgboost,0.3161090605132063,0.8515119419333719,0.35986913849509267,0.1019
git,lightgbm,0.31074516537559266,0.8563135811950746,0.3639883833494676,0.0858
деловая коммуникация,catboost,0.10872157719480847,0.7168809936629701,0.12467532467532468,0.1472
деловая коммуникация,xgboost,0.09615271243069151,0.7022426041397414,0.132858837485172,0.0795
деловая коммуникация,lightgbm,0.09744685213550812,0.7102216755984955,0.13987284287011809,0.0669
работа с большим объемом информации,catboost,0.09141298951749352,0.7274565411480489,0.13961312026913372,0.0619
работа с большим объемом информации,xgboost,0.08840816047637491,0.7183997984243344,0.13874788494077833,0.059
работа с большим объемом информации,lightgbm,0.08572343492154126,0.7162683836003798,0.12993630573248408,0.0638
docker,catboost,0.31172893025448545,0.8570759702877387,0.35119047619047616,0.1165
docker,xgboost,0.2869384077091185,0.8687218613919847,0.37116564417177916,0.143
docker,lightgbm,0.3002743587911135,0.8772843673228388,0.38030560271646857,0.1741
1с программирование,catboost,0.1168578895442196,0.7770073909299655,0.18181818181818182,0.0863
1с программирование,xgboost,0.13054294289026552,0.7911575364933573,0.1806981519507187,0.1156
1с программирование,lightgbm,0.13216804092012244,0.8047417445738341,0.184070796460177,0.1014
организаторские навыки,catboost,0.0917498502694565,0.738325149962544,0.14797136038186157,0.0996
организаторские навыки,xgboost,0.09604936028639063,0.7279944848273423,0.11785095320623917,0.0844
организаторские навыки,lightgbm,0.10299933528877692,0.7450031602287388,0.13293051359516617,0.069
javascript,catboost,0.44689579319913336,0.8784147250648363,0.5221445221445221,0.2029
javascript,xgboost,0.41634017844009047,0.8795268162539865,0.5011185682326622,0.1721
javascript,lightgbm,0.4558079982792939,0.8975890856027053,0.5103448275862069,0.21
английский язык,catboost,0.100638389411973,0.7081001927107986,0.17805383022774326,0.0601
английский язык,xgboost,0.08043877824453119,0.6781818412333491,0.15384615384615385,0.0633
английский язык,lightgbm,0.08580403632433649,0.7063057847048482,0.175054704595186,0.0853
бизнес-анализ,catboost,0.1145171588612904,0.7539730134932534,0.16494845360824742,0.0842
бизнес-анализ,xgboost,0.12163807759859666,0.7573106303990862,0.15862068965517243,0.1366
бизнес-анализ,lightgbm,0.13089180842817008,0.7741736274719783,0.17647058823529413,0.0851
деловая переписка,catboost,0.056638232594665966,0.7261598586844105,0.09484536082474226,0.0283
деловая переписка,xgboost,0.05760292000543088,0.7194331401032908,0.09076682316118936,0.0582
деловая переписка,lightgbm,0.07111014838601355,0.7265883650941175,0.09316770186335403,0.0599
управление командой,catboost,0.14155100902975087,0.7726139156740404,0.16535433070866143,0.1746
управление командой,xgboost,0.11818377136420996,0.745782756664776,0.18006430868167203,0.1503
управление командой,lightgbm,0.13265716662771243,0.7670542635658916,0.2028985507246377,0.162
1с: предприятие 8,catboost,0.08782238468286946,0.7698824157673647,0.1375,0.0614
1с: предприятие 8,xgboost,0.08521798279188451,0.7617926682071929,0.13141683778234087,0.089
1с: предприятие 8,lightgbm,0.08996671085322085,0.7822919892639619,0.13548387096774195,0.0688
java,catboost,0.4963410068740413,0.8539568961617352,0.5442622950819672,0.2697
java,xgboost,0.5078128590619901,0.8376420808656573,0.5480427046263345,0.4072
java,lightgbm,0.5316650695971089,0.8669471467361225,0.5620915032679739,0.2527
разработка технических заданий,catboost,0.0924059647084865,0.7085519470456709,0.15718157181571815,0.0496
разработка технических заданий,xgboost,0.11162373910662636,0.7218935196013603,0.1377049180327869,0.0966
разработка технических заданий,lightgbm,0.10585883333167183,0.7385317436254311,0.15938303341902313,0.072
деловое общение,catboost,0.08070961984219159,0.7801950976030556,0.1341614906832298,0.0502
деловое общение,xgboost,0.08422756974390329,0.7621334275052305,0.13131313131313133,0.0607
деловое общение,lightgbm,0.08112941711111904,0.7781655025060444,0.12666666666666668,0.0535
