,tagged_pct,usable_pct,ratio
Предпродажная подготовка товара,0.33,0.73,2.21
Кассовые чеки,0.63,1.37,2.17
Оформление витрин,0.41,0.89,2.17
Оформление торгового зала,0.54,1.14,2.11
Визуальный мерчандайзинг,0.53,1.11,2.09
Линейная выкладка товара,0.26,0.54,2.08
Мерчандайзинг,0.94,1.92,2.04
Знание кассовой дисциплины,0.53,1.07,2.02
Заказ товара,0.42,0.84,2.0
Выкладка товара,0.59,1.14,1.93
Обслуживание покупателей,1.29,2.49,1.93
Приемка товара,0.83,1.6,1.93
Консультативные продажи,1.24,2.14,1.73
Кассовые операции,0.78,1.33,1.71
Розничная торговля,0.91,1.56,1.71
Пунктуальность,0.36,0.59,1.64
Веб-дизайн,0.58,0.9,1.55
SEO-копирайтинг,0.28,0.43,1.54
Общественное питание,0.26,0.4,1.54
Дизайн,0.35,0.54,1.54
Bitrix,0.38,0.58,1.53
Выкладка товаров,0.62,0.95,1.53
Администрирование сайтов,0.42,0.64,1.52
Autodesk Revit,0.27,0.4,1.48
Менеджмент качества,0.29,0.43,1.48
Инициативность,0.24,0.35,1.46
Онбординг,0.25,0.36,1.44
Графический дизайн,0.54,0.78,1.44
Конкурентная аналитика,0.54,0.78,1.44
Контроль поставок,0.24,0.34,1.42
Обучаемость,0.31,0.44,1.42
Go,0.32,0.45,1.41
Техническое обслуживание оборудования,0.32,0.45,1.41
Преподавание,0.39,0.55,1.41
Групповое обучение,0.59,0.83,1.41
Выездное обслуживание,0.9,1.26,1.4
Проектирование,0.5,0.7,1.4
Ведение переписки,0.48,0.67,1.4
Прокладка кабелей,1.18,1.65,1.4
Ориентация на клиента,0.67,0.93,1.39
E-Mail Marketing,0.24,0.33,1.38
1С: Розница,0.24,0.33,1.38
Поиск информации в интернет,0.95,1.31,1.38
Преподаватель,0.4,0.55,1.38
Выездное обслуживание оборудования,0.39,0.54,1.38
Пуско-наладочные работы,0.52,0.72,1.38
Контекстная реклама,0.58,0.8,1.38
Исполнительность,0.68,0.94,1.38
Проведение тестирований,0.24,0.33,1.38
Графические редакторы,0.33,0.45,1.36
Диагностика,0.28,0.38,1.36
.NET Core,0.28,0.38,1.36
Работа с клиентами,0.77,1.04,1.35
Интернет маркетинг,0.83,1.12,1.35
Управление персоналом,0.92,1.24,1.35
Монтаж инженерных систем,0.82,1.11,1.35
Расчет заработной платы,0.26,0.35,1.35
Первичная документация,0.26,0.35,1.35
Навыки межличностного общения,1.02,1.38,1.35
Исполнение личных поручений руководителя,0.29,0.39,1.34
Анализ ценообразования,0.29,0.39,1.34
Электрические системы и слаботочные системы,0.87,1.17,1.34
Административная поддержка руководителя,0.32,0.43,1.34
Разработка компьютерных Игр,0.43,0.57,1.33
Электротехнические работы,0.39,0.52,1.33
Организация встреч,0.3,0.4,1.33
Составление семантического ядра,0.33,0.44,1.33
Ремонт ПК,1.33,1.77,1.33
Wildberries,0.39,0.52,1.33
Консультирование,0.36,0.48,1.33
Ремонт оборудования,0.34,0.45,1.32
Контроль выполнения задач,0.29,0.38,1.31
Диагностика неисправностей,0.64,0.84,1.31
AI,0.35,0.46,1.31
Интеграционное тестирование,0.35,0.46,1.31
Web-дизайн,0.37,0.48,1.3
Таргетинг,0.27,0.35,1.3
Adobe Photoshop,1.25,1.63,1.3
Internet Marketing,0.83,1.08,1.3
Телевидение,0.57,0.74,1.3
Сетевые технологии,0.3,0.39,1.3
Adobe Illustrator,0.58,0.75,1.29
Администрирование ОС,0.65,0.84,1.29
Стрессоустойчивость,0.77,0.99,1.29
СКУД,0.24,0.31,1.29
Креативность,0.48,0.62,1.29
Проведение собеседований,0.36,0.46,1.28
Производство строительно-монтажных работ,0.47,0.6,1.28
Работа с поставщиками,0.72,0.92,1.28
CMS Wordpress,0.58,0.74,1.28
Системы видеонаблюдения,1.65,2.11,1.28
Электромонтажные работы,0.64,0.82,1.28
Технический надзор,0.26,0.33,1.27
Умение работать в команде,0.55,0.7,1.27
