name,point_estimate,boot_mean,ci_low_95,ci_high_95,excludes_zero,n_valid_resamples
Деловое общение + Навыки продаж,60015.0,57630.0,26275.0,92004.0,True,1000
Apache Kafka,58863.0,58305.0,30824.0,88240.0,True,945
Умение принимать решения,57716.0,49938.0,5176.0,107266.0,True,1000
Управление командой + Управление продажами,54366.0,52794.0,30414.0,73314.0,True,1000
Деловая коммуникация + Заключение договоров,54067.0,55234.0,24658.0,94843.0,True,1000
Kubernetes,53673.0,53947.0,29185.0,78553.0,True,1000
Навыки продаж + Телефонные переговоры,49649.0,49143.0,26601.0,74060.0,True,1000
B2B Продажи + Управление продажами,49027.0,55302.0,32719.0,88650.0,True,995
CMS Wordpress,-47564.0,-45543.0,-61244.0,-28076.0,True,978
Организаторские навыки + Руководство коллективом,46609.0,53937.0,21268.0,97293.0,True,1000
Активные продажи + Управление продажами,46346.0,44824.0,27773.0,64263.0,True,1000
Навыки переговоров,46070.0,47995.0,21900.0,78972.0,True,1000
B2B Продажи + Деловая коммуникация,45070.0,38998.0,13928.0,72413.0,True,1000
Деловое общение + Заключение договоров,45030.0,41739.0,18552.0,70989.0,True,1000
Прямые продажи,44598.0,42808.0,26287.0,62594.0,True,1000
Заключение договоров + Поиск и привлечение клиентов,44412.0,44512.0,26472.0,65910.0,True,1000
Активные продажи + Деловое общение + Телефонные переговоры,44371.0,45011.0,19659.0,76302.0,True,996
SQL + UML,43817.0,37142.0,16676.0,58572.0,True,955
Активные продажи + Заключение договоров,43805.0,42328.0,26657.0,60810.0,True,1000
Заключение договоров + Телефонные переговоры,43771.0,42170.0,20198.0,66432.0,True,1000
Деловое общение + Поиск и привлечение клиентов,43748.0,45106.0,19243.0,75999.0,True,994
Активные продажи + Деловая коммуникация,43615.0,44559.0,26124.0,68600.0,True,999
RabbitMQ,42509.0,43892.0,20039.0,71929.0,True,991
Активные продажи + Заключение договоров + Телефонные переговоры,42161.0,40985.0,23515.0,61548.0,True,1000
Развитие продаж + Управление продажами,41307.0,43835.0,27234.0,64248.0,True,1000
Figma,-41250.0,-40428.0,-53382.0,-27808.0,True,1000
BPMN + UML,41083.0,32423.0,10945.0,55710.0,True,994
Холодные продажи,40876.0,40869.0,24138.0,60108.0,True,1000
Активные продажи + Планирование продаж,40703.0,41130.0,23888.0,58550.0,True,1000
Активные продажи + Деловое общение,40286.0,40073.0,18592.0,66807.0,True,1000
Организаторские навыки + Управление продажами,40065.0,46770.0,22346.0,74089.0,True,1000
Руководство коллективом,40051.0,39630.0,19252.0,64445.0,True,1000
BPMN + SQL,39521.0,36278.0,15536.0,55915.0,True,995
Руководство коллективом + Управление командой,39382.0,38687.0,18107.0,60099.0,True,1000
B2B Продажи + Развитие продаж,39188.0,42826.0,19814.0,74315.0,True,1000
B2B Продажи + Активные продажи,39136.0,38681.0,24849.0,58880.0,True,1000
Заключение договоров,38819.0,37846.0,21879.0,54880.0,True,1000
Планирование продаж + Управление продажами,38506.0,40080.0,22265.0,60588.0,True,1000
Активные продажи + Поиск и привлечение клиентов + Телефонные переговоры,38216.0,38675.0,22202.0,57289.0,True,999
Поиск и привлечение клиентов + Телефонные переговоры,38168.0,38706.0,24123.0,55006.0,True,1000
