name,point_estimate,boot_mean,ci_low_95,ci_high_95,excludes_zero,n_valid_resamples
Kubernetes,36864.0,35861.0,25498.0,46860.0,True,1000
B2B Продажи + Управление продажами,34822.0,34857.0,25195.0,45319.0,True,1000
1С программирование + ERP-системы на базе 1С,32881.0,32152.0,21577.0,42924.0,True,1000
Активные продажи + Деловая коммуникация,32705.0,33905.0,22600.0,45876.0,True,1000
Стратегическое мышление,30857.0,30507.0,19227.0,42444.0,True,1000
Adobe Photoshop,-30738.0,-31725.0,-38098.0,-24715.0,True,1000
Активные продажи + Деловое общение + Телефонные переговоры,30501.0,31497.0,20131.0,45104.0,True,1000
Навыки переговоров + Телефонные переговоры,29830.0,28659.0,16998.0,40635.0,True,1000
Планирование продаж + Управление продажами,29700.0,29901.0,18751.0,41579.0,True,1000
Управление командой + Управление продажами,28637.0,28138.0,17563.0,39381.0,True,1000
SEO,-27464.0,-27166.0,-32914.0,-21283.0,True,1000
Figma,-27421.0,-27830.0,-36699.0,-18875.0,True,1000
Умение принимать решения,27397.0,28532.0,12980.0,46340.0,True,1000
Настройка сетевых подключений + Установка ПО,-27253.0,-27052.0,-33089.0,-20663.0,True,1000
Администрирование сетевого оборудования + Установка ПО,-27238.0,-26822.0,-32237.0,-21549.0,True,1000
Настройка почтовых серверов,-27082.0,-27822.0,-34076.0,-21973.0,True,1000
Администрирование сетевого оборудования + Настройка ПК + Настройка сетевых подключений,-26957.0,-26272.0,-32193.0,-20395.0,True,1000
Настройка ПК + Техническая поддержка пользователей,-26760.0,-27175.0,-32827.0,-21455.0,True,1000
Настройка ПК + Установка ПО,-26434.0,-26667.0,-31912.0,-21614.0,True,1000
Настройка сетевых подключений + Техническая поддержка пользователей,-26350.0,-26134.0,-32422.0,-20118.0,True,1000
Администрирование сетевого оборудования + Настройка ПК,-26306.0,-26036.0,-30624.0,-21632.0,True,1000
Администрирование сетевого оборудования + Техническая поддержка пользователей,-26180.0,-25152.0,-31111.0,-19163.0,True,1000
Установка ПО,-26141.0,-25831.0,-30040.0,-21643.0,True,1000
SEO оптимизация,-26133.0,-25879.0,-31537.0,-20135.0,True,1000
Работа с CRM,26129.0,24161.0,13492.0,35061.0,True,1000
Активные продажи + Проведение презентаций,25872.0,25416.0,14893.0,37960.0,True,1000
ERP-системы на базе 1С,25630.0,25871.0,18839.0,32892.0,True,1000
1С программирование + 1С: Управление Торговлей,25269.0,26058.0,17075.0,34914.0,True,1000
Яндекс.Метрика,-25221.0,-26171.0,-32502.0,-19703.0,True,1000
Организация мероприятий,-25173.0,-25775.0,-32878.0,-17895.0,True,1000
Прямые продажи,25169.0,24797.0,15799.0,35341.0,True,1000
Администрирование сетевого оборудования + Настройка ПО,-25143.0,-25341.0,-30369.0,-20380.0,True,1000
Обслуживание покупателей,-25123.0,-25117.0,-29000.0,-21521.0,True,1000
Обеспечение антивирусной защиты,-24949.0,-25460.0,-31914.0,-19053.0,True,1000
Мерчандайзинг,-24844.0,-25101.0,-28951.0,-21502.0,True,1000
Строительство,24696.0,24657.0,18204.0,31655.0,True,1000
Стратегическое планирование,24636.0,25110.0,12480.0,38368.0,True,1000
Активные продажи + Управление продажами,24628.0,24503.0,14805.0,34888.0,True,1000
BPMN,24294.0,24369.0,16810.0,32093.0,True,1000
Навыки переговоров + Навыки продаж,24269.0,24764.0,14288.0,36228.0,True,1000
Автоматизация процессов,24102.0,24998.0,16869.0,33681.0,True,1000
Администрирование серверов Windows + Администрирование сетевого оборудования,-23952.0,-24144.0,-30394.0,-18435.0,True,1000
Техническая поддержка пользователей,-23906.0,-23986.0,-28182.0,-19819.0,True,1000
1С программирование + 1С: Бухгалтерия,23818.0,22652.0,14937.0,30700.0,True,1000
Управление отношениями с клиентами,23620.0,23804.0,12533.0,34865.0,True,1000
Администрирование сетевого оборудования + Настройка ПО + Настройка сетевых подключений,-23512.0,-24086.0,-30083.0,-17504.0,True,1000
Веб-программирование,-23480.0,-24340.0,-30355.0,-17889.0,True,1000
Администрирование сетевого оборудования + Настройка ПК + Настройка ПО,-23417.0,-24285.0,-30599.0,-18543.0,True,1000
Деловое общение + Навыки продаж,23357.0,23399.0,10901.0,36732.0,True,1000
