itemset,n_with,premium_3,rank_3,premium_5,rank_5,premium_10,rank_10,cells_5,coverage_5
B2B Продажи + Управление продажами,159,34299.88981475232,2.0,34821.9789427476,1.0,32370.366736457032,3.0,10,0.8616352201257862
1С программирование + ERP-системы на базе 1С,175,32203.25468400176,4.0,32880.5401655861,2.0,32962.919991041184,2.0,9,0.9028571428571428
Активные продажи + Деловая коммуникация,185,34535.186640032356,1.0,32704.763732205465,3.0,39413.195198514426,1.0,12,0.9297297297297298
Активные продажи + Деловое общение + Телефонные переговоры,158,33424.06880323361,3.0,30500.654452137787,4.0,26938.235483788267,11.0,10,0.8924050632911392
Навыки переговоров + Телефонные переговоры,161,28987.939871064587,6.0,29830.181258693327,5.0,27909.652765737286,8.0,11,0.9130434782608695
Планирование продаж + Управление продажами,166,31466.1039708001,5.0,29700.473229126605,6.0,27766.460615815107,9.0,10,0.927710843373494
Управление командой + Управление продажами,176,28218.758481287638,7.0,28636.83010781844,7.0,28636.83010781844,4.0,9,0.9318181818181818
Активные продажи + Проведение презентаций,163,23842.740017672026,14.0,25871.740206264043,8.0,28134.700929324434,6.0,9,0.8404907975460123
1С программирование + 1С: Управление Торговлей,243,26245.454834643275,8.0,25269.15941345697,9.0,28011.209445559918,7.0,11,0.9012345679012346
Активные продажи + Управление продажами,177,23214.295220651635,18.0,24627.99440534704,10.0,26949.336923248396,10.0,12,0.9209039548022598
Навыки переговоров + Навыки продаж,156,25205.66259651121,9.0,24268.963415975883,11.0,22689.229703743033,17.0,10,0.8525641025641025
1С программирование + 1С: Бухгалтерия,259,21304.81917882354,26.0,23818.228068415803,12.0,23204.065220889188,14.0,10,0.8764478764478765
Деловое общение + Навыки продаж,169,24115.021584830352,12.0,23357.396915656114,13.0,19608.686029958608,27.0,9,0.8994082840236687
1С программирование + Аналитическое мышление,159,23064.252981723144,19.0,23172.13662045443,14.0,28378.839542268466,5.0,9,0.8616352201257862
1С: Бухгалтерия + 1С: Управление Торговлей,169,23432.032147753725,16.0,23023.119335992124,15.0,24220.993032316204,12.0,10,0.8816568047337278
