itemset,kind,size,n_with,cells_with_any,cells_3,coverage_3,premium_3,cells_5,coverage_5,premium_5,cells_10,coverage_10,premium_10
B2B Продажи + Управление продажами,combo,2,159,19,15,0.9622641509433962,34299.88981475232,10,0.8616352201257862,34821.9789427476,7,0.7232704402515723,32370.366736457032
1С программирование + ERP-системы на базе 1С,combo,2,175,19,12,0.96,32203.25468400176,9,0.9028571428571428,32880.5401655861,7,0.8285714285714286,32962.919991041184
Активные продажи + Деловая коммуникация,combo,2,185,19,14,0.9675675675675676,34535.186640032356,12,0.9297297297297298,32704.763732205465,6,0.7027027027027027,39413.195198514426
Активные продажи + Деловое общение + Телефонные переговоры,combo,3,158,18,13,0.9493670886075949,33424.06880323361,10,0.8924050632911392,30500.654452137787,5,0.689873417721519,26938.235483788267
Навыки переговоров + Телефонные переговоры,combo,2,161,18,12,0.9316770186335404,28987.939871064587,11,0.9130434782608695,29830.181258693327,7,0.7639751552795031,27909.652765737286
Планирование продаж + Управление продажами,combo,2,166,17,12,0.963855421686747,31466.1039708001,10,0.927710843373494,29700.473229126605,7,0.8072289156626506,27766.460615815107
Управление командой + Управление продажами,combo,2,176,17,10,0.9488636363636364,28218.758481287638,9,0.9318181818181818,28636.83010781844,9,0.9318181818181818,28636.83010781844
Активные продажи + Проведение презентаций,combo,2,163,21,12,0.9079754601226994,23842.740017672026,9,0.8404907975460123,25871.740206264043,5,0.656441717791411,28134.700929324434
1С программирование + 1С: Управление Торговлей,combo,2,243,22,16,0.9670781893004116,26245.454834643275,11,0.9012345679012346,25269.15941345697,8,0.8353909465020576,28011.209445559918
Активные продажи + Управление продажами,combo,2,177,19,14,0.9548022598870056,23214.295220651635,12,0.9209039548022598,24627.99440534704,6,0.672316384180791,26949.336923248396
Навыки переговоров + Навыки продаж,combo,2,156,20,14,0.9551282051282052,25205.66259651121,10,0.8525641025641025,24268.963415975883,6,0.6730769230769231,22689.229703743033
1С программирование + 1С: Бухгалтерия,combo,2,259,22,15,0.9459459459459459,21304.81917882354,10,0.8764478764478765,23818.228068415803,8,0.8223938223938224,23204.065220889188
Деловое общение + Навыки продаж,combo,2,169,17,12,0.9526627218934911,24115.021584830352,9,0.8994082840236687,23357.396915656114,7,0.8047337278106509,19608.686029958608
1С программирование + Аналитическое мышление,combo,2,159,20,12,0.9371069182389937,23064.252981723144,9,0.8616352201257862,23172.13662045443,6,0.7421383647798742,28378.839542268466
1С: Бухгалтерия + 1С: Управление Торговлей,combo,2,169,19,14,0.9644970414201184,23432.032147753725,10,0.8816568047337278,23023.119335992124,8,0.8224852071005917,24220.993032316204
Навыки продаж + Телефонные переговоры,combo,2,195,18,10,0.9230769230769231,21372.699129695542,9,0.9076923076923077,23009.709169008074,8,0.8717948717948718,23272.628022927463
B2B Продажи + Развитие продаж,combo,2,199,18,15,0.9798994974874372,24852.126375524353,13,0.949748743718593,22792.065062249494,8,0.7989949748743719,22545.36962626108
Руководство коллективом + Управление командой,combo,2,204,19,14,0.9656862745098039,19868.102922147853,10,0.8872549019607843,22705.917653529556,9,0.8627450980392157,22888.02233804401
