antecedent,consequent,confidence,lift,support
['CSS'],['HTML'],0.8538812785388128,25.685578540661453,0.012584118438761777
['Администрирование серверов Windows'],['Администрирование сетевого оборудования'],0.6454849498327759,17.159045356914223,0.012987886944818304
"['Настройка ПК', 'Настройка сетевых подключений']",['Администрирование сетевого оборудования'],0.4783783783783784,12.716820577285695,0.011911170928667563
"['Настройка ПК', 'Настройка сетевых подключений']",['Настройка ПО'],0.6270270270270271,20.705825825825826,0.015612382234185734
"['Телефонные переговоры', 'Деловая переписка']",['Деловое общение'],0.5477941176470589,7.380073062769986,0.010026917900403769
['Установка ПО'],['Настройка сетевых подключений'],0.5928853754940712,12.4438936155959,0.010094212651413189
['Установка ПО'],['Настройка ПК'],0.691699604743083,16.3153271848924,0.011776581426648721
['Установка ПО'],['Администрирование сетевого оборудования'],0.5928853754940712,15.760781180396956,0.010094212651413189
"['1С: Бухгалтерия', '1С программирование']",['1С: Предприятие 8'],0.6061776061776062,11.44574234790245,0.010565275908479138
['Аналитика продаж'],['Развитие продаж'],0.4365079365079365,12.124313900014835,0.01110363391655451
['1С: Предприятие 8'],['1С программирование'],0.49809402795425667,8.939223738406104,0.026379542395693137
"['1С: Бухгалтерия', '1С: Предприятие 8']",['1С программирование'],0.6408163265306123,11.500640836044562,0.010565275908479138
"['Деловое общение', 'Деловая переписка']",['Деловая коммуникация'],0.4576271186440678,4.453398155239586,0.01271870794078062
['Постановка задач разработчикам'],['Разработка технических заданий'],0.4323607427055703,11.096512325742271,0.010969044414535667
"['Поиск и привлечение клиентов', 'Активные продажи']",['Телефонные переговоры'],0.5103857566765578,9.552055849135579,0.011574697173620458
"['Поиск и привлечение клиентов', 'Активные продажи']",['B2B Продажи'],0.5311572700296736,11.728078800358023,0.012045760430686406
['1С: Управление Торговлей'],['1С: Бухгалтерия'],0.42676767676767674,13.379256702041511,0.011372812920592194
['1С: Управление Торговлей'],['1С: Предприятие 8'],0.49747474747474746,9.393233478366895,0.013257065948855989
['1С: Управление Торговлей'],['1С программирование'],0.6136363636363636,11.012845849802371,0.016352624495289368
['Настройка ПО'],['Настройка сетевых подключений'],0.6355555555555555,13.339485247959825,0.019246298788694483
['Настройка ПО'],['Настройка ПК'],0.7444444444444445,17.559435626102292,0.022543741588156124
['Настройка ПО'],['Администрирование сетевого оборудования'],0.45555555555555555,12.11011727290797,0.01379542395693136
['1С: Документооборот'],['1С: Предприятие 8'],0.4578313253012048,8.644693130846129,0.010228802153432033
"['Телефонные переговоры', 'Активные продажи']",['Деловое общение'],0.44886363636363635,6.04724717712025,0.01063257065948856
"['Телефонные переговоры', 'Активные продажи']",['Заключение договоров'],0.48863636363636365,10.64682751266329,0.011574697173620458
"['Телефонные переговоры', 'Активные продажи']",['Поиск и привлечение клиентов'],0.48863636363636365,13.883625934295152,0.011574697173620458
"['Телефонные переговоры', 'Активные продажи']",['B2B Продажи'],0.4772727272727273,10.53829528569499,0.011305518169582772
"['B2B Продажи', 'Активные продажи']",['Поиск и привлечение клиентов'],0.5295857988165681,15.047122314367499,0.012045760430686406
"['B2B Продажи', 'Активные продажи']",['Телефонные переговоры'],0.4970414201183432,9.302311716572518,0.011305518169582772
['Телефонные переговоры'],['Активные продажи'],0.4433249370277078,7.520329411223446,0.023687752355316286
['Телефонные переговоры'],['Деловое общение'],0.41309823677581864,5.565403262455725,0.022072678331090174
"['Администрирование сетевого оборудования', 'Настройка ПК']",['Настройка сетевых подключений'],0.7023809523809523,14.742063492063492,0.011911170928667563
"['Администрирование сетевого оборудования', 'Настройка ПК']",['Настройка ПО'],0.6468253968253969,21.359611992945325,0.010969044414535667
"['Администрирование сетевого оборудования', 'Настройка сетевых подключений']",['Настройка ПК'],0.6020408163265306,14.200518302559118,0.011911170928667563
"['Администрирование сетевого оборудования', 'Настройка сетевых подключений']",['Настройка ПО'],0.5238095238095238,17.297354497354497,0.010363391655450875
['PHP'],['JavaScript'],0.42244897959183675,11.052098304110377,0.013930013458950202
['PHP'],['Git'],0.4,7.239951278928137,0.013189771197846568
['PHP'],['MySQL'],0.4959183673469388,19.8100724160632,0.016352624495289368
['1С: Бухгалтерия'],['1С: Предприятие 8'],0.5168776371308017,9.759595537183879,0.01648721399730821
['1С: Бухгалтерия'],['1С программирование'],0.5464135021097046,9.806406571678998,0.017429340511440107
['Настройка сетевых подключений'],['Настройка ПК'],0.5225988700564972,12.326697157205631,0.02489905787348587
['Настройка сетевых подключений'],['Администрирование сетевого оборудования'],0.4152542372881356,11.038779903580851,0.019784656796769853
