combination,size,freq_count,n_with,raw_premium,adjusted_premium,strata_used,best_individual_premium,synergy
Деловое общение + Навыки продаж,2,48,48,29308.0,60015.0,4,31839.0,28176.0
Управление командой + Управление продажами,2,54,54,49903.0,54366.0,4,35449.0,18917.0
Деловая коммуникация + Заключение договоров,2,67,67,58841.0,54067.0,5,38819.0,15248.0
Навыки продаж + Телефонные переговоры,2,61,61,22400.0,49649.0,4,31839.0,17810.0
B2B Продажи + Управление продажами,2,50,50,53859.0,49027.0,3,35449.0,13578.0
Организаторские навыки + Руководство коллективом,2,77,77,66262.0,46609.0,4,40051.0,6558.0
Активные продажи + Управление продажами,2,60,60,25428.0,46346.0,5,36348.0,9998.0
B2B Продажи + Деловая коммуникация,2,51,51,28561.0,45070.0,6,33197.0,11873.0
Деловое общение + Заключение договоров,2,65,65,23167.0,45030.0,6,38819.0,6211.0
Заключение договоров + Поиск и привлечение клиентов,2,55,55,25717.0,44412.0,5,38819.0,5593.0
Активные продажи + Деловое общение + Телефонные переговоры,3,51,51,30655.0,44371.0,4,36348.0,8023.0
SQL + UML,2,53,53,70748.0,43817.0,3,28049.0,15768.0
Активные продажи + Заключение договоров,2,64,64,21617.0,43805.0,4,38819.0,4986.0
Заключение договоров + Телефонные переговоры,2,85,85,23462.0,43771.0,6,38819.0,4952.0
Деловое общение + Поиск и привлечение клиентов,2,47,47,28897.0,43748.0,4,32897.0,10851.0
Активные продажи + Деловая коммуникация,2,49,49,17277.0,43615.0,5,36348.0,7267.0
Активные продажи + Заключение договоров + Телефонные переговоры,3,51,51,22573.0,42161.0,3,38819.0,3342.0
Развитие продаж + Управление продажами,2,84,84,44884.0,41307.0,5,35449.0,5858.0
BPMN + UML,2,57,57,66653.0,41083.0,2,28049.0,13034.0
Активные продажи + Планирование продаж,2,54,54,20623.0,40703.0,5,36348.0,4355.0
Активные продажи + Деловое общение,2,59,59,25752.0,40286.0,4,36348.0,3938.0
Организаторские навыки + Управление продажами,2,52,52,44693.0,40065.0,3,35449.0,4616.0
BPMN + SQL,2,59,59,66364.0,39521.0,3,27254.0,12267.0
Руководство коллективом + Управление командой,2,55,55,45596.0,39382.0,4,40051.0,-669.0
B2B Продажи + Развитие продаж,2,57,57,40665.0,39188.0,4,33197.0,5991.0
B2B Продажи + Активные продажи,2,91,91,17090.0,39136.0,6,36348.0,2788.0
Планирование продаж + Управление продажами,2,56,56,30294.0,38506.0,4,35449.0,3057.0
Активные продажи + Поиск и привлечение клиентов + Телефонные переговоры,3,55,55,9294.0,38216.0,5,36348.0,1868.0
Поиск и привлечение клиентов + Телефонные переговоры,2,71,71,13613.0,38168.0,5,32897.0,5271.0
Деловое общение + Заключение договоров + Телефонные переговоры,3,50,50,30584.0,38152.0,4,38819.0,-667.0
Активные продажи + Холодные продажи,2,61,61,20741.0,38047.0,5,40876.0,-2829.0
Деловая коммуникация + Телефонные переговоры,2,78,78,10036.0,36402.0,6,21813.0,14589.0
Активные продажи + Поиск и привлечение клиентов,2,90,90,12085.0,35758.0,5,36348.0,-590.0
Docker + Kubernetes,2,46,46,73430.0,35691.0,5,53673.0,-17982.0
Активные продажи + Телефонные переговоры + Холодные продажи,3,46,46,9780.0,35465.0,4,40876.0,-5411.0
Ведение переговоров + Деловая коммуникация,2,47,47,13242.0,35379.0,4,16731.0,18648.0
1С программирование + ERP-системы на базе 1С,2,64,64,42740.0,33893.0,5,24032.0,9861.0
Телефонные переговоры + Холодные продажи,2,52,52,1471.0,33440.0,5,40876.0,-7436.0
Активные продажи + Телефонные переговоры,2,106,106,14238.0,33010.0,5,36348.0,-3338.0
B2B Продажи + Заключение договоров,2,55,55,31389.0,32855.0,3,38819.0,-5964.0
Планирование продаж + Развитие продаж,2,52,52,25816.0,32363.0,4,35252.0,-2889.0
1С программирование + 1С: Предприятие,2,49,49,19448.0,29925.0,3,21492.0,8433.0
Активные продажи + Навыки продаж,2,81,81,-1748.0,29257.0,3,36348.0,-7091.0
API + SQL,2,51,51,37297.0,29256.0,3,15018.0,14238.0
Git + PostgreSQL + SQL,3,50,50,48347.0,29198.0,4,28782.0,416.0
PostgreSQL + Redis,2,58,58,61801.0,29026.0,6,28782.0,244.0
PostgreSQL + Python + SQL,3,55,55,45591.0,28700.0,4,28782.0,-82.0
B2B Продажи + Активные продажи + Поиск и привлечение клиентов,3,48,48,7386.0,28318.0,5,36348.0,-8030.0
Поиск и привлечение клиентов + Развитие продаж,2,56,56,18855.0,28298.0,4,32897.0,-4599.0
Git + PostgreSQL,2,115,115,43391.0,27959.0,7,28782.0,-823.0
Активные продажи + Развитие продаж,2,67,67,11130.0,27904.0,6,36348.0,-8444.0
B2B Продажи + Поиск и привлечение клиентов,2,59,59,7805.0,27745.0,5,33197.0,-5452.0
Деловая коммуникация + Деловая переписка + Деловое общение,3,68,68,11959.0,27684.0,7,9098.0,18586.0
PostgreSQL + SQL,2,143,143,51910.0,27433.0,8,28782.0,-1349.0
1С программирование + 1С: Документооборот,2,54,54,14473.0,27031.0,3,21492.0,5539.0
Деловое общение + Телефонные переговоры,2,109,109,4905.0,27028.0,6,21813.0,5215.0
Организаторские навыки + Управление командой,2,79,79,26325.0,26122.0,4,33719.0,-7597.0
Деловая переписка + Заключение договоров + Телефонные переговоры,3,47,47,26372.0,25125.0,2,38819.0,-13694.0
Деловая переписка + Заключение договоров,2,71,71,9171.0,23658.0,4,38819.0,-15161.0
PostgreSQL + Python,2,116,116,43970.0,23044.0,8,28782.0,-5738.0
B2B Продажи + Телефонные переговоры,2,78,78,-3040.0,22655.0,6,33197.0,-10542.0
Деловая коммуникация + Деловое общение,2,97,97,4002.0,22038.0,7,9098.0,12940.0
Docker + PostgreSQL,2,92,92,48850.0,21266.0,7,28782.0,-7516.0
Git + SQL,2,106,106,32819.0,21266.0,8,15018.0,6248.0
Деловая переписка + Деловое общение + Телефонные переговоры,3,55,55,13811.0,21083.0,4,21813.0,-730.0
B2B Продажи + Активные продажи + Телефонные переговоры,3,52,52,-7211.0,20338.0,5,36348.0,-16010.0
Деловая коммуникация + Работа с большим объемом информации,2,96,96,15334.0,19340.0,7,6424.0,12916.0
Деловая коммуникация + Организаторские навыки,2,115,115,17025.0,19096.0,7,12467.0,6629.0
1С программирование + 1С: Управление Торговлей,2,93,93,22208.0,18830.0,3,21492.0,-2662.0
Git + Python,2,82,82,27688.0,18332.0,7,13639.0,4693.0
Организаторские навыки + Работа с большим объемом информации,2,73,73,13147.0,17884.0,6,12467.0,5417.0
1С: Предприятие 8 + ERP-системы на базе 1С,2,50,50,26435.0,17855.0,4,24032.0,-6177.0
Docker + SQL,2,50,50,30014.0,17556.0,4,23447.0,-5891.0
Python + SQL,2,138,138,29424.0,17270.0,9,15018.0,2252.0
PHP + SQL,2,46,46,6513.0,17170.0,3,15018.0,2152.0
1С программирование + 1С: Бухгалтерия,2,94,94,20321.0,17123.0,3,21492.0,-4369.0
1С: Документооборот + 1С: Предприятие 8,2,47,47,-2675.0,16771.0,3,9320.0,7451.0
1С программирование + 1С: Предприятие 8,2,138,138,16519.0,16099.0,6,21492.0,-5393.0
Ведение переговоров + Телефонные переговоры,2,53,53,-3057.0,16024.0,5,21813.0,-5789.0
Деловая коммуникация + Деловая переписка + Работа с большим объемом информации,3,50,50,7267.0,15714.0,5,6424.0,9290.0
Работа с большим объемом информации + Телефонные переговоры,2,47,47,-11560.0,15370.0,4,21813.0,-6443.0
Ведение переговоров + Управление проектами,2,53,53,4311.0,15249.0,5,16731.0,-1482.0
PostgreSQL + REST API,2,71,71,42914.0,15105.0,4,28782.0,-13677.0
REST API + SQL,2,67,67,31798.0,14204.0,4,15018.0,-814.0
1С программирование + Аналитическое мышление,2,54,54,-4406.0,14194.0,3,21492.0,-7298.0
Постановка задач разработчикам + Разработка технических заданий,2,61,61,36522.0,14092.0,5,14538.0,-446.0
1С программирование + 1С: Бухгалтерия + 1С: Управление Торговлей,3,49,49,18013.0,13156.0,3,21492.0,-8336.0
Обучение персонала + Руководство коллективом,2,46,46,11245.0,12676.0,4,40051.0,-27375.0
Деловая коммуникация + Деловая переписка + Телефонные переговоры,3,48,48,8465.0,12262.0,4,21813.0,-9551.0
1С + 1С программирование,2,86,86,16158.0,12008.0,5,21492.0,-9484.0
JavaScript + PostgreSQL,2,50,50,18085.0,11423.0,5,28782.0,-17359.0
Linux + PostgreSQL,2,66,66,39430.0,11357.0,5,28782.0,-17425.0
Деловая переписка + Деловое общение,2,125,125,-10489.0,11068.0,7,9098.0,1970.0
Laravel + PHP,2,52,52,16802.0,10955.0,4,11604.0,-649.0
Аналитическое мышление + Деловая коммуникация,2,80,80,-5910.0,10471.0,7,6424.0,4047.0
1С: Бухгалтерия + 1С: Управление Торговлей,2,69,69,15049.0,10462.0,4,10494.0,-32.0
1С программирование + 1С: Бухгалтерия + 1С: Предприятие 8,3,56,56,11943.0,10344.0,3,21492.0,-11148.0
1С: Предприятие 8 + 1С: Управление Торговлей,2,76,76,6402.0,10217.0,4,10494.0,-277.0
1С программирование + 1С: Предприятие 8 + 1С: Управление Торговлей,3,49,49,11012.0,9613.0,3,21492.0,-11879.0
Git + Linux,2,74,74,11113.0,9562.0,6,11596.0,-2034.0
B2B Продажи + Деловое общение,2,47,47,3851.0,9152.0,4,33197.0,-24045.0
Деловая коммуникация + Деловая переписка + Организаторские навыки,3,48,48,963.0,9141.0,4,12467.0,-3326.0
JavaScript + SQL,2,51,51,10726.0,9065.0,5,15018.0,-5953.0
Docker + Python,2,87,87,39851.0,8768.0,6,23447.0,-14679.0
