combination,size,freq_count,n_with,raw_premium,adjusted_premium,strata_used,best_individual_premium,synergy
B2B Продажи + Управление продажами,2,159,159,37311.0,34822.0,10,20394.0,14428.0
1С программирование + ERP-системы на базе 1С,2,175,175,49515.0,32881.0,9,25630.0,7251.0
Активные продажи + Деловая коммуникация,2,185,185,22940.0,32705.0,12,14736.0,17969.0
Активные продажи + Деловое общение + Телефонные переговоры,3,158,158,14279.0,30501.0,10,14736.0,15765.0
Навыки переговоров + Телефонные переговоры,2,161,161,7582.0,29830.0,11,13810.0,16020.0
Планирование продаж + Управление продажами,2,166,166,31584.0,29700.0,10,20394.0,9306.0
Управление командой + Управление продажами,2,176,176,32585.0,28637.0,9,22678.0,5959.0
Активные продажи + Проведение презентаций,2,163,163,12024.0,25872.0,9,14736.0,11136.0
1С программирование + 1С: Управление Торговлей,2,243,243,33109.0,25269.0,11,21362.0,3907.0
Активные продажи + Управление продажами,2,177,177,19260.0,24628.0,12,20394.0,4234.0
Навыки переговоров + Навыки продаж,2,156,156,8276.0,24269.0,10,13810.0,10459.0
1С программирование + 1С: Бухгалтерия,2,259,259,25964.0,23818.0,10,21362.0,2456.0
Деловое общение + Навыки продаж,2,169,169,-1465.0,23357.0,9,12580.0,10777.0
1С программирование + Аналитическое мышление,2,159,159,21223.0,23172.0,9,21362.0,1810.0
1С: Бухгалтерия + 1С: Управление Торговлей,2,169,169,27790.0,23023.0,10,17279.0,5744.0
Навыки продаж + Телефонные переговоры,2,195,195,-174.0,23010.0,9,12580.0,10430.0
B2B Продажи + Развитие продаж,2,199,199,24461.0,22792.0,13,15136.0,7656.0
Руководство коллективом + Управление командой,2,204,204,37163.0,22706.0,10,22678.0,28.0
Активные продажи + Деловое общение,2,246,246,4801.0,22049.0,12,14736.0,7313.0
Деловая переписка + Деловое общение + Телефонные переговоры,3,149,149,-799.0,21868.0,11,7601.0,14267.0
Планирование продаж + Развитие продаж,2,168,168,25015.0,21673.0,10,15312.0,6361.0
1С программирование + 1С: Предприятие 8,2,392,392,26060.0,21127.0,17,21362.0,-235.0
Деловая коммуникация + Навыки переговоров,2,172,172,16423.0,21059.0,13,13810.0,7249.0
Активные продажи + Холодные продажи,2,204,204,8164.0,21027.0,10,21596.0,-569.0
Деловая коммуникация + Заключение договоров,2,243,243,16132.0,20829.0,14,12224.0,8605.0
Развитие продаж + Управление продажами,2,264,264,26351.0,20714.0,12,20394.0,320.0
B2B Продажи + Деловая коммуникация,2,188,188,19780.0,20524.0,13,13480.0,7044.0
Активные продажи + Телефонные переговоры,2,352,352,1629.0,20223.0,13,14736.0,5487.0
Активные продажи + Планирование продаж,2,224,224,13771.0,20219.0,12,15312.0,4907.0
1С программирование + 1С: Бухгалтерия + 1С: Предприятие 8,3,157,157,22656.0,20046.0,9,21362.0,-1316.0
Заключение договоров + Организаторские навыки,2,149,149,23299.0,19859.0,9,12224.0,7635.0
Поиск и привлечение клиентов + Развитие продаж,2,174,174,12218.0,19380.0,12,15136.0,4244.0
Активные продажи + Заключение договоров + Телефонные переговоры,3,172,172,5346.0,19162.0,9,14736.0,4426.0
Активные продажи + Заключение договоров,2,268,268,6427.0,19116.0,13,14736.0,4380.0
1С программирование + Обновление конфигурации 1С,2,213,213,22437.0,18613.0,9,21362.0,-2749.0
Организаторские навыки + Руководство коллективом,2,298,298,31466.0,18576.0,16,22179.0,-3603.0
Управление командой + Управленческие навыки,2,151,151,28626.0,18404.0,9,22678.0,-4274.0
B2B Продажи + Холодные продажи,2,151,151,8922.0,18269.0,9,21596.0,-3327.0
Деловое общение + Поиск и привлечение клиентов,2,164,164,2046.0,18268.0,9,14255.0,4013.0
Заключение договоров + Поиск и привлечение клиентов,2,222,222,7761.0,18255.0,12,14255.0,4000.0
Деловое общение + Заключение договоров,2,223,223,5966.0,18023.0,13,12224.0,5799.0
1С: Предприятие 8 + ERP-системы на базе 1С,2,154,154,29763.0,17695.0,10,25630.0,-7935.0
Linux + PostgreSQL,2,209,209,37958.0,17614.0,15,20854.0,-3240.0
Организаторские навыки + Управление продажами,2,162,162,22600.0,17532.0,9,20394.0,-2862.0
