skill,floor_only_shap,floor_only_n,has_ceiling_shap,has_ceiling_n,spread
LLM,-1166.0,28,5056.0,34,6222.0
Управление рисками,23915.0,66,17844.0,47,6071.0
Symfony,20004.0,26,25712.0,32,5708.0
AI,20053.0,12,16498.0,37,3555.0
Знание устройства автомобиля,18125.0,30,14825.0,28,3300.0
Регрессионное тестирование,-18260.0,22,-15145.0,41,3115.0
B2C продажи,19989.0,52,22942.0,35,2953.0
Обслуживание покупателей,-12426.0,25,-9732.0,198,2694.0
Kubernetes,11710.0,90,14261.0,111,2551.0
Лидерство,5432.0,73,2984.0,57,2448.0
Пунктуальность,3611.0,12,5979.0,47,2368.0
Теплые продажи,639.0,62,2872.0,71,2233.0
Производство строительно-монтажных работ,10521.0,30,12753.0,48,2232.0
Управление процессами,37706.0,79,39906.0,49,2200.0
Оценка потребностей клиентов,-1711.0,75,478.0,43,2189.0
Анализ продаж,2248.0,71,146.0,92,2102.0
Adobe Illustrator,-11460.0,30,-9378.0,60,2082.0
Транспортная логистика,5665.0,24,3595.0,33,2070.0
Kafka,10166.0,22,12228.0,49,2062.0
Аналитические исследования,-2891.0,67,-4943.0,56,2052.0
Power BI,6904.0,71,8768.0,50,1864.0
Clickhouse,17969.0,52,16152.0,61,1817.0
Laravel,-534.0,39,1205.0,80,1739.0
Бизнес-планирование,3693.0,52,5425.0,60,1732.0
Умение принимать решения,2514.0,75,4239.0,78,1725.0
Golang,29017.0,25,30657.0,55,1640.0
Информационная безопасность,2467.0,86,4047.0,75,1580.0
MongoDB,1601.0,26,29.0,48,1572.0
Работа с CRM,2961.0,83,1419.0,95,1542.0
Выездное обслуживание,5243.0,24,6641.0,100,1398.0
ORACLE,2110.0,47,3483.0,41,1373.0
Анализ целевой аудитории,-1421.0,34,-2754.0,44,1333.0
VueJS,1352.0,20,62.0,35,1290.0
1C: ERP,6294.0,63,7582.0,55,1288.0
BPMN,8834.0,84,10121.0,137,1287.0
Управление строительством,18497.0,43,19740.0,32,1243.0
Agile Project Management,10477.0,23,9238.0,36,1239.0
C++,9090.0,136,10308.0,161,1218.0
Управление бизнес процессами,3647.0,57,4862.0,52,1215.0
CustDev,6971.0,22,5779.0,31,1192.0
PostgreSQL,6935.0,296,8004.0,463,1069.0
Управление командой,16199.0,371,15188.0,368,1011.0
RabbitMQ,1045.0,56,2052.0,82,1007.0
Выкладка товаров,-3585.0,30,-2583.0,76,1002.0
Автоматизация процессов,10692.0,147,9714.0,137,978.0
Яндекс.Метрика,-5853.0,76,-6790.0,115,937.0
Графический дизайн,-8519.0,25,-7608.0,62,911.0
HTML,-12024.0,202,-11125.0,292,899.0
Графические редакторы,-5062.0,22,-4193.0,36,869.0
Анализ обратной связи,-5663.0,44,-4805.0,15,858.0
Кадровое делопроизводство,-15403.0,36,-14553.0,39,850.0
Kotlin,8387.0,44,9234.0,42,847.0
Анализ рынка,1421.0,163,587.0,159,834.0
C/C++,13161.0,81,12337.0,63,824.0
Проведение переговоров,2367.0,41,3167.0,42,800.0
Логистика,3491.0,34,2714.0,33,777.0
Мотивация,7939.0,36,8714.0,45,775.0
Бухгалтерский учет,-3244.0,89,-2475.0,80,769.0
Ansible,6375.0,32,5618.0,39,757.0
Дизайн,-4713.0,15,-3974.0,43,739.0
1С: Управление Производственным Предприятием,-600.0,81,-1334.0,59,734.0
Atlassian Jira,-1126.0,49,-410.0,90,716.0
Управление конфликтами,1187.0,36,485.0,45,702.0
Настройка сетевых подключений,-3669.0,267,-2982.0,441,687.0
Проведение презентаций,1497.0,207,827.0,193,670.0
Веб-программирование,-8786.0,77,-9445.0,130,659.0
Навыки межличностного общения,203.0,61,-453.0,110,656.0
Взаимодействие с контрольными органами,21231.0,34,20586.0,28,645.0
Настройка ПК,-7619.0,253,-6994.0,377,625.0
DevOps,3935.0,52,4558.0,69,623.0
Системный подход,-869.0,46,-1479.0,50,610.0
Проведение инвентаризаций,-6045.0,33,-5448.0,31,597.0
Лидогенерация,822.0,34,245.0,33,577.0
Организация учебного процесса,-28188.0,53,-27618.0,76,570.0
Системный анализ,277.0,127,843.0,161,566.0
Финансовый контроль,-81.0,30,480.0,17,561.0
Активные продажи,4671.0,471,4110.0,405,561.0
REST,-92.0,60,466.0,122,558.0
Сопровождение строительства,2264.0,57,2810.0,35,546.0
Бюджетирование,7862.0,91,7323.0,84,539.0
Документальное сопровождение,1967.0,120,1438.0,104,529.0
