skill,Москва_shap,Москва_n,Санкт-Петербург_shap,Санкт-Петербург_n,Other_shap,Other_n,spread
Активные продажи,24423.0,57,20700.0,30,13166.0,136,11257.0
Навыки переговоров,20679.0,48,19712.0,12,11134.0,60,9545.0
Руководство коллективом,20571.0,50,18096.0,14,11860.0,97,8711.0
Оптимизация бизнес-процессов,24198.0,34,20405.0,15,17352.0,47,6846.0
Adobe Photoshop,-15734.0,35,-11279.0,11,-9341.0,31,6393.0
SEO,-12759.0,40,-10351.0,14,-6914.0,37,5845.0
MS SQL,9652.0,30,11495.0,12,5885.0,35,5610.0
Figma,-16836.0,33,-14918.0,18,-11825.0,32,5011.0
Документооборот,-22394.0,17,-19824.0,12,-17712.0,33,4682.0
Kubernetes,38447.0,41,37930.0,13,33830.0,17,4617.0
Atlassian Jira,4917.0,31,352.0,18,1179.0,16,4565.0
Информационные технологии,2148.0,27,4771.0,11,766.0,65,4005.0
Техническая поддержка пользователей,-16814.0,23,-15741.0,14,-12893.0,32,3921.0
Обучение и развитие,-13646.0,93,-10248.0,24,-10402.0,142,3398.0
Заключение договоров,13769.0,52,13784.0,23,10596.0,91,3188.0
B2B Продажи,8703.0,65,7549.0,19,5681.0,93,3022.0
Настройка сетевых подключений,-8851.0,40,-9053.0,20,-6342.0,76,2711.0
Управление продажами,14006.0,52,16610.0,14,14321.0,89,2604.0
Автоматизация процессов,5582.0,35,3142.0,12,3724.0,49,2440.0
1С программирование,10785.0,75,9963.0,21,12331.0,187,2368.0
Настройка ПК,-11787.0,39,-11374.0,11,-9428.0,72,2359.0
Аналитическое мышление,2684.0,174,897.0,51,780.0,246,1904.0
Электронный документооборот,-8951.0,13,-7978.0,10,-7051.0,31,1900.0
Python,4394.0,174,4425.0,54,2685.0,161,1740.0
MySQL,-5353.0,61,-4471.0,20,-3688.0,63,1665.0
Деловое общение,-1002.0,89,542.0,33,-474.0,171,1544.0
Управление командой,22822.0,90,22639.0,17,24155.0,116,1516.0
Linux,1232.0,115,2429.0,39,2603.0,125,1371.0
Администрирование сетевого оборудования,-4551.0,34,-3903.0,16,-3274.0,74,1277.0
Битрикс24,-3582.0,28,-3197.0,17,-2327.0,48,1255.0
Java,709.0,41,1917.0,21,1244.0,51,1208.0
Техническая поддержка,-6018.0,26,-5190.0,13,-4824.0,68,1194.0
Разработка технических заданий,-418.0,66,618.0,26,744.0,109,1162.0
Деловая переписка,-7742.0,107,-6765.0,46,-6584.0,193,1158.0
Подбор персонала,-7248.0,60,-7716.0,22,-6601.0,100,1115.0
Телефонные переговоры,163.0,70,1266.0,36,1073.0,129,1103.0
Умение работать в коллективе,-233.0,55,-1289.0,14,-791.0,63,1056.0
PostgreSQL,12636.0,161,13682.0,44,13466.0,125,1046.0
1С: Бухгалтерия,-381.0,50,-215.0,11,566.0,108,947.0
Грамотная речь,-3059.0,41,-2560.0,18,-2120.0,76,939.0
Анализ конкурентной среды,7012.0,43,7940.0,14,7705.0,33,928.0
HTML,-5440.0,59,-5120.0,20,-4559.0,119,881.0
SQL,7656.0,210,6778.0,57,6937.0,185,878.0
REST API,-2012.0,75,-1140.0,21,-1967.0,58,872.0
Развитие продаж,259.0,53,-344.0,10,527.0,94,871.0
Консультирование клиентов,1849.0,14,1050.0,13,1920.0,23,870.0
Настройка ПО,-6084.0,26,-5783.0,13,-5246.0,59,838.0
Английский язык,4806.0,96,3973.0,19,4770.0,62,833.0
Docker,4452.0,97,4242.0,30,4998.0,69,756.0
Поиск и привлечение клиентов,1448.0,39,2191.0,16,2058.0,78,743.0
PHP,-1219.0,72,-602.0,30,-502.0,110,717.0
BPMN,5326.0,53,5932.0,14,6042.0,28,716.0
MS Excel,-2626.0,47,-2187.0,16,-2858.0,54,671.0
Техническая документация,932.0,30,1250.0,14,584.0,54,666.0
Git,4044.0,125,4700.0,39,4509.0,163,656.0
Контроль качества,-2823.0,25,-2227.0,10,-2648.0,56,596.0
Постановка задач разработчикам,1477.0,53,2026.0,18,1672.0,59,549.0
Организаторские навыки,544.0,137,275.0,42,0.0,199,544.0
Анализ рынка,-536.0,48,-270.0,11,-7.0,40,529.0
Проектная документация,4076.0,29,4584.0,12,4563.0,37,508.0
Анализ данных,-255.0,59,-739.0,13,-253.0,57,486.0
Работа с большим объемом информации,-2891.0,132,-3376.0,47,-3368.0,224,485.0
Управление проектами,-732.0,62,-261.0,20,-247.0,103,485.0
Планирование продаж,242.0,25,705.0,12,603.0,65,463.0
REST,293.0,38,361.0,11,-30.0,42,391.0
1С: Управление Торговлей,319.0,52,263.0,10,631.0,89,368.0
ERP-системы на базе 1С,15367.0,48,15713.0,11,15682.0,63,346.0
API,-379.0,55,-433.0,20,-724.0,39,345.0
Управление отношениями с клиентами,-218.0,23,-225.0,10,-556.0,27,338.0
Agile,1789.0,22,1906.0,12,1575.0,24,331.0
TypeScript,950.0,35,1203.0,13,1269.0,47,319.0
Бизнес-анализ,136.0,61,131.0,22,-164.0,63,300.0
Точность и внимательность к деталям,-2096.0,37,-2249.0,19,-1955.0,68,294.0
JavaScript,-784.0,77,-621.0,35,-499.0,128,285.0
1С: Документооборот,-826.0,36,-748.0,11,-541.0,68,285.0
React,128.0,34,327.0,18,407.0,32,279.0
UML,670.0,41,409.0,11,627.0,15,261.0
1С,-580.0,60,-450.0,15,-347.0,114,233.0
Обучение персонала,-77.0,34,-61.0,13,-279.0,88,218.0
Анализ требований,-384.0,16,-585.0,11,-454.0,21,201.0
CSS,-980.0,26,-1043.0,10,-846.0,50,197.0
Системный анализ,4010.0,48,4013.0,12,3856.0,38,157.0
1С: Предприятие,264.0,21,327.0,10,401.0,52,137.0
Node.js,152.0,26,232.0,17,278.0,32,126.0
Работа с базами данных,-646.0,41,-548.0,13,-542.0,77,104.0
Деловая коммуникация,-166.0,154,-173.0,65,-85.0,203,88.0
1С: Предприятие 8,-894.0,79,-962.0,22,-894.0,174,68.0
Маркетинговый анализ,-190.0,35,-166.0,11,-124.0,36,66.0
Работа в команде,-317.0,41,-343.0,20,-357.0,135,40.0
Администрирование серверов Linux,-62.0,20,-62.0,10,-61.0,21,1.0
Администрирование серверов,0.0,18,0.0,10,0.0,26,0.0
