skill,Москва_shap,Москва_n,Санкт-Петербург_shap,Санкт-Петербург_n,Other_shap,Other_n,spread
Бюджетирование,14168.0,31,3527.0,13,2021.0,40,12147.0
Adobe Photoshop,-13813.0,53,-12130.0,20,-7952.0,57,5861.0
Руководство коллективом,15195.0,88,12914.0,24,9813.0,162,5382.0
Информационная безопасность,498.0,20,-3709.0,10,-2575.0,45,4207.0
Навыки переговоров,12306.0,75,13156.0,27,9439.0,107,3717.0
C++,8940.0,50,7422.0,13,5336.0,98,3604.0
Яндекс.Метрика,-13705.0,55,-10904.0,14,-10290.0,46,3415.0
MS SQL,3879.0,43,6395.0,20,3039.0,52,3356.0
Организация учебного процесса,-28897.0,13,-29992.0,11,-26981.0,52,3011.0
Английский язык,7237.0,162,4688.0,35,7698.0,105,3010.0
Навыки межличностного общения,3475.0,29,2884.0,13,496.0,68,2979.0
Настройка ПК,-10744.0,84,-9907.0,30,-8243.0,263,2501.0
1С программирование,9246.0,109,10918.0,27,11710.0,258,2464.0
Docker,3778.0,157,2465.0,39,4694.0,98,2229.0
SEO,-5985.0,59,-4552.0,23,-3934.0,58,2051.0
Документооборот,-16554.0,31,-15669.0,19,-14552.0,65,2002.0
Холодные продажи,8627.0,47,7535.0,13,6655.0,63,1972.0
Базы данных,841.0,40,2206.0,15,246.0,90,1960.0
1С: Управление Торговлей,198.0,78,198.0,15,2121.0,116,1923.0
B2B Продажи,6263.0,129,4914.0,31,4376.0,139,1887.0
Ведение переговоров,15492.0,102,14927.0,15,13620.0,136,1872.0
Монтаж оборудования,3974.0,33,3248.0,10,2126.0,184,1848.0
Телефонные переговоры,4057.0,142,2558.0,51,2251.0,207,1806.0
Администрирование,-2804.0,32,-4343.0,14,-4593.0,75,1789.0
SMM,-11700.0,36,-11471.0,13,-9959.0,28,1741.0
Управление отношениями с клиентами,11798.0,38,11488.0,15,10058.0,41,1740.0
Управление интернет-проектами,-7791.0,36,-7352.0,11,-6130.0,31,1661.0
UX,-7300.0,38,-6605.0,14,-5690.0,22,1610.0
Веб-программирование,-14667.0,34,-13993.0,11,-13117.0,85,1550.0
Ручное тестирование,-8785.0,17,-7521.0,10,-7242.0,35,1543.0
Ориентация на клиента,350.0,27,1604.0,10,1798.0,37,1448.0
Управленческая отчетность,1296.0,17,379.0,12,-72.0,36,1368.0
Активные продажи,11938.0,121,12595.0,48,11263.0,236,1332.0
HTML,-7156.0,81,-6849.0,39,-5849.0,172,1307.0
Настройка сетевых подключений,-6206.0,84,-6071.0,43,-4930.0,314,1276.0
Информационные технологии,-55.0,48,736.0,22,-502.0,167,1238.0
Стрессоустойчивость,-466.0,22,-1005.0,11,-1699.0,46,1233.0
Scrum,-1861.0,35,-660.0,11,-1752.0,23,1201.0
RabbitMQ,6271.0,46,5077.0,13,5372.0,23,1194.0
MySQL,-5848.0,87,-5621.0,26,-4688.0,90,1160.0
Строительство,6039.0,56,6054.0,15,7184.0,69,1145.0
Техническая поддержка пользователей,-9265.0,55,-8335.0,21,-8142.0,97,1123.0
Оптимизация бизнес-процессов,5114.0,56,5972.0,21,4855.0,79,1117.0
ERP-системы на базе 1С,9813.0,63,9808.0,13,10892.0,84,1084.0
1С-Битрикс,-2181.0,43,-1775.0,11,-1113.0,71,1068.0
Администрирование сетевого оборудования,-6410.0,75,-5345.0,31,-5426.0,168,1065.0
Обучение и развитие,-4739.0,152,-3892.0,41,-3735.0,278,1004.0
Kubernetes,32825.0,66,33808.0,18,33607.0,27,983.0
Nginx,-3562.0,32,-3742.0,12,-2805.0,15,937.0
Управление продажами,12537.0,84,12575.0,19,11644.0,123,931.0
Планирование продаж,2025.0,49,2951.0,17,2780.0,87,926.0
Обеспечение антивирусной защиты,-4217.0,25,-5134.0,11,-5067.0,54,917.0
Техническая поддержка,-6757.0,59,-6242.0,25,-5868.0,148,889.0
Навыки презентации,4735.0,51,5615.0,15,4965.0,90,880.0
Аналитика,-1894.0,45,-1430.0,11,-1042.0,42,852.0
Аналитика продаж,2168.0,60,1823.0,13,1323.0,93,845.0
Figma,-5270.0,48,-5611.0,25,-4776.0,47,835.0
SQL,7068.0,297,6260.0,78,6496.0,275,808.0
Заключение договоров,7681.0,127,7336.0,34,6874.0,167,807.0
Развитие продаж,1844.0,96,1039.0,24,1112.0,133,805.0
Электронный документооборот,-8484.0,24,-8158.0,14,-7685.0,41,799.0
Git,3709.0,189,4504.0,54,4482.0,226,795.0
PostgreSQL,15945.0,227,16727.0,58,16437.0,178,782.0
Системная интеграция,4700.0,23,5017.0,10,5457.0,16,757.0
Групповое обучение,-11975.0,16,-11827.0,10,-11231.0,40,744.0
Веб-аналитика,-891.0,24,-866.0,10,-150.0,23,741.0
Adobe Illustrator,-4493.0,21,-4310.0,10,-3782.0,29,711.0
Python,3094.0,264,2973.0,69,2384.0,249,710.0
Техническая документация,297.0,45,990.0,17,986.0,82,693.0
Точность и внимательность к деталям,-4673.0,64,-5358.0,33,-4868.0,152,685.0
CI/CD,802.0,55,1078.0,10,1432.0,25,630.0
BPMN,11582.0,74,11136.0,20,10989.0,43,593.0
Битрикс24,-2699.0,61,-2638.0,20,-2107.0,75,592.0
Контроль качества,-3459.0,54,-3758.0,19,-3186.0,115,572.0
Поиск и привлечение клиентов,139.0,73,701.0,28,417.0,129,562.0
Деловая коммуникация,-646.0,294,-541.0,95,-1097.0,361,556.0
Организаторские навыки,678.0,265,456.0,78,129.0,387,549.0
Техническое обслуживание,477.0,66,600.0,17,57.0,184,543.0
Подбор персонала,-6539.0,85,-6079.0,30,-6621.0,140,542.0
React,221.0,52,737.0,23,755.0,43,534.0
Умение работать в коллективе,-181.0,82,-493.0,25,-714.0,135,533.0
SEO оптимизация,-1596.0,50,-1438.0,14,-1098.0,49,498.0
Системный анализ,2318.0,74,2099.0,18,1870.0,69,448.0
Веб-дизайн,-903.0,31,-539.0,13,-470.0,28,433.0
Анализ данных,-667.0,89,-1083.0,22,-652.0,82,431.0
Чтение чертежей,-280.0,24,32.0,10,142.0,33,422.0
Интернет маркетинг,-757.0,38,-357.0,14,-336.0,37,421.0
Грамотность,-5360.0,17,-5144.0,13,-4959.0,33,401.0
E-Commerce,-558.0,88,-515.0,15,-170.0,30,388.0
Администрирование серверов,-3815.0,41,-3431.0,20,-3602.0,66,384.0
Постановка задач разработчикам,1204.0,82,1574.0,20,1555.0,86,370.0
MongoDB,-3053.0,22,-3007.0,11,-3367.0,15,360.0
Управление командой,18497.0,151,18489.0,27,18844.0,190,355.0
Анализ конкурентной среды,555.0,76,527.0,19,878.0,54,351.0
Настройка почтовых серверов,-1124.0,26,-804.0,16,-796.0,35,328.0
Linux,818.0,210,1003.0,69,1146.0,253,328.0
Работа в команде,-2263.0,79,-1937.0,41,-2108.0,237,326.0
Сбор и анализ информации,-6337.0,58,-6015.0,14,-6078.0,75,322.0
PHP,-313.0,100,-48.0,38,9.0,144,322.0
Управление персоналом,-611.0,19,-601.0,13,-296.0,67,315.0
Мониторинг рынка,188.0,44,-126.0,11,-95.0,31,314.0
Яндекс.Директ,-988.0,24,-769.0,10,-683.0,21,305.0
Деловая переписка,-5118.0,225,-4819.0,84,-4826.0,344,299.0
Пользователь ПК,-3637.0,46,-3349.0,19,-3446.0,152,288.0
Умение планировать,-722.0,24,-775.0,11,-1007.0,43,285.0
Проведение презентаций,327.0,74,469.0,15,193.0,104,276.0
Zabbix,-1488.0,47,-1687.0,10,-1423.0,34,264.0
Клиентоориентированность,-906.0,68,-1152.0,10,-1157.0,63,251.0
MS Excel,-2123.0,78,-1980.0,25,-1874.0,89,249.0
Работа с базами данных,-704.0,59,-829.0,19,-933.0,117,229.0
Грамотная речь,-2585.0,73,-2698.0,29,-2806.0,147,221.0
1С: Бухгалтерия,1089.0,74,1211.0,16,995.0,144,216.0
Redis,1188.0,57,1388.0,11,1179.0,38,209.0
Проектный менеджмент,-488.0,75,-323.0,17,-281.0,70,207.0
Деловое общение,309.0,211,177.0,69,119.0,324,190.0
Управленческие навыки,-330.0,44,-141.0,18,-241.0,83,189.0
Atlassian Jira,146.0,43,-35.0,20,103.0,27,181.0
Разработка технических заданий,-89.0,101,-22.0,36,89.0,160,178.0
Active Directory,-11296.0,39,-11388.0,11,-11220.0,47,168.0
Установка ПО,-2818.0,42,-2978.0,15,-2863.0,79,160.0
