,coef
skill_Kubernetes,26480.9827989943
skill_Навыки переговоров,25054.661721359218
skill_Умение принимать решения,23675.252211176074
skill_1С программирование,23218.956027753124
skill_Оптимизация бизнес-процессов,21918.48676303585
skill_Руководство коллективом,20591.64473197745
skill_Заключение договоров,18896.513660250566
skill_Управление командой,18288.456247876373
skill_Apache Kafka,17568.331728781264
skill_Управление продажами,17490.389117479204
skill_ERP-системы на базе 1С,17410.80710857416
skill_Стратегическое мышление,17264.464775890803
skill_Анализ конкурентной среды,15419.556401084137
skill_Ориентация на результат,14628.760008514815
skill_Активные продажи,14503.499107429674
skill_PostgreSQL,14342.572105646706
skill_C++,13986.122256065686
skill_Автоматизация процессов,12214.450935898145
skill_MS SQL,11242.736689515008
skill_Бюджетирование,11067.058916974722
skill_BPMN,9656.378297825413
skill_Техническое обслуживание,9618.267662921595
skill_Постановка задач разработчикам,9385.701876607542
skill_Agile,9320.572383256826
skill_Документальное сопровождение,9295.609581819579
skill_Git,9068.790530887689
skill_RabbitMQ,8814.418780382122
skill_Адаптация персонала,8793.955214222562
skill_Laravel,8725.78379084712
skill_Информационные технологии,8559.731117301364
skill_Ответственность,8263.170424710832
skill_Системный анализ,8163.019545915504
skill_Анализ рынка,7748.656270602269
skill_Python,7458.254461838446
skill_Ведение переговоров,7297.44931228145
skill_Проектная документация,7202.288919775285
skill_Консультирование клиентов,7020.248181064906
skill_SQL,6980.172496048273
skill_Мониторинг рынка,6654.887325055248
skill_AutoCAD,6485.9820534918035
skill_Холодные продажи,6270.46783156612
skill_Разработка ПО,6184.83491736928
skill_Linux,5990.541774103383
skill_TypeScript,5990.530165209942
skill_Телефонные переговоры,5753.990800762644
skill_CRM,5730.507948528872
skill_Навыки презентации,5619.67420830125
skill_B2B Продажи,5546.38291746391
skill_UML,4913.297416524219
skill_Английский язык,4684.879261446981
skill_Организаторские навыки,3778.567050617712
skill_1С: Зарплата и управление персоналом,3746.495642019093
skill_Строительство,3731.2838973298085
skill_Базы данных,3626.3311861391303
skill_1С: Предприятие,3562.1929495742143
skill_Навыки продаж,3367.681249069192
skill_Навыки межличностного общения,3230.5892531423524
skill_Проведение презентаций,3222.7153992996373
skill_PHP,3207.2824628994995
skill_Docker,3082.1003314728114
skill_Моделирование бизнес процессов,3006.5407642765012
skill_1С: Зарплата и кадры,2991.619457086221
skill_Java,2760.1108989014683
skill_Деловая коммуникация,2715.336373140861
skill_Подготовка презентаций,1983.1052526230833
skill_Маркетинговая стратегия,1649.7735130972742
skill_Прямые продажи,1559.1076068333332
skill_Atlassian Jira,1490.8545017318393
skill_Управление отношениями с клиентами,1447.6742559037002
skill_Анализ бизнес показателей,1282.9608983617272
skill_Техническая документация,1224.777026940778
skill_Node.js,1222.906185617494
skill_Internet Marketing,1106.1046614425022
skill_Анализ бизнес-процессов,792.3317050369378
skill_E-Commerce,776.7656346216463
skill_Развитие продаж,655.5747998050501
skill_Планирование продаж,587.3114839283853
skill_JSON,266.66061292282757
skill_REST,139.2475083444715
skill_API,85.80829976918949
skill_Управленческие навыки,32.71505754786267
skill_JavaScript,-83.36240265449123
skill_1С: Управление Торговлей,-221.75410325791108
skill_CSS3,-344.7700986073314
skill_Работа в команде,-443.43418937617616
skill_Интернет-реклама,-566.0662474920455
skill_Разработка инструкций,-583.4052923684021
skill_Аналитическое мышление,-596.0490023183866
skill_Внимательность,-601.8541816121615
skill_Bash,-717.5459388419363
skill_Работа с большим объемом информации,-854.1431083755306
skill_Умение работать в коллективе,-860.9609559777327
skill_Поиск и привлечение клиентов,-898.9414847476164
skill_Бухгалтерский учет,-967.654761523906
skill_1С: Бухгалтерия,-1065.416482487551
skill_Redis,-1082.5305980220096
skill_1С: Комплексная автоматизация,-1198.1465162879122
skill_Scrum,-1202.272170604514
skill_React,-1240.257454009748
skill_Разработка технических заданий,-1463.1791028922653
skill_Администрирование серверов Linux,-1732.9584426550084
skill_C#,-1850.223723452933
skill_Стрессоустойчивость,-1969.9284408391175
skill_Администрирование,-2037.389270557651
skill_Маркетинговый анализ,-2137.405252871564
skill_Аналитика продаж,-2469.5581962658507
skill_Работа с базами данных,-2604.492193777245
skill_CI/CD,-3104.5376922883725
skill_CSS,-3130.9921932496163
skill_Мотивация персонала,-3174.556499238892
skill_REST API,-3204.8184404163485
skill_1С: Документооборот,-3213.1031825772397
skill_HTML5,-3323.2511736623237
