,coef
skill_Управление процессами,34337.3026164225
skill_Golang,30079.559930327927
skill_Теплые продажи,26635.62982629115
skill_Kubernetes,25000.56563402941
skill_Сопровождение клиентов,23154.596099868435
skill_Умение принимать решения,22463.86357788972
skill_Ведение переговоров,20345.130377078687
skill_Навыки переговоров,19397.09318031477
skill_1С программирование,18987.762424563058
skill_Выездное обслуживание,17815.051006131707
skill_Kafka,17713.042555762215
skill_Стратегическое мышление,17097.950679380614
skill_Пунктуальность,16484.964575066268
skill_ERP-системы на базе 1С,16316.558258441913
skill_Ориентация на результат,16048.57932200759
skill_1C: ERP,15994.164193780036
skill_Мониторинг рынка,15841.69641338785
skill_Руководство коллективом,14948.461904344553
skill_Clickhouse,14933.56604952426
skill_Производство строительно-монтажных работ,14845.820945899624
skill_Управление командой,14612.544171579608
skill_Бизнес-планирование,14565.03593901953
skill_Стратегический менеджмент,14483.576578649949
skill_C/C++,14481.720821351773
skill_BPMN,14198.322472019527
skill_PostgreSQL,14150.419458627157
skill_C++,14140.66247103077
skill_Управление продажами,13494.107716853621
skill_Управление отношениями с клиентами,13202.015342192923
skill_Apache Kafka,13171.959040879361
skill_Активные продажи,13156.045841419715
skill_Power BI,13119.980474299256
skill_Бюджетирование,12635.320143504054
skill_Навыки межличностного общения,12497.00328983806
skill_Заключение договоров,11746.892381919573
skill_Оптимизация бизнес-процессов,11631.65735149091
skill_Ремонтные работы,11568.339209271911
skill_Анализ рынка,10858.001912278034
skill_Холодные продажи,10514.400236662155
skill_Agile,10282.572233309818
skill_Постановка задач разработчикам,10002.438001799106
skill_Монтаж оборудования,9814.503302890236
skill_Разработка бизнес-требований,9803.031405532993
skill_Стратегическое планирование,9765.525525165638
skill_Навыки презентации,9680.611986983382
skill_Строительство,9560.603498483732
skill_Телефонные переговоры,9455.742766762804
skill_Unit-экономика,9365.715123560609
skill_Laravel,9137.010415016151
skill_MS SQL,9044.012707806416
skill_RabbitMQ,8911.338264367756
skill_Договорная работа,8467.304779027752
skill_Закупки,8438.84215213618
skill_Проектная документация,8094.074683318094
skill_Анализ конкурентной среды,7638.18141101238
skill_Бухгалтерский учет,7481.80578335124
skill_Системная интеграция,7419.111066018902
skill_Автоматизация процессов,7298.710145145933
skill_Маркетинговый анализ,7241.32261877572
skill_Адаптация персонала,7205.175692481729
skill_MS Project,7159.806838227611
skill_Планирование продаж,7081.722958753286
skill_SQL,7030.539273606947
skill_Управление ресурсами,6907.103799850491
skill_SOAP,6756.096834859327
skill_Мотивация,6655.474895118162
skill_Разработка ПО,6654.769004840568
skill_Git,6571.61919267809
skill_Python,6382.320490044218
skill_Linux,6339.138549017325
skill_Внутренние коммуникации,6193.294650669575
skill_DevOps,6055.853978793968
skill_Документальное сопровождение,6009.924731024055
skill_Ответственность,5949.986671566844
skill_AutoCAD,5893.668248413602
skill_Аналитика продаж,5891.07352387883
skill_Управление бизнес процессами,5591.408299950358
skill_Техническая документация,5552.623329569159
skill_Организаторские навыки,5284.579151909773
skill_B2B Продажи,5234.811357447303
skill_Java,5216.0950346666605
skill_Gitlab,5099.582059776419
skill_Настройка роутеров,5096.112984865616
skill_Планирование бюджета,5024.809630626152
skill_Системный анализ,4999.621403112787
skill_Резервное копирование,4749.4352850363075
skill_Разработка нового продукта,4654.825107464146
skill_Google Analytics,4547.374693289436
skill_Навыки продаж,4460.775446653199
skill_Поиск информации в интернет,4431.082361365688
skill_Информационные технологии,4417.357439849835
skill_Консультирование клиентов,4382.749065905053
skill_Продуктовые метрики,4187.67324595918
skill_PHP,4183.97989897256
skill_Английский язык,4144.1579813245635
skill_Управление бюджетом,4059.653202004971
skill_1С: Зарплата и управление персоналом,3931.492946437189
skill_Веб-аналитика,3888.328751663284
skill_Internet Marketing,3855.650628127461
skill_Управление временем,3733.38245090868
skill_Atlassian Confluence,3709.875317243423
skill_Техническое обслуживание,3696.9991648901823
skill_FastAPI,3596.7866409257467
skill_CRM,3552.240759545806
skill_Docker,3448.6534919752557
skill_1С: Зарплата и кадры,3352.6207282909027
skill_Redis,3310.770761026964
skill_Информационная безопасность,3290.8306136509927
skill_1С: Предприятие,3277.466218087313
skill_Продуктовая стратегия,3218.921799749446
skill_Креативность,3029.218728201369
skill_Автоматизация бизнес-процессов,2978.6554211596717
skill_Системы видеонаблюдения,2954.0734512452564
skill_Маркетинговая стратегия,2912.0710692571647
skill_оформление документации,2813.6028853733906
skill_1С: Управление Торговлей,2759.2183385883573
skill_1С: Комплексная автоматизация,2719.163099115807
skill_Моделирование бизнес процессов,2708.8413888428454
skill_1С: Бухгалтерия,2678.1806146651725
skill_REST,2608.3066591090987
skill_E-Commerce,2338.4105190096802
skill_SEO,2236.399896915873
skill_Project management,2098.5174493320533
skill_Инженерные системы,2067.4917648572327
skill_Интернет-реклама,1786.3624391559242
skill_Работа с CRM,1713.63313298881
skill_VPN,1662.2794090319505
skill_Деловая коммуникация,1653.1293706753022
skill_React,1535.3320210760799
skill_JavaScript,1506.2723322111
skill_Ориентация на клиента,1436.1283692247098
skill_Предпродажная подготовка товара,1373.1432818681058
skill_MS SQL Server,1314.7424895755257
skill_Работа в условиях многозадачности,1289.3024329630757
skill_Маркетинговые исследования,1266.255108043816
skill_Анализ ассортиментной линейки,1195.0531246903072
skill_Монтаж инженерных систем,1153.4825494776096
skill_Работа с документами,1141.681500689736
skill_UML,1130.6910010734373
skill_CSS3,1110.5483874061797
skill_Управление рисками,1034.8703174437485
skill_TypeScript,956.0065467815382
skill_Кассовые чеки,942.5056252923587
skill_CI/CD,940.4595613951342
skill_Умение работать в коллективе,870.1901433454814
skill_JSON,802.1689924825785
skill_API,766.2420893510794
skill_слаботочные системы,707.1299342658908
skill_Контроль исполнения решений,681.343206846509
skill_Умение планировать,659.2129722661342
skill_Разработка инструкций,617.3294475300509
skill_Коммуникабельность,527.0890273520035
skill_Администрирование сайтов,505.93764828436497
skill_Проведение презентаций,497.66927446892805
skill_Развитие бренда,462.3830685932603
skill_Анализ бизнес-процессов,298.129123358186
skill_Электрические системы и слаботочные системы,282.16323933447006
skill_Электромонтажные работы,256.7271362711466
skill_Визуальный мерчандайзинг,92.51017125123417
skill_Базы данных,66.27055972734252
skill_Администрирование серверов Linux,13.255746231889134
skill_Администрирование ОС,-104.1549233660628
skill_DHCP,-170.79841922606784
skill_Оформление торгового зала,-184.46190466551252
skill_REST API,-198.27196186612719
skill_Деловое общение,-282.0853670979918
skill_Выкладка товара,-293.08656604525186
skill_IP-телефония,-362.82279061799545
skill_Умение работать в команде,-449.409776909978
skill_Администрирование серверов Windows,-465.0304607175708
skill_Работа с большим объемом информации,-479.65409867802737
skill_Анализ продаж,-510.93999524540914
skill_Разработка технических заданий,-573.423028470198
skill_Node.js,-636.3711054157616
skill_Работа с базами данных,-713.2898645167363
skill_Настройка ПО,-729.1219853574307
skill_Организация работы сотрудников,-763.8526769578675
skill_Пуско-наладочные работы,-875.1310155971394
skill_Мотивация персонала,-875.394122542406
skill_C#,-919.0339690529411
skill_Внутренний контроль,-990.7814002814575
skill_MS Office,-1060.0121811274337
skill_Внимательность,-1253.7162496563283
skill_Bitrix,-1281.0471650149748
skill_Развитие продаж,-1286.1073420978182
skill_XML,-1413.1648156619558
skill_Стрессоустойчивость,-1508.762415628436
skill_Управление конфликтами,-1570.8359388148206
skill_Стратегия продаж,-1622.9164324032995
skill_Управление подрядчиками,-1623.6949209668978
skill_Поиск и привлечение клиентов,-1642.1024103413902
skill_Подготовка презентаций,-1645.0588266453174
skill_Анализ требований,-1677.4021586492486
skill_Ценообразование,-1688.7939616585904
skill_Atlassian Jira,-1878.3565463120228
skill_Тестирование,-1902.196089785256
skill_Заказ товара,-1961.5518652649384
skill_CSS,-2063.288925877827
skill_UI,-2172.0876496626424
skill_Ремонт ПК,-2181.692446288308
skill_Чтение чертежей,-2202.728020642779
skill_TCP/IP,-2259.238652952549
skill_1С: Документооборот,-2273.126237462713
skill_Грамотная устная речь,-2280.7448302353296
skill_Разработка проектной документации,-2314.540219070228
skill_Оформление витрин,-2334.6926288126574
skill_Веб-дизайн,-2334.928484472874
skill_Яндекс.Директ,-2352.083935163366
skill_Разработка технической документации,-2393.7546681164267
skill_Жизненный цикл проекта,-2437.6087930827866
skill_Планирование,-2549.152563835433
skill_Маркетинговые коммуникации,-2653.9999222091215
skill_Приемка товара,-2674.317591244311
skill_1С-Битрикс,-2775.8082674595407
skill_Прямые продажи,-2863.7582361308014
skill_Офисная техника,-2954.058612955453
skill_Grafana,-2996.6495252473997
skill_Сборка ПК,-3041.679392825766
skill_Контекстная реклама,-3078.702914249714
skill_Разработка пользовательской документации,-3096.8409167143914
skill_jQuery,-3255.162690633133
skill_Кассовые операции,-3413.886930832664
skill_Zabbix,-3517.8970264612453
skill_Работа в команде,-3532.628437945502
skill_Проектный менеджмент,-3597.2482069800717
skill_ООП,-3628.6201413891386
skill_Управление коммуникациями,-3787.113101998061
skill_Аналитический склад ума,-3794.8186313458395
skill_Знание кассовой дисциплины,-3798.905937201404
skill_Анализ бизнес показателей,-3859.9801651434
skill_Настройка почтовых серверов,-3862.1651462001623
skill_Bash,-3866.8610675436425
skill_Диагностика неисправностей,-4077.0427149122797
skill_Администрирование серверов,-4115.797436608123
skill_Лидерство,-4129.676656038778
skill_Администрирование,-4182.486944552392
skill_Аналитическое мышление,-4208.813045462946
skill_1С,-4300.719484284569
skill_Управление персоналом,-4384.080562748671
skill_Выявление потребностей,-4467.844293128654
skill_Системное мышление,-4496.988674748882
skill_Разработка маркетинговой стратегии,-4504.471587293823
skill_Выкладка товаров,-4532.084624417391
skill_Клиентоориентированность,-4543.806741286957
skill_Бизнес-анализ,-4561.47885046615
skill_HTTP,-4576.646149765658
skill_Разработка компьютерных Игр,-4604.031251482686
skill_SEO оптимизация,-4869.667625503655
skill_Установка ПО,-4984.387903750256
skill_Scrum,-5043.762376851293
skill_Удаленное администрирование,-5060.201921260257
skill_Продвижение сайтов,-5074.972370629402
skill_Исполнительность,-5080.168046946748
skill_Adobe Photoshop,-5336.659167762804
skill_Системный подход,-5419.604981926404
