skill,n_with,adjusted_premium
Apache Kafka,46,58863.0
Умение принимать решения,48,57716.0
Kubernetes,71,53673.0
Навыки переговоров,120,46070.0
Прямые продажи,63,44598.0
RabbitMQ,51,42509.0
Холодные продажи,79,40876.0
Руководство коллективом,161,40051.0
Заключение договоров,166,38819.0
Активные продажи,223,36348.0
Управление продажами,155,35449.0
Планирование продаж,102,35252.0
Оптимизация бизнес-процессов,96,35147.0
Стратегическое мышление,64,35124.0
Управление командой,223,33719.0
B2B Продажи,177,33197.0
Поиск и привлечение клиентов,133,32897.0
Навыки продаж,141,31839.0
Навыки презентации,82,30658.0
Agile,58,29603.0
Развитие продаж,157,29131.0
Подготовка коммерческих предложений,63,28959.0
PostgreSQL,330,28782.0
Управленческие навыки,85,28222.0
UML,67,28049.0
BPMN,95,27254.0
Автоматизация процессов,96,25763.0
Строительство,64,25675.0
Проведение презентаций,105,25118.0
ERP-системы на базе 1С,122,24032.0
Консультирование клиентов,50,23844.0
Docker,196,23447.0
Анализ конкурентной среды,90,22739.0
Redis,79,22542.0
Телефонные переговоры,235,21813.0
Bash,50,21517.0
1С программирование,283,21492.0
Мониторинг рынка,46,21392.0
1С: Предприятие,83,20044.0
Разработка ПО,55,19805.0
Управление отношениями с клиентами,60,19578.0
Ответственность,106,17619.0
MS SQL,77,17594.0
Документальное сопровождение,61,17291.0
Ведение переговоров,148,16731.0
Моделирование бизнес процессов,46,16376.0
REST,91,15728.0
Анализ рынка,99,15278.0
Аналитика продаж,108,15131.0
SQL,452,15018.0
Техническое обслуживание,72,14783.0
Постановка задач разработчикам,130,14538.0
JSON,59,13763.0
Python,389,13639.0
Навыки межличностного общения,53,13639.0
Мотивация персонала,86,13470.0
Atlassian Jira,65,12952.0
Организаторские навыки,378,12467.0
AutoCAD,59,12378.0
Laravel,56,11604.0
Git,327,11596.0
Проектная документация,78,11557.0
Техническая документация,98,11244.0
1С: Комплексная автоматизация,46,10573.0
1С: Управление Торговлей,151,10494.0
Системный анализ,98,10386.0
CRM,62,10383.0
Linux,279,9926.0
Базы данных,100,9475.0
1С: Документооборот,115,9320.0
Управление персоналом,62,9299.0
Деловое общение,293,9098.0
Java,113,8834.0
1С: Зарплата и управление персоналом,86,8586.0
ООП,72,8399.0
C++,97,8103.0
Маркетинговая стратегия,46,7843.0
Обновление конфигурации 1С,93,7652.0
XML,55,7571.0
Ориентация на результат,67,7435.0
REST API,154,7414.0
Деловая коммуникация,422,6424.0
Scrum,47,6419.0
API,114,6273.0
Node.js,75,5881.0
Бюджетирование,60,5494.0
Английский язык,177,5463.0
TypeScript,95,5152.0
Внимательность,54,4440.0
Разработка технических заданий,201,4429.0
1С: Зарплата и кадры,52,3634.0
React,84,2738.0
Планирование,85,2459.0
Обучение персонала,135,2150.0
Продвижение бренда,90,1920.0
1С,189,1914.0
Администрирование серверов Linux,51,1860.0
Разработка инструкций,53,1513.0
Управление проектами,185,969.0
Маркетинговый анализ,82,950.0
1С: Предприятие 8,275,550.0
Бизнес-анализ,146,401.0
1С: Бухгалтерия,169,35.0
Аналитическое мышление,471,-128.0
Бухгалтерский учет,61,-226.0
C#,76,-357.0
Интернет маркетинг,50,-812.0
Проектный менеджмент,76,-894.0
Анализ требований,48,-1727.0
Работа в команде,196,-1872.0
Умение работать в коллективе,132,-2002.0
Работа с базами данных,131,-2415.0
Точность и внимательность к деталям,124,-3219.0
Информационные технологии,103,-3292.0
Деловая переписка,346,-4999.0
TCP/IP,50,-5037.0
Работа с большим объемом информации,403,-6143.0
Подбор персонала,182,-6417.0
Анализ продаж,57,-6466.0
Контроль качества,91,-6504.0
Подготовка презентаций,53,-6592.0
Коммуникабельность,59,-7149.0
PHP,212,-7617.0
E-Commerce,86,-8015.0
Битрикс24,93,-8118.0
JavaScript,240,-8845.0
MySQL,144,-9462.0
Грамотная речь,135,-11479.0
Администрирование,56,-14027.0
Анализ бизнес-процессов,51,-14319.0
MS Excel,117,-14407.0
Обучение и развитие,259,-14713.0
Маркетплейсы,93,-15175.0
Zabbix,51,-15509.0
Клиентоориентированность,58,-15525.0
Анализ данных,129,-16065.0
SMM,47,-16559.0
Сбор и анализ информации,93,-17739.0
1С-Битрикс,92,-17969.0
Аналитика,66,-18445.0
Internet Marketing,53,-18613.0
Стрессоустойчивость,48,-20073.0
Интернет-реклама,84,-20377.0
MS PowerPoint,62,-20571.0
Пользователь ПК,89,-21838.0
CSS,86,-22171.0
HTML,198,-22827.0
Настройка сетевых подключений,136,-23402.0
Адаптация персонала,56,-23658.0
Техническая поддержка,107,-23665.0
Администрирование сетевого оборудования,124,-24428.0
Администрирование серверов,54,-24468.0
Веб-программирование,77,-24837.0
Документооборот,62,-25180.0
Электронный документооборот,54,-26285.0
HTML5,57,-26752.0
Unity,52,-28074.0
Администрирование серверов Windows,55,-28145.0
SEO оптимизация,77,-28492.0
Adobe Photoshop,77,-29243.0
SEO,91,-29997.0
Настройка ПО,98,-30868.0
Яндекс.Метрика,70,-31459.0
UI,47,-32507.0
UX,55,-34163.0
Настройка ПК,122,-34535.0
Установка ПО,58,-35420.0
Техническая поддержка пользователей,69,-36152.0
Figma,83,-41250.0
CMS Wordpress,46,-47564.0
