skill,n_with,adjusted_premium
Работа с CRM,95,58079.0
Kubernetes,111,56982.0
Управление отношениями с клиентами,94,52654.0
Навыки переговоров,209,51417.0
Холодные продажи,123,47367.0
Мониторинг рынка,86,44252.0
Планирование продаж,153,42046.0
B2B Продажи,299,41872.0
Заключение договоров,328,41554.0
Управление продажами,226,40691.0
Поиск и привлечение клиентов,230,40593.0
Подготовка коммерческих предложений,123,39802.0
RabbitMQ,82,39568.0
Ориентация на результат,129,39547.0
Активные продажи,405,38503.0
Ведение переговоров,253,38237.0
Стратегическое мышление,94,37437.0
Телефонные переговоры,400,37182.0
Прямые продажи,107,35545.0
Развитие продаж,253,33239.0
Аналитика продаж,166,30816.0
Проведение презентаций,193,30184.0
PostgreSQL,463,30025.0
BPMN,137,29421.0
Redis,106,29419.0
Навыки продаж,275,29354.0
Навыки презентации,156,29232.0
UML,97,28751.0
Руководство коллективом,274,28718.0
CRM,92,28290.0
Управление командой,368,28000.0
Docker,294,26090.0
Консультирование клиентов,108,25454.0
ERP-системы на базе 1С,160,23988.0
Выездное обслуживание,100,22484.0
Agile,82,22323.0
Управленческие навыки,145,22229.0
Строительство,140,22009.0
1С программирование,394,21734.0
Автоматизация процессов,137,21489.0
Оптимизация бизнес-процессов,156,21269.0
Системный анализ,161,20982.0
CI/CD,90,19504.0
Laravel,80,18908.0
REST,122,18792.0
SQL,650,16912.0
MS SQL,115,16715.0
Монтаж оборудования,227,15706.0
Постановка задач разработчикам,188,15529.0
REST API,219,15329.0
Деловое общение,604,15117.0
1С: Управление Торговлей,209,14469.0
Git,469,14378.0
Техническая документация,144,13498.0
1С: Предприятие,108,13464.0
Анализ рынка,159,13326.0
Навыки межличностного общения,110,13155.0
Atlassian Jira,90,12913.0
Обновление конфигурации 1С,124,12808.0
Проектная документация,160,12258.0
Организаторские навыки,730,12039.0
Анализ конкурентной среды,149,11950.0
Bash,88,11945.0
Мотивация персонала,126,11935.0
C++,161,11604.0
Бюджетирование,84,11468.0
