skill,model,pr_auc,roc_auc,f1,precision,recall,threshold
sql,spark_random_forest,0.3820315185187952,0.8460328768813227,0.4081020255063766,0.351875808538163,0.4857142857142857,0.4682
sql,spark_gbt,0.40477713271881705,0.8393873365408339,0.42521008403361343,0.4015873015873016,0.4517857142857143,0.6646
sql,spark_logistic_regression,0.3706708838575913,0.8422551196644463,0.4070058381984988,0.38184663536776214,0.4357142857142857,0.7405
python,spark_random_forest,0.4642150786532098,0.8980911922967999,0.4926624737945493,0.48057259713701433,0.5053763440860215,0.5529
python,spark_gbt,0.48538331828904785,0.8742390440430841,0.5084745762711864,0.4344512195121951,0.6129032258064516,0.5724
python,spark_logistic_regression,0.4898002716931198,0.90664419290889,0.5191256830601093,0.45023696682464454,0.6129032258064516,0.7144
linux,spark_random_forest,0.4328030779319183,0.9056293438707668,0.47801578354002255,0.4092664092664093,0.5745257452574526,0.553
linux,spark_gbt,0.43475070469209404,0.8843594145688992,0.4619718309859155,0.4809384164222874,0.4444444444444444,0.8009
linux,spark_logistic_regression,0.36741317644839744,0.9002813335272628,0.44255319148936173,0.36427320490367776,0.5636856368563685,0.768
postgresql,spark_random_forest,0.3756427089681198,0.9193761579132022,0.4178571428571428,0.2936010037641154,0.7244582043343654,0.4127
postgresql,spark_gbt,0.3716065184380288,0.892732613606288,0.4291091593475533,0.36075949367088606,0.5294117647058824,0.6895
postgresql,spark_logistic_regression,0.3162519562130161,0.9115282505175346,0.4104104104104104,0.3032544378698225,0.6346749226006192,0.74
аналитическое мышление,spark_random_forest,0.14937748598455297,0.7451535270772746,0.20667384284176535,0.16216216216216217,0.28486646884273,0.5176
аналитическое мышление,spark_gbt,0.15183556223248942,0.7330032216196397,0.2238993710691824,0.1943231441048035,0.26409495548961426,0.6182
аналитическое мышление,spark_logistic_regression,0.14709629873188937,0.7607166403700774,0.2271062271062271,0.16423841059602648,0.36795252225519287,0.6605
git,spark_random_forest,0.33406389714682516,0.8991665859094874,0.3625154130702837,0.28160919540229884,0.5086505190311419,0.5431
git,spark_gbt,0.3185573670943966,0.8641688946147313,0.35765379113018597,0.3048780487804878,0.43252595155709345,0.6902
git,spark_logistic_regression,0.2721354477584888,0.887973925882011,0.3548387096774194,0.2659758203799655,0.532871972318339,0.7855
деловая коммуникация,spark_random_forest,0.13968342199780986,0.8100755758223858,0.20854700854700853,0.13062098501070663,0.5169491525423728,0.4946
деловая коммуникация,spark_gbt,0.16723150553869545,0.7959993018655703,0.1951219512195122,0.12280701754385964,0.4745762711864407,0.4056
деловая коммуникация,spark_logistic_regression,0.12306305729405798,0.8046259024495652,0.200507614213198,0.1431159420289855,0.3347457627118644,0.7189
работа с большим объемом информации,spark_random_forest,0.12610612169586155,0.7746605388935168,0.18238341968911917,0.12464589235127478,0.33976833976833976,0.5156
работа с большим объемом информации,spark_gbt,0.152272980435237,0.7465382410419327,0.1826086956521739,0.12708018154311648,0.32432432432432434,0.4663
работа с большим объемом информации,spark_logistic_regression,0.10070564331921583,0.761522040029013,0.16543816543816545,0.104989604989605,0.38996138996138996,0.652
docker,spark_random_forest,0.3044686643593663,0.9250074836240698,0.37717121588089325,0.2607204116638079,0.6816143497757847,0.41
docker,spark_gbt,0.26773293875164295,0.8754875360974809,0.34505862646566166,0.27540106951871657,0.4618834080717489,0.6365
docker,spark_logistic_regression,0.31009644410414716,0.923744071795835,0.36065573770491804,0.3320754716981132,0.39461883408071746,0.8816
1с программирование,spark_random_forest,0.24869676550032263,0.9102956073865232,0.30858806404657935,0.21157684630738524,0.5698924731182796,0.6074
1с программирование,spark_gbt,0.3171954048763893,0.8979405646774106,0.3465045592705167,0.3986013986013986,0.3064516129032258,0.8644
1с программирование,spark_logistic_regression,0.263458873358178,0.9123560888600617,0.3692870201096892,0.27977839335180055,0.543010752688172,0.8059
организаторские навыки,spark_random_forest,0.09158716663181218,0.7780890417872284,0.15827338129496404,0.1029641185647426,0.34196891191709844,0.5414
организаторские навыки,spark_gbt,0.1479632611723202,0.773242042931162,0.1923714759535655,0.14146341463414633,0.3005181347150259,0.5434
организаторские навыки,spark_logistic_regression,0.10529541781024689,0.7936595787632057,0.1765601217656012,0.125,0.3005181347150259,0.7472
деловая переписка,spark_random_forest,0.09790630460856518,0.8205600537110894,0.16945606694560666,0.10478654592496765,0.4426229508196721,0.5107
