skill,model,pr_auc,roc_auc
sql,spark_random_forest,0.3572861082313847,0.8347342839022255
sql,spark_gbt,0.35286270866408465,0.8331785139787299
sql,spark_logistic_regression,0.3388171582805577,0.8195084300000721
python,spark_random_forest,0.465165309047039,0.8883181568809859
python,spark_gbt,0.46571908984604227,0.8926804551743056
python,spark_logistic_regression,0.44718160576290483,0.8839925697997545
linux,spark_random_forest,0.40297497321734294,0.8994417008313446
linux,spark_gbt,0.3981448785404431,0.8935437269294818
linux,spark_logistic_regression,0.35007986179409245,0.8764911162760933
postgresql,spark_random_forest,0.3325196673165674,0.8984502517052384
postgresql,spark_gbt,0.3125926956459507,0.900229031201662
postgresql,spark_logistic_regression,0.3067786130372663,0.9012216385805375
аналитическое мышление,spark_random_forest,0.1506661800729741,0.7490747775178912
аналитическое мышление,spark_gbt,0.1487804295167739,0.750857924510619
аналитическое мышление,spark_logistic_regression,0.14187543216025744,0.746825779011408
git,spark_random_forest,0.2892416910862794,0.8904814402151088
git,spark_gbt,0.26402930276473463,0.8787371980977093
git,spark_logistic_regression,0.23197862682584686,0.8566034233947439
деловая коммуникация,spark_random_forest,0.15594252481646179,0.8151326955582275
деловая коммуникация,spark_gbt,0.14710522239323678,0.7969651663268688
деловая коммуникация,spark_logistic_regression,0.12220695605508639,0.7980117448202553
работа с большим объемом информации,spark_random_forest,0.11829631010442378,0.7609526821862346
работа с большим объемом информации,spark_gbt,0.11696620780493484,0.7670828061740889
работа с большим объемом информации,spark_logistic_regression,0.10026846453220832,0.7505158780364374
docker,spark_random_forest,0.30645185070713515,0.9224320952688717
docker,spark_gbt,0.31355851481919367,0.9075552078349536
docker,spark_logistic_regression,0.3103975023158859,0.908061752615361
1с программирование,spark_random_forest,0.27172585210249467,0.9087157809983893
1с программирование,spark_gbt,0.295467397389402,0.9094043986778534
1с программирование,spark_logistic_regression,0.2606317309362481,0.9162371634601798
организаторские навыки,spark_random_forest,0.09773452503828552,0.7785958186772935
организаторские навыки,spark_gbt,0.12427679146252738,0.7877940374469706
организаторские навыки,spark_logistic_regression,0.10835162151721957,0.789926591260238
деловая переписка,spark_random_forest,0.11647140517644718,0.8228840779209947
деловая переписка,spark_gbt,0.10287365824766567,0.7987474383859153
деловая переписка,spark_logistic_regression,0.10503479731155686,0.7916934033056692
английский язык,spark_random_forest,0.24434704603780869,0.7856366275880263
английский язык,spark_gbt,0.18353009457678304,0.7624329105682803
английский язык,spark_logistic_regression,0.1357120909906339,0.743250705691505
javascript,spark_random_forest,0.43268316784361005,0.9434813329613577
javascript,spark_gbt,0.4110048850419572,0.9268692894470849
javascript,spark_logistic_regression,0.44486005169252807,0.9181434907192781
1с: предприятие 8,spark_random_forest,0.1482668654010435,0.8692080679669618
1с: предприятие 8,spark_gbt,0.1431357445542094,0.8664642211496997
1с: предприятие 8,spark_logistic_regression,0.13503804334617114,0.8634607091916277
бизнес-анализ,spark_random_forest,0.1844327363486716,0.8870904121531964
бизнес-анализ,spark_gbt,0.16006875264571724,0.8761712842946645
бизнес-анализ,spark_logistic_regression,0.13589588769793726,0.834580806561121
управление командой,spark_random_forest,0.16279604448909551,0.8451965580577926
управление командой,spark_gbt,0.1447198722331775,0.8400947327323423
управление командой,spark_logistic_regression,0.10504795925968743,0.8043201463639258
разработка технических заданий,spark_random_forest,0.1071571144057743,0.7724373150069745
разработка технических заданий,spark_gbt,0.10616794906558605,0.7792698304017965
разработка технических заданий,spark_logistic_regression,0.07930653705756097,0.7574013157894739
java,spark_random_forest,0.43866251564989905,0.9446813441992331
java,spark_gbt,0.4514661738181409,0.9365780544415407
java,spark_logistic_regression,0.3624501965287705,0.9120303700359521
деловое общение,spark_random_forest,0.1318654814737109,0.8380538425897689
деловое общение,spark_gbt,0.12091895223454077,0.8245958702633064
деловое общение,spark_logistic_regression,0.09365990980051243,0.8016476572941313
