skill,model,pr_auc,roc_auc,f1,precision,recall,threshold
sql,spark_random_forest,0.3951999905508408,0.8509420363233481,0.41294838145231844,0.39864864864864863,0.4283121597096189,0.5123
sql,spark_gbt,0.4131992882559291,0.8392487598515109,0.42735042735042733,0.3736413043478261,0.49909255898366606,0.6291
sql,spark_logistic_regression,0.3759105291652796,0.8465830589900928,0.41647940074906364,0.35459183673469385,0.5045372050816697,0.7032
python,spark_random_forest,0.4495045889272849,0.8970159188760486,0.4687800192122959,0.4170940170940171,0.5350877192982456,0.5065
python,spark_gbt,0.4549035677942493,0.885221929526399,0.484472049689441,0.4588235294117647,0.5131578947368421,0.6788
python,spark_logistic_regression,0.48005410392077164,0.9064495822748577,0.5218274111675127,0.48582230623818523,0.5635964912280702,0.7489
linux,spark_random_forest,0.42554140470951923,0.904916218815512,0.47126436781609193,0.4091816367265469,0.5555555555555556,0.5781
linux,spark_gbt,0.42721155401181865,0.8914244049491243,0.4951219512195122,0.4501108647450111,0.5501355013550135,0.7316
linux,spark_logistic_regression,0.36879226050545527,0.9005461809767987,0.44967880085653106,0.37168141592920356,0.5691056910569106,0.7706
postgresql,spark_random_forest,0.3551841640211775,0.9223131786917154,0.42198233562315995,0.30714285714285716,0.6739811912225705,0.4688
postgresql,spark_gbt,0.356113732077341,0.8971330229255077,0.40655105973025046,0.29346314325452016,0.6614420062695925,0.5046
postgresql,spark_logistic_regression,0.3056935564835981,0.9129210251059641,0.39791937581274384,0.34,0.47962382445141066,0.8199
аналитическое мышление,spark_random_forest,0.1373874111027531,0.746877124871137,0.20038910505836577,0.1484149855907781,0.3083832335329341,0.4975
аналитическое мышление,spark_gbt,0.15439281557860055,0.7407400483747794,0.19240506329113924,0.16666666666666666,0.2275449101796407,0.6434
аналитическое мышление,spark_logistic_regression,0.15085564988467828,0.7648140282870822,0.23538581449727203,0.15911485774499473,0.45209580838323354,0.6346
git,spark_random_forest,0.3205602062168447,0.8980990015734953,0.3464052287581699,0.24960753532182103,0.5658362989323843,0.4963
git,spark_gbt,0.30803970939686937,0.870609528250965,0.32954545454545453,0.27423167848699764,0.4128113879003559,0.6539
git,spark_logistic_regression,0.2639407934847782,0.8864431547669743,0.3439911797133407,0.24920127795527156,0.5551601423487544,0.7602
деловая коммуникация,spark_random_forest,0.14381730720645053,0.8071580671580675,0.19705882352941176,0.11911111111111111,0.5702127659574469,0.4656
деловая коммуникация,spark_gbt,0.18689643363186706,0.7735253628870649,0.20915032679738563,0.21428571428571427,0.20425531914893616,0.7007
деловая коммуникация,spark_logistic_regression,0.12099038921419607,0.8040929130290828,0.21176470588235294,0.14634146341463414,0.3829787234042553,0.707
работа с большим объемом информации,spark_random_forest,0.13334653758572373,0.7706376518218621,0.17363344051446947,0.10975609756097561,0.4153846153846154,0.4653
работа с большим объемом информации,spark_gbt,0.14784714884073918,0.7470258729757085,0.19812583668005354,0.15195071868583163,0.2846153846153846,0.5203
работа с большим объемом информации,spark_logistic_regression,0.1026636053160753,0.7647007844129553,0.16739446870451238,0.10323159784560143,0.4423076923076923,0.6289
docker,spark_random_forest,0.31231935094763386,0.9235930811159366,0.38786279683377306,0.2737430167597765,0.665158371040724,0.43
docker,spark_gbt,0.27849695536448477,0.8981996585074735,0.3470031545741325,0.26634382566585957,0.497737556561086,0.5997
docker,spark_logistic_regression,0.314437670062952,0.9252742921498874,0.35777126099706746,0.2646420824295011,0.5520361990950227,0.7788
1с программирование,spark_random_forest,0.24818787046448515,0.9112336497443285,0.3146067415730337,0.2681992337164751,0.3804347826086957,0.6839
1с программирование,spark_gbt,0.3052359197605202,0.8894870151425259,0.3413566739606127,0.2857142857142857,0.42391304347826086,0.7107
1с программирование,spark_logistic_regression,0.2661510139605065,0.9137912464333129,0.3613595706618962,0.2693333333333333,0.5489130434782609,0.8009
организаторские навыки,spark_random_forest,0.09138548389206563,0.7768362510546873,0.1373134328358209,0.09643605870020965,0.23834196891191708,0.5928
организаторские навыки,spark_gbt,0.1413740461247923,0.7727725981164407,0.15931108719052745,0.10054347826086957,0.38341968911917096,0.4148
организаторские навыки,spark_logistic_regression,0.11052571264427831,0.7920401796739803,0.17403708987161198,0.12007874015748031,0.3160621761658031,0.7357
деловая переписка,spark_random_forest,0.09394986780302164,0.8163399249687819,0.1622088006902502,0.09631147540983606,0.5136612021857924,0.4852
деловая переписка,spark_gbt,0.13918149947073521,0.7962392975785704,0.1658206429780034,0.12009803921568628,0.2677595628415301,0.5043
деловая переписка,spark_logistic_regression,0.10802130144617839,0.8012733296589868,0.18209876543209877,0.12688172043010754,0.3224043715846995,0.7527
английский язык,spark_random_forest,0.19393418224040596,0.7587659443662104,0.2585034013605442,0.21755725190839695,0.31843575418994413,0.3891
английский язык,spark_gbt,0.18583752545918886,0.6907643049312714,0.29375,0.3333333333333333,0.26256983240223464,0.7286
английский язык,spark_logistic_regression,0.16547110209539745,0.7561925393015536,0.28354430379746837,0.25925925925925924,0.3128491620111732,0.7815
javascript,spark_random_forest,0.4568360118464159,0.9337869184285562,0.502970297029703,0.39937106918238996,0.679144385026738,0.4581
javascript,spark_gbt,0.43301073652689404,0.9056353537381444,0.46095238095238095,0.35798816568047337,0.6470588235294118,0.5326
javascript,spark_logistic_regression,0.3866131067731859,0.9329030402108098,0.49382716049382713,0.4013377926421405,0.6417112299465241,0.8435
1с: предприятие 8,spark_random_forest,0.12107736950661929,0.8650886696852094,0.20087336244541484,0.12994350282485875,0.4423076923076923,0.5952
1с: предприятие 8,spark_gbt,0.1687230009155831,0.8413637758317574,0.2184873949579832,0.19402985074626866,0.25,0.7479
1с: предприятие 8,spark_logistic_regression,0.1327138550133472,0.8704032532258601,0.2222222222222222,0.14570858283433133,0.46794871794871795,0.7667
бизнес-анализ,spark_random_forest,0.20095552458475946,0.8630041007005523,0.2564102564102564,0.22522522522522523,0.2976190476190476,0.5448
бизнес-анализ,spark_gbt,0.17833457240246514,0.7860619579977164,0.23225806451612904,0.2535211267605634,0.21428571428571427,0.7057
бизнес-анализ,spark_logistic_regression,0.15468202484496885,0.8645351124895847,0.2523364485981308,0.2076923076923077,0.32142857142857145,0.8138
управление командой,spark_random_forest,0.14924758952981548,0.8205022812705062,0.2254335260115607,0.20634920634920634,0.2484076433121019,0.501
управление командой,spark_gbt,0.15140810968256488,0.7703019683104791,0.22792022792022792,0.20618556701030927,0.25477707006369427,0.6247
управление командой,spark_logistic_regression,0.11892471508887842,0.8378639396496039,0.17714285714285713,0.16062176165803108,0.19745222929936307,0.8404
разработка технических заданий,spark_random_forest,0.10057297815765347,0.7854479595481916,0.2033898305084746,0.2097902097902098,0.19736842105263158,0.5928
разработка технических заданий,spark_gbt,0.16236633046423457,0.727974666587283,0.20689655172413793,0.4117647058823529,0.13815789473684212,0.818
разработка технических заданий,spark_logistic_regression,0.08655241556806734,0.7756311026434868,0.14481897627965043,0.08936825885978428,0.3815789473684211,0.68
java,spark_random_forest,0.44192480806392725,0.935736639238288,0.4684014869888476,0.5163934426229508,0.42857142857142855,0.6111
java,spark_gbt,0.4685522726813124,0.8814280112174048,0.5419847328244275,0.6173913043478261,0.48299319727891155,0.8727
java,spark_logistic_regression,0.40546502791547623,0.9273153472595231,0.49291784702549574,0.4223300970873786,0.5918367346938775,0.8339
деловое общение,spark_random_forest,0.12442541634237156,0.8073884556984781,0.1663286004056795,0.11988304093567251,0.271523178807947,0.5796
деловое общение,spark_gbt,0.14669620756683466,0.7486118824361532,0.18791946308724833,0.19047619047619047,0.18543046357615894,0.6732
деловое общение,spark_logistic_regression,0.09909410066258978,0.8172350217593914,0.16526138279932545,0.11085972850678733,0.32450331125827814,0.7412
