skill,model,pr_auc,roc_auc,f1,precision,recall,threshold
sql,spark_gbt,0.41163095039253517,0.8444960691358359,0.4368546465448769,0.39511494252873564,0.48845470692717585,0.5498
sql,spark_logistic_regression,0.36742680692047236,0.862305309236265,0.4027187765505523,0.38599348534201955,0.42095914742451157,0.7586
sql,spark_random_forest,0.4154360808233072,0.8648234064298462,0.4573991031390135,0.46195652173913043,0.45293072824156305,0.5101
python,spark_gbt,0.4954721326299854,0.8967629424651216,0.5073800738007379,0.4493464052287582,0.5826271186440678,0.5489
python,spark_logistic_regression,0.4918751727406789,0.9174717874437909,0.5164410058027079,0.4750889679715303,0.565677966101695,0.7713
python,spark_random_forest,0.48749895501982565,0.9108227401129944,0.5096952908587259,0.45171849427168576,0.5847457627118644,0.4835
linux,spark_gbt,0.44967405394236704,0.898480533759467,0.472385428907168,0.4152892561983471,0.547683923705722,0.589
linux,spark_logistic_regression,0.41405335942106547,0.9233736020341499,0.4805057955742887,0.3917525773195876,0.6212534059945504,0.7473
linux,spark_random_forest,0.4183853701620697,0.9241953657986929,0.4646924829157175,0.39921722113502933,0.555858310626703,0.49
postgresql,spark_gbt,0.3915370211828178,0.8879715115948964,0.416551724137931,0.380352644836272,0.4603658536585366,0.6648
postgresql,spark_logistic_regression,0.35664848242905894,0.9130387834889323,0.4088291746641075,0.29831932773109243,0.649390243902439,0.7101
postgresql,spark_random_forest,0.38743642668684913,0.9142354323651317,0.4228329809725158,0.32362459546925565,0.6097560975609756,0.4585
аналитическое мышление,spark_gbt,0.2278148610669003,0.7803391068628889,0.25279999999999997,0.27241379310344827,0.23582089552238805,0.6237
аналитическое мышление,spark_logistic_regression,0.19239802030709308,0.8059485326820203,0.25050100200400804,0.1885369532428356,0.373134328358209,0.7017
аналитическое мышление,spark_random_forest,0.20755564785911437,0.8156481617217722,0.2548148148148148,0.2529411764705882,0.25671641791044775,0.4843
git,spark_gbt,0.34293726301343663,0.8603469358982843,0.34966887417218545,0.28205128205128205,0.45993031358885017,0.5787
git,spark_logistic_regression,0.2767458610381846,0.9072563637043709,0.3596899224806202,0.3240223463687151,0.40418118466898956,0.8515
git,spark_random_forest,0.3464791652334157,0.9105965352445785,0.34545454545454546,0.24324324324324326,0.5958188153310104,0.4691
деловая коммуникация,spark_gbt,0.21767283325432552,0.821342399649046,0.2464065708418891,0.23809523809523808,0.2553191489361702,0.6988
деловая коммуникация,spark_logistic_regression,0.18534623470176276,0.8491151289791342,0.2543554006968641,0.15991237677984665,0.6212765957446809,0.6295
деловая коммуникация,spark_random_forest,0.20519203652845952,0.8593168231685449,0.3027777777777778,0.22474226804123712,0.46382978723404256,0.5223
работа с большим объемом информации,spark_gbt,0.19080370802830982,0.7782831879682145,0.22941176470588237,0.18309859154929578,0.30708661417322836,0.4968
работа с большим объемом информации,spark_logistic_regression,0.14391882788202784,0.8039710010805446,0.21559633027522937,0.15210355987055016,0.3700787401574803,0.7115
работа с большим объемом информации,spark_random_forest,0.20151002982360328,0.8165588276350554,0.26441631504922647,0.20568927789934355,0.3700787401574803,0.4331
docker,spark_gbt,0.30396620159194465,0.8954888223726066,0.34690265486725663,0.2890855457227139,0.4336283185840708,0.6006
docker,spark_logistic_regression,0.2937916959793102,0.9269904274394124,0.36251920122887865,0.2776470588235294,0.5221238938053098,0.8038
docker,spark_random_forest,0.3411824990916999,0.9268013621377755,0.39242685025817553,0.3211267605633803,0.504424778761062,0.5418
1с программирование,spark_gbt,0.5455995639121844,0.9508019681489068,0.5725047080979284,0.4393063583815029,0.8216216216216217,0.6055
1с программирование,spark_logistic_regression,0.5144165421868125,0.9797559950621175,0.5880077369439072,0.4578313253012048,0.8216216216216217,0.8211
1с программирование,spark_random_forest,0.6054744455926475,0.9826281091587212,0.6141414141414142,0.49032258064516127,0.8216216216216217,0.4635
организаторские навыки,spark_gbt,0.22278393391185655,0.8361506101411778,0.29015544041450775,0.28717948717948716,0.2931937172774869,0.71
организаторские навыки,spark_logistic_regression,0.19414860576295967,0.8706688294932128,0.26693227091633465,0.21543408360128619,0.3507853403141361,0.8372
организаторские навыки,spark_random_forest,0.21949227777392408,0.8727501680689387,0.29038112522686027,0.2222222222222222,0.418848167539267,0.5362
