skill,model,pr_auc,roc_auc
python,spark_random_forest,0.42626444612336173,0.6215139184075475
python,spark_gbt,0.4966823404468867,0.6669431341039862
python,spark_logistic_regression,0.5090726196599373,0.7063267845109118
sql,spark_random_forest,0.2694179456036995,0.6414399092970522
sql,spark_gbt,0.30204634835660854,0.6124629338915054
sql,spark_logistic_regression,0.24759056961926407,0.6616082330368045
postgresql,spark_random_forest,0.2049116834791235,0.6351774284638554
postgresql,spark_gbt,0.20547512880752922,0.6469550075301205
postgresql,spark_logistic_regression,0.1929818456495083,0.5989857868975903
linux,spark_random_forest,0.25904945241699073,0.6753106174698796
linux,spark_gbt,0.26407315342983784,0.6578854480421686
linux,spark_logistic_regression,0.2956510239662607,0.7185264495481926
java,spark_random_forest,0.22610042715462106,0.7426168224299066
java,spark_gbt,0.14768937623972206,0.6805451713395638
java,spark_logistic_regression,0.18643524218025642,0.7313551401869158
docker,spark_random_forest,0.15222734846073532,0.6317088523721176
docker,spark_gbt,0.22146440988617383,0.641117810760668
docker,spark_logistic_regression,0.1986912207141002,0.6375728862973761
git,spark_random_forest,0.22274572929438324,0.6655328798185941
git,spark_gbt,0.2592854975032904,0.6487647690655209
git,spark_logistic_regression,0.23825151922106652,0.6782432271154075
kubernetes,spark_random_forest,0.17206202761960618,0.6768139106848785
kubernetes,spark_gbt,0.1606767424315855,0.6488908263101812
kubernetes,spark_logistic_regression,0.11035308447669803,0.5891455972101133
c++,spark_random_forest,0.14804081188403986,0.6893112244897959
c++,spark_gbt,0.1531264955773159,0.5941836734693878
c++,spark_logistic_regression,0.1523923963355338,0.6971173469387755
apache kafka,spark_random_forest,0.31664887072565223,0.7246666666666666
apache kafka,spark_gbt,0.2981636799135572,0.7076140350877193
apache kafka,spark_logistic_regression,0.19712184637591837,0.7538245614035088
rest api,spark_random_forest,0.053099327052905876,0.5886150234741784
rest api,spark_gbt,0.06556174348397081,0.556631455399061
rest api,spark_logistic_regression,0.06190815675373754,0.6010367762128326
fastapi,spark_random_forest,0.07978611022971481,0.6345029239766081
fastapi,spark_gbt,0.029596635382328595,0.5123812134502923
fastapi,spark_logistic_regression,0.03809693363333742,0.6007858187134504
javascript,spark_random_forest,0.21483451244929128,0.6255542514345331
javascript,spark_gbt,0.19345422834686973,0.6111437141366719
javascript,spark_logistic_regression,0.08950247154027474,0.6500065206051121
bash,spark_random_forest,0.07005912107119668,0.508195837377332
bash,spark_gbt,0.1954726994917882,0.5814461339372372
bash,spark_logistic_regression,0.14160226291644984,0.5524371832201014
ci/cd,spark_random_forest,0.0450863826721211,0.5410915437093446
ci/cd,spark_gbt,0.12157511039793618,0.5753609392352849
ci/cd,spark_logistic_regression,0.10813064855589365,0.5286768205616373
redis,spark_random_forest,0.09553852422304171,0.605674342105263
redis,spark_gbt,0.1568519715578539,0.5708150584795322
redis,spark_logistic_regression,0.1366696563466821,0.7268366228070176
api,spark_random_forest,0.09411184254670098,0.6158246977547496
api,spark_gbt,0.2425613666519239,0.646211139896373
api,spark_logistic_regression,0.22978926319521764,0.7000755613126081
c/c++,spark_random_forest,0.08845380757346794,0.687862950058072
c/c++,spark_gbt,0.1106067842581803,0.6114152978264475
c/c++,spark_logistic_regression,0.08284307756315344,0.5968143354902937
spring framework,spark_random_forest,0.17306575786790165,0.7366680236108283
spring framework,spark_gbt,0.14010908501753483,0.7320883370649298
spring framework,spark_logistic_regression,0.09423184499722262,0.7794626501119479
rabbitmq,spark_random_forest,0.03399281504721145,0.6208547741566609
rabbitmq,spark_gbt,0.019880583812472357,0.5345911949685535
rabbitmq,spark_logistic_regression,0.0199331348506446,0.4867066895368782
