skill,model,pr_auc,roc_auc
sql,spark_random_forest,0.3160073606042203,0.7445861165188795
sql,spark_gbt,0.32642221399893045,0.764328389524444
sql,spark_logistic_regression,0.3055714102271165,0.7730226197601011
python,spark_random_forest,0.4026053107779362,0.7965400220396716
python,spark_gbt,0.4262583815671528,0.8254372673443777
python,spark_logistic_regression,0.3951255829216581,0.831216914129644
linux,spark_random_forest,0.3105530699502806,0.7562766291042262
linux,spark_gbt,0.33703133542407315,0.7569245431825588
linux,spark_logistic_regression,0.31660001097013796,0.794350879687719
postgresql,spark_random_forest,0.3346564354455315,0.8543560584266393
postgresql,spark_gbt,0.33323537006607606,0.8528835974269571
postgresql,spark_logistic_regression,0.3094796160837019,0.8687675726784886
аналитическое мышление,spark_random_forest,0.10367430894715414,0.6553452030838727
аналитическое мышление,spark_gbt,0.09446550692478226,0.654941225792783
аналитическое мышление,spark_logistic_regression,0.10558069119535016,0.6816468179157643
git,spark_random_forest,0.2639261239925971,0.8211288390031811
git,spark_gbt,0.30950899199916304,0.8293799679366118
git,spark_logistic_regression,0.24901864907510257,0.8414255092790776
деловая коммуникация,spark_random_forest,0.0923324358619222,0.7175255698150852
деловая коммуникация,spark_gbt,0.10174184826830296,0.7156240701663462
деловая коммуникация,spark_logistic_regression,0.08437409521903143,0.7271818414433823
работа с большим объемом информации,spark_random_forest,0.0728806393075724,0.6840811873137154
работа с большим объемом информации,spark_gbt,0.07708045197511139,0.6904267491380223
работа с большим объемом информации,spark_logistic_regression,0.07220485031631979,0.6984027370859692
docker,spark_random_forest,0.2796187994370215,0.8563319775840074
docker,spark_gbt,0.30656759984422266,0.8577029933679873
docker,spark_logistic_regression,0.2713491595818232,0.8675623794059657
1с программирование,spark_random_forest,0.09700026316053408,0.7442667329560984
1с программирование,spark_gbt,0.10298174933890021,0.7631728889891202
1с программирование,spark_logistic_regression,0.10499898766909917,0.7957119450822806
организаторские навыки,spark_random_forest,0.07596858305900768,0.7204969509132231
организаторские навыки,spark_gbt,0.08430895379000614,0.7287186874332062
организаторские навыки,spark_logistic_regression,0.06934494537657643,0.7422364768710012
javascript,spark_random_forest,0.36082202058930474,0.8782933143420586
javascript,spark_gbt,0.4345791969364514,0.8615196278082533
javascript,spark_logistic_regression,0.3759972150342661,0.880818502218364
английский язык,spark_random_forest,0.08893252091750622,0.6960933802150249
английский язык,spark_gbt,0.09742893129536889,0.7070440868212859
английский язык,spark_logistic_regression,0.08253219728051019,0.6939089018865373
бизнес-анализ,spark_random_forest,0.08679764071306878,0.7442203005640037
бизнес-анализ,spark_gbt,0.10068281782156957,0.7485221674876849
бизнес-анализ,spark_logistic_regression,0.08639671148055769,0.7690810844577715
деловая переписка,spark_random_forest,0.05651633298455231,0.6924592856506933
деловая переписка,spark_gbt,0.060347963164212884,0.7094622535776123
деловая переписка,spark_logistic_regression,0.06006232226923158,0.7273754856059288
управление командой,spark_random_forest,0.10208049858527507,0.7366420873511061
управление командой,spark_gbt,0.12422737703133317,0.7674238986575913
управление командой,spark_logistic_regression,0.0978303478478836,0.764403006239365
1с: предприятие 8,spark_random_forest,0.07543737882764309,0.75788278898762
1с: предприятие 8,spark_gbt,0.08582642540884541,0.7504034947709458
1с: предприятие 8,spark_logistic_regression,0.0718240184231779,0.7760896840333196
java,spark_random_forest,0.49019420145504555,0.8339142177599514
java,spark_gbt,0.5182729447362515,0.8233403886487386
java,spark_logistic_regression,0.43847490932934335,0.8522902824339972
разработка технических заданий,spark_random_forest,0.0677348908087696,0.7014157794583478
разработка технических заданий,spark_gbt,0.09164924766596232,0.6893798733893333
разработка технических заданий,spark_logistic_regression,0.07274384417479444,0.7234176794846252
деловое общение,spark_random_forest,0.059712196494531765,0.7568175159728879
деловое общение,spark_gbt,0.07487380757204519,0.7644495826876277
деловое общение,spark_logistic_regression,0.07017652180418603,0.7875179161705705
