skill,model,pr_auc,roc_auc,f1,precision,recall,threshold
sql,spark_random_forest,0.3582559282882971,0.8331028024549969,0.39695817490494295,0.3416230366492147,0.47368421052631576,0.557
sql,spark_gbt,0.34300932746977536,0.8313761721570323,0.3798502382573179,0.30392156862745096,0.5063520871143375,0.6275
sql,spark_logistic_regression,0.3247764059092747,0.8103451410914808,0.3570127504553734,0.3583180987202925,0.35571687840290384,0.7634
python,spark_random_forest,0.46217894311495183,0.8887527281834777,0.4924078091106291,0.4871244635193133,0.49780701754385964,0.5963
python,spark_gbt,0.43486585911191383,0.8877361816761482,0.4887063655030801,0.4594594594594595,0.5219298245614035,0.7149
python,spark_logistic_regression,0.43623279138003634,0.878487192445764,0.4879852125693161,0.4217252396166134,0.5789473684210527,0.6821
linux,spark_random_forest,0.39938557964765026,0.89517378258693,0.4352126607319486,0.3426791277258567,0.5962059620596206,0.5534
linux,spark_gbt,0.37083241298263486,0.8845649183338259,0.4508816120906801,0.4211764705882353,0.48509485094850946,0.7862
linux,spark_logistic_regression,0.3455397123237879,0.8724235793689374,0.43373493975903615,0.3444976076555024,0.5853658536585366,0.6737
postgresql,spark_random_forest,0.31677079152378945,0.895516944612352,0.38735177865612647,0.3340909090909091,0.4608150470219436,0.6223
postgresql,spark_gbt,0.3209752936718791,0.8985757268577738,0.41015625,0.2978723404255319,0.658307210031348,0.6557
postgresql,spark_logistic_regression,0.31164405871550727,0.8954906521011367,0.38924930491195553,0.27631578947368424,0.658307210031348,0.6173
аналитическое мышление,spark_random_forest,0.14888167790640078,0.7502676963754807,0.2302158273381295,0.16452442159383032,0.38323353293413176,0.555
аналитическое мышление,spark_gbt,0.15012775479841453,0.7427041521352901,0.2172797262617622,0.15209580838323353,0.38023952095808383,0.5942
аналитическое мышление,spark_logistic_regression,0.1390492341074881,0.7478457171570946,0.21574344023323616,0.15971223021582734,0.3323353293413174,0.6756
git,spark_random_forest,0.27334638945524825,0.8884042972455313,0.32393084622383983,0.2176039119804401,0.6334519572953736,0.5273
git,spark_gbt,0.25834605767104113,0.8629003411882795,0.3056910569105691,0.281437125748503,0.33451957295373663,0.8007
git,spark_logistic_regression,0.22492430636830277,0.8405422009786329,0.32224532224532226,0.2276064610866373,0.5516014234875445,0.667
деловая коммуникация,spark_random_forest,0.15967760138308554,0.810600658685765,0.24279210925644917,0.18867924528301888,0.3404255319148936,0.6008
деловая коммуникация,spark_gbt,0.14459348426898877,0.7915712617840278,0.226457399103139,0.1537290715372907,0.4297872340425532,0.6306
деловая коммуникация,spark_logistic_regression,0.12073161532713693,0.7933176503389265,0.2074978204010462,0.13048245614035087,0.5063829787234042,0.6483
работа с большим объемом информации,spark_random_forest,0.12266558004453869,0.7563217990890689,0.19193324061196107,0.1503267973856209,0.2653846153846154,0.5981
работа с большим объемом информации,spark_gbt,0.11101566372043117,0.7580838815789475,0.19241192411924118,0.14853556485355648,0.27307692307692305,0.67
работа с большим объемом информации,spark_logistic_regression,0.09635220449873572,0.7432028087044533,0.15819209039548024,0.112,0.2692307692307692,0.6968
docker,spark_random_forest,0.2953036192410915,0.9201053169454384,0.36140350877192984,0.29512893982808025,0.4660633484162896,0.6183
docker,spark_gbt,0.3052284224397497,0.9011453827888654,0.3610719322990127,0.26229508196721313,0.579185520361991,0.7135
docker,spark_logistic_regression,0.2950660158093045,0.8960359358396328,0.39080459770114945,0.30670103092783507,0.5384615384615384,0.7561
1с программирование,spark_random_forest,0.2706110031008524,0.9059145195920554,0.32234432234432236,0.2430939226519337,0.4782608695652174,0.6145
1с программирование,spark_gbt,0.3126888739309593,0.9086032184930921,0.34782608695652173,0.2608695652173913,0.5217391304347826,0.7419
1с программирование,spark_logistic_regression,0.25154266056669705,0.906850333361584,0.31929046563192903,0.2696629213483146,0.391304347826087,0.8071
организаторские навыки,spark_random_forest,0.10569432632409889,0.7812395953710936,0.17794486215538846,0.11735537190082644,0.36787564766839376,0.6053
организаторские навыки,spark_gbt,0.1024485666692841,0.7717674319416102,0.18739903069466882,0.13615023474178403,0.3005181347150259,0.6964
организаторские навыки,spark_logistic_regression,0.10150870860606474,0.7785511446250789,0.18835616438356165,0.14066496163682865,0.2849740932642487,0.7547
деловая переписка,spark_random_forest,0.11350666018961195,0.8122981439225514,0.17467248908296942,0.14545454545454545,0.2185792349726776,0.6357
деловая переписка,spark_gbt,0.11346400044066486,0.799819566515877,0.1900990099009901,0.14906832298136646,0.26229508196721313,0.744
деловая переписка,spark_logistic_regression,0.09496966365915337,0.7737086314302173,0.15678391959798996,0.0960591133004926,0.4262295081967213,0.6628
английский язык,spark_random_forest,0.24126908041543538,0.7819315771672413,0.29296875,0.22522522522522523,0.41899441340782123,0.4887
английский язык,spark_gbt,0.18565478322002782,0.7446947323178142,0.3065326633165829,0.2785388127853881,0.3407821229050279,0.748
английский язык,spark_logistic_regression,0.12207477141941486,0.7231494923464321,0.2402088772845953,0.22549019607843138,0.2569832402234637,0.7804
javascript,spark_random_forest,0.410765596363093,0.9443886769724958,0.47619047619047616,0.4,0.5882352941176471,0.6326
javascript,spark_gbt,0.36739049733630036,0.9313234446741779,0.42857142857142855,0.3765182186234818,0.49732620320855614,0.8659
javascript,spark_logistic_regression,0.42342695260935054,0.9038206657158677,0.4788732394366197,0.3569553805774278,0.7272727272727273,0.6445
1с: предприятие 8,spark_random_forest,0.14059768220053856,0.8663403489567786,0.22397476340694006,0.14853556485355648,0.4551282051282051,0.6127
