skill,model,pr_auc,roc_auc,f1,precision,recall,threshold
sql,spark_random_forest,0.3462477830748937,0.8345660883225867,0.39436619718309857,0.3333333333333333,0.4827586206896552,0.5502
sql,spark_gbt,0.34397666412538547,0.8202584913687293,0.38023450586264657,0.35303265940902023,0.41197822141560797,0.6926
sql,spark_logistic_regression,0.350914413127752,0.8301978625837413,0.4032860343539955,0.3426395939086294,0.4900181488203267,0.6604
python,spark_random_forest,0.4484529922744565,0.8836960848330891,0.5004468275245755,0.42232277526395173,0.6140350877192983,0.5429
python,spark_gbt,0.45695891812402933,0.8782514580128093,0.5137614678899083,0.48,0.5526315789473685,0.6828
python,spark_logistic_regression,0.46753270494356175,0.894601364688063,0.5157593123209169,0.45685279187817257,0.5921052631578947,0.6877
linux,spark_random_forest,0.38926603629375844,0.8960036744899355,0.43832599118942733,0.3692022263450835,0.5392953929539296,0.5834
linux,spark_gbt,0.3897115809535054,0.87913669456574,0.4325437693099897,0.3488372093023256,0.5691056910569106,0.6358
linux,spark_logistic_regression,0.35603052226879256,0.8916890081645757,0.42656449553001274,0.4033816425120773,0.45257452574525747,0.7996
postgresql,spark_random_forest,0.32776824485100176,0.8964829991581189,0.3987473903966597,0.29890453834115804,0.5987460815047022,0.5721
postgresql,spark_gbt,0.31873137767297116,0.8860339386858642,0.40332640332640335,0.30171073094867806,0.6081504702194357,0.6169
postgresql,spark_logistic_regression,0.31273613593298055,0.9077437432934571,0.3954104148278906,0.2751842751842752,0.7021943573667712,0.6125
аналитическое мышление,spark_random_forest,0.14615809051377687,0.7472038939104803,0.2199798183652876,0.1659056316590563,0.3263473053892216,0.5649
аналитическое мышление,spark_gbt,0.13575129220438886,0.7337609994795625,0.21272727272727274,0.15274151436031333,0.3502994011976048,0.5871
аналитическое мышление,spark_logistic_regression,0.14590665958260968,0.7552026316996377,0.22929936305732485,0.16470588235294117,0.3772455089820359,0.6379
git,spark_random_forest,0.2743133660532624,0.8885370370479135,0.3177257525083612,0.2996845425867508,0.33807829181494664,0.6344
git,spark_gbt,0.26255880311558755,0.8469545319189301,0.3216995447647951,0.2804232804232804,0.37722419928825623,0.7435
git,spark_logistic_regression,0.24402114777128184,0.8679168484986599,0.332994923857868,0.23295454545454544,0.5836298932384342,0.6782
деловая коммуникация,spark_random_forest,0.16661392029601088,0.813155592730061,0.2621359223300971,0.21148825065274152,0.3446808510638298,0.6029
деловая коммуникация,spark_gbt,0.15381877939515606,0.7849073832052557,0.22791293213828426,0.163003663003663,0.37872340425531914,0.6351
деловая коммуникация,spark_logistic_regression,0.11681305584436903,0.7959001167511802,0.20945319740500462,0.1338862559241706,0.4808510638297872,0.6409
работа с большим объемом информации,spark_random_forest,0.12063016041823699,0.7560959640688258,0.18741976893453144,0.14065510597302505,0.28076923076923077,0.5956
работа с большим объемом информации,spark_gbt,0.11490897001808346,0.7469781123481775,0.17584745762711865,0.12134502923976608,0.3192307692307692,0.6136
работа с большим объемом информации,spark_logistic_regression,0.10545472939204385,0.7598934084008095,0.17245005257623555,0.11866859623733719,0.3153846153846154,0.663
docker,spark_random_forest,0.2952107546836678,0.9208854698554091,0.3684992570579495,0.2743362831858407,0.5610859728506787,0.5742
docker,spark_gbt,0.2877896807052868,0.8908310957857694,0.38528896672504376,0.3142857142857143,0.497737556561086,0.7135
docker,spark_logistic_regression,0.32146993194027773,0.9204809735125143,0.3915547024952015,0.34,0.46153846153846156,0.8545
1с программирование,spark_random_forest,0.2639063411235683,0.907004830917874,0.324435318275154,0.2607260726072607,0.42934782608695654,0.6237
1с программирование,spark_gbt,0.2920371157476792,0.9021447792185773,0.3393939393939394,0.27009646302250806,0.45652173913043476,0.7916
1с программирование,spark_logistic_regression,0.24560264747728583,0.9075632292284652,0.33663366336633666,0.26479750778816197,0.46195652173913043,0.7658
организаторские навыки,spark_random_forest,0.0988928194679954,0.778468118320491,0.16236162361623616,0.09876543209876543,0.45595854922279794,0.5992
организаторские навыки,spark_gbt,0.1052005609527451,0.7711415737572812,0.1688708036622584,0.10506329113924051,0.43005181347150256,0.6055
организаторские навыки,spark_logistic_regression,0.10597052441436819,0.7849112967191548,0.19168591224018475,0.12332838038632987,0.43005181347150256,0.6678
деловая переписка,spark_random_forest,0.11502628013961247,0.8132850698170193,0.16944801026957637,0.11073825503355705,0.36065573770491804,0.6079
деловая переписка,spark_gbt,0.10828144486987419,0.7804156449054834,0.19532908704883228,0.1597222222222222,0.25136612021857924,0.7278
деловая переписка,spark_logistic_regression,0.1031441694454899,0.791244316522755,0.18346545866364666,0.11571428571428571,0.4426229508196721,0.679
английский язык,spark_random_forest,0.2359706037117938,0.7710617064087582,0.28679245283018867,0.21652421652421652,0.4245810055865922,0.4841
английский язык,spark_gbt,0.19650364476124257,0.7174577151826361,0.29910714285714285,0.24907063197026022,0.3743016759776536,0.6112
английский язык,spark_logistic_regression,0.16027601311072948,0.748377566944349,0.2798165137614679,0.23735408560311283,0.3407821229050279,0.7335
javascript,spark_random_forest,0.43381729195941837,0.9428434110224918,0.4745762711864407,0.3929824561403509,0.5989304812834224,0.6338
javascript,spark_gbt,0.37571031426193513,0.9120571591962879,0.46153846153846156,0.3917910447761194,0.5614973262032086,0.7685
javascript,spark_logistic_regression,0.4440166390734793,0.9311661369481089,0.48015122873345933,0.3713450292397661,0.679144385026738,0.7359
1с: предприятие 8,spark_random_forest,0.14600845388800734,0.867568186718413,0.22807017543859648,0.14772727272727273,0.5,0.6129
1с: предприятие 8,spark_gbt,0.1511021846257456,0.8531083109430455,0.24703087885985747,0.19622641509433963,0.3333333333333333,0.7822
1с: предприятие 8,spark_logistic_regression,0.12418085537558277,0.8644060768899055,0.2150101419878296,0.1572700296735905,0.33974358974358976,0.7577
бизнес-анализ,spark_random_forest,0.18846010360301638,0.882168992840169,0.18181818181818182,0.2,0.16666666666666666,0.6556
бизнес-анализ,spark_gbt,0.15321187797547692,0.8355273817239146,0.2494331065759637,0.20146520146520147,0.3273809523809524,0.7125
бизнес-анализ,spark_logistic_regression,0.148689250592007,0.8470102112458724,0.23741007194244604,0.17010309278350516,0.39285714285714285,0.7184
управление командой,spark_random_forest,0.15774012443569185,0.8382785756301182,0.24104234527687296,0.24666666666666667,0.2356687898089172,0.5848
управление командой,spark_gbt,0.1343595200888444,0.7912166192281895,0.2193211488250653,0.18584070796460178,0.267515923566879,0.7112
управление командой,spark_logistic_regression,0.12245518383342285,0.841144457115307,0.22065727699530516,0.17472118959107807,0.29936305732484075,0.7654
разработка технических заданий,spark_random_forest,0.09022952178310266,0.7639536837002011,0.14731585518102372,0.09090909090909091,0.3881578947368421,0.5468
разработка технических заданий,spark_gbt,0.10996755463696017,0.7543281988908918,0.19230769230769232,0.15151515151515152,0.2631578947368421,0.7314
разработка технических заданий,spark_logistic_regression,0.08198805007384483,0.7773433513081349,0.1549636803874092,0.12260536398467432,0.21052631578947367,0.7513
java,spark_random_forest,0.42014775479776606,0.9379225612415161,0.50625,0.4682080924855491,0.5510204081632653,0.5854
java,spark_gbt,0.4559797630771363,0.9110494512676699,0.5586206896551724,0.5664335664335665,0.5510204081632653,0.8493
java,spark_logistic_regression,0.3920640935892992,0.9259236069690271,0.5072046109510087,0.44,0.5986394557823129,0.791
деловое общение,spark_random_forest,0.1335204493947247,0.833150355415879,0.19369369369369369,0.14675767918088736,0.2847682119205298,0.6271
деловое общение,spark_gbt,0.11956070349275381,0.7856681208595897,0.19795221843003413,0.20422535211267606,0.19205298013245034,0.7947
деловое общение,spark_logistic_regression,0.09695902163613913,0.8132619398441371,0.1676470588235294,0.10775047258979206,0.37748344370860926,0.7098
