skill,model,pr_auc,roc_auc,f1,precision,recall,threshold
sql,catboost,0.3014204793570933,0.809610127975988,0.3788300835654596,0.3073446327683616,0.49364791288566245,0.6229
sql,xgboost,0.28419107986946507,0.7879367246034863,0.3341250989707047,0.29634831460674155,0.38294010889292196,0.6255
sql,lightgbm,0.3015422532434658,0.8020703261301316,0.3607636603028308,0.2830578512396694,0.49727767695099817,0.5659
python,catboost,0.37277360125687214,0.8709835697759013,0.4032983508245877,0.30637813211845105,0.5899122807017544,0.5194
python,xgboost,0.3479616350112146,0.8579270501627966,0.39323467230443976,0.3795918367346939,0.40789473684210525,0.6818
python,lightgbm,0.3531016202962889,0.8650538704425919,0.40109140518417463,0.29108910891089107,0.6447368421052632,0.3406
linux,catboost,0.34071834029310366,0.8799960876848761,0.3757725587144623,0.34545454545454546,0.41192411924119243,0.774
linux,xgboost,0.32779575141409384,0.8667777273987779,0.33580980683506684,0.3717105263157895,0.3062330623306233,0.8243
linux,lightgbm,0.325269250229208,0.8704154542801499,0.3328290468986384,0.3767123287671233,0.2981029810298103,0.8264
postgresql,catboost,0.3171775653360372,0.8670772984210435,0.37770897832817335,0.3730886850152905,0.3824451410658307,0.8122
postgresql,xgboost,0.28013783341005843,0.8459631103051546,0.3201174743024963,0.3011049723756906,0.34169278996865204,0.7959
postgresql,lightgbm,0.29527464567761125,0.857385514336187,0.3370473537604457,0.3032581453634085,0.3793103448275862,0.7795
аналитическое мышление,catboost,0.155360184958621,0.7403170681613795,0.2152917505030181,0.1621212121212121,0.3203592814371258,0.6294
аналитическое мышление,xgboost,0.14715517131541547,0.7335668323692276,0.19228253760627861,0.12301255230125523,0.44011976047904194,0.256
аналитическое мышление,lightgbm,0.1611383127678222,0.7429227459167579,0.18658280922431866,0.1435483870967742,0.26646706586826346,0.6141
git,catboost,0.24763624207572077,0.8715196181792446,0.27225806451612905,0.16627265563435775,0.7508896797153025,0.213
git,xgboost,0.2452776426449752,0.8597815431765574,0.29476248477466505,0.22407407407407406,0.4306049822064057,0.5706
git,lightgbm,0.24174543209545868,0.8626636414521736,0.28432327166504384,0.19571045576407506,0.5195729537366548,0.3735
деловая коммуникация,catboost,0.14988205758080284,0.7829470089044558,0.20695652173913043,0.13005464480874318,0.5063829787234042,0.398
деловая коммуникация,xgboost,0.13628779171362954,0.7605990903863245,0.1619217081850534,0.10236220472440945,0.3872340425531915,0.2061
деловая коммуникация,lightgbm,0.13449932849121374,0.7730067785386934,0.17980022197558268,0.12162162162162163,0.3446808510638298,0.4338
работа с большим объемом информации,catboost,0.12208298021471102,0.7472969382591093,0.16666666666666666,0.12147887323943662,0.2653846153846154,0.6082
работа с большим объемом информации,xgboost,0.13645373256627757,0.7410086664979756,0.1540020263424519,0.10453920220082531,0.2923076923076923,0.4307
работа с большим объемом информации,lightgbm,0.1235933733502934,0.7390969762145749,0.15763546798029557,0.10596026490066225,0.3076923076923077,0.51
docker,catboost,0.2109061375895095,0.8686204012574141,0.24778761061946902,0.3559322033898305,0.19004524886877827,0.9057
docker,xgboost,0.1884146391515274,0.8582610058870117,0.22888283378746593,0.2876712328767123,0.19004524886877827,0.8678
docker,lightgbm,0.19813640166493524,0.865456160213089,0.22164948453608246,0.25748502994011974,0.19457013574660634,0.8463
1с программирование,catboost,0.5691897052013635,0.975546126790406,0.6252771618625277,0.5280898876404494,0.7663043478260869,0.9253
1с программирование,xgboost,0.5462520661719776,0.9765057773257619,0.6188340807174888,0.5267175572519084,0.75,0.9126
1с программирование,lightgbm,0.5479218538094335,0.9755761434584851,0.6241457858769932,0.5372549019607843,0.7445652173913043,0.9291
организаторские навыки,catboost,0.17562043598628013,0.8245409741134939,0.24833702882483372,0.21705426356589147,0.29015544041450775,0.7495
организаторские навыки,xgboost,0.16435894831351194,0.8162391865613708,0.21428571428571427,0.2517482517482518,0.18652849740932642,0.8646
организаторские навыки,lightgbm,0.18134498343512698,0.8197625363398128,0.24427480916030533,0.1933534743202417,0.3316062176165803,0.6097
деловая переписка,catboost,0.13175189731187192,0.7947074323862573,0.1663716814159292,0.12303664921465969,0.2568306010928962,0.602
деловая переписка,xgboost,0.10279335492867578,0.7634364369135136,0.1466854724964739,0.09885931558935361,0.28415300546448086,0.2002
деловая переписка,lightgbm,0.11263743635995029,0.770506447412914,0.17914438502673796,0.11858407079646018,0.366120218579235,0.2465
английский язык,catboost,0.11857357118510546,0.6930330362462018,0.1413427561837456,0.19230769230769232,0.11173184357541899,0.7991
английский язык,xgboost,0.11041055868220762,0.6831601559276725,0.1316270566727605,0.09782608695652174,0.2011173184357542,0.4998
английский язык,lightgbm,0.11807767251125288,0.6939280153860243,0.15845070422535212,0.11568123393316196,0.25139664804469275,0.5314
javascript,catboost,0.3876535925111971,0.9179905285105044,0.4768856447688564,0.4375,0.5240641711229946,0.8084
javascript,xgboost,0.3486627525036685,0.9132295797624045,0.363905325443787,0.25153374233128833,0.6577540106951871,0.0756
javascript,lightgbm,0.36099810473503363,0.9132704276249749,0.37070254110612855,0.2572614107883817,0.6631016042780749,0.1279
1с: предприятие 8,catboost,0.23662688175605645,0.9210980777523469,0.3446969696969697,0.2446236559139785,0.5833333333333334,0.8221
1с: предприятие 8,xgboost,0.2292295882503844,0.9119605599230438,0.3448275862068966,0.2597402597402597,0.5128205128205128,0.8926
1с: предприятие 8,lightgbm,0.2394367096928577,0.9138036122997313,0.33189655172413796,0.25,0.4935897435897436,0.8903
бизнес-анализ,catboost,0.20881100881414022,0.8858776579329075,0.27932960893854747,0.2032520325203252,0.44642857142857145,0.6821
бизнес-анализ,xgboost,0.20940299297091203,0.8908366895040583,0.28342245989304815,0.25728155339805825,0.31547619047619047,0.8576
бизнес-анализ,lightgbm,0.21239530326783185,0.8909890673703053,0.28994082840236685,0.28823529411764703,0.2916666666666667,0.8955
управление командой,catboost,0.24896958055207866,0.9011518123970492,0.29508196721311475,0.41379310344827586,0.22929936305732485,0.9089
управление командой,xgboost,0.24909369510076368,0.8975308298591473,0.234375,0.30303030303030304,0.1910828025477707,0.8756
управление командой,lightgbm,0.24529834813002224,0.8995530172622487,0.2556390977443609,0.3119266055045872,0.21656050955414013,0.8719
разработка технических заданий,catboost,0.1362367426306133,0.7858301721498315,0.20422535211267606,0.2196969696969697,0.19078947368421054,0.8933
разработка технических заданий,xgboost,0.13839165736163267,0.797296550199027,0.20911528150134048,0.17647058823529413,0.2565789473684211,0.7926
разработка технических заданий,lightgbm,0.13139699646424338,0.7947576804000953,0.1925133689839572,0.16216216216216217,0.23684210526315788,0.794
java,catboost,0.42208252474259966,0.8860492041156847,0.453416149068323,0.41714285714285715,0.4965986394557823,0.8314
java,xgboost,0.39190901087882657,0.8849683261000184,0.45791245791245794,0.4533333333333333,0.46258503401360546,0.8852
java,lightgbm,0.3938861217852357,0.8885976156973365,0.4421052631578947,0.45652173913043476,0.42857142857142855,0.8755
деловое общение,catboost,0.12723068156571707,0.7939871958259634,0.16267942583732056,0.29310344827586204,0.11258278145695365,0.9457
деловое общение,xgboost,0.12320051494622522,0.7965478166240253,0.18843683083511778,0.13924050632911392,0.2913907284768212,0.3336
деловое общение,lightgbm,0.11089094050847094,0.7881757743657568,0.19887429643527205,0.1387434554973822,0.3509933774834437,0.3345
1с,catboost,0.19797685979887422,0.8584357062023642,0.2620967741935484,0.18361581920903955,0.45774647887323944,0.7595
1с,xgboost,0.18464525963902437,0.8443955115007569,0.26865671641791045,0.1926605504587156,0.44366197183098594,0.7846
